Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.3171,0.3193,0.294,0.3006,16571907.2,2024-11-17 23:59:59.999,5078024.95433000,43121,8051547.10000000,2469527.96535000,0
2024-11-18,0.3004,0.3376,0.2981,0.3331,25919296.9,2024-11-18 23:59:59.999,8370309.55920000,64991,13625596.80000000,4401596.68063000,0
2024-11-19,0.3332,0.3801,0.3278,0.3372,72845037.5,2024-11-19 23:59:59.999,25551563.71688000,188142,35300000.90000000,12400537.91328000,0
2024-11-20,0.3372,0.3372,0.313,0.3202,22042072.9,2024-11-20 23:59:59.999,7166490.96478000,44367,9737773.20000000,3167980.58867000,0
2024-11-21,0.3203,0.3419,0.3102,0.3355,18447574.7,2024-11-21 23:59:59.999,6091859.81606000,45267,8819706.20000000,2911124.40288000,0
2024-11-22,0.3355,0.3558,0.3294,0.3558,17717894.8,2024-11-22 23:59:59.999,6028319.18675000,47321,8988953.60000000,3061325.62681000,0
2024-11-23,0.3557,0.3829,0.3506,0.377,37147465.5,2024-11-23 23:59:59.999,13649931.65480000,94950,18308023.80000000,6726894.59105000,0
2024-11-24,0.3768,0.4104,0.3607,0.3968,45209665.9,2024-11-24 23:59:59.999,17500688.84600000,128481,22476515.60000000,8702431.72768000,0
2024-11-25,0.3967,0.4098,0.3751,0.3823,36335407.2,2024-11-25 23:59:59.999,14294245.42345000,98776,18073101.30000000,7119954.57708000,0
2024-11-26,0.3825,0.4042,0.3595,0.3905,24591168.7,2024-11-26 23:59:59.999,9341774.75805000,77282,12048446.40000000,4583500.39389000,0
2024-11-27,0.3906,0.435,0.3805,0.4294,34777548.1,2024-11-27 23:59:59.999,14083379.77873000,86206,17826093.60000000,7232211.60317000,0
2024-11-28,0.4292,0.4292,0.4012,0.4165,16204123.7,2024-11-28 23:59:59.999,6688746.85078000,41914,7507963.10000000,3099810.05960000,0
2024-11-29,0.4166,0.4298,0.4021,0.4271,13450755.3,2024-11-29 23:59:59.999,5600312.23099000,31559,6549432.20000000,2730591.54900000,0
2024-11-30,0.4271,0.4525,0.418,0.4428,24939887.2,2024-11-30 23:59:59.999,10849530.00130000,59347,12085544.80000000,5262626.85836000,0
2024-12-01,0.4428,0.4555,0.426,0.4447,20773370.3,2024-12-01 23:59:59.999,9179485.19843000,53669,10358225.10000000,4580032.85446000,0
2024-12-02,0.4448,0.4929,0.4284,0.4886,61855909.6,2024-12-02 23:59:59.999,28459557.82084000,165982,31421315.90000000,14448997.62862000,0
2024-12-03,0.4887,0.5163,0.4501,0.5106,83590988.0,2024-12-03 23:59:59.999,40899766.16566000,203319,40470949.30000000,19829947.38510000,0
2024-12-04,0.5107,0.55,0.4993,0.522,79714625.1,2024-12-04 23:59:59.999,42066046.67365000,189265,40283239.20000000,21252518.68506000,0
2024-12-05,0.5221,0.5329,0.4907,0.5102,54347658.6,2024-12-05 23:59:59.999,28194954.94737000,139124,27008937.00000000,14026380.90382000,0
2024-12-06,0.5103,0.5764,0.5044,0.5469,68970062.4,2024-12-06 23:59:59.999,37089411.05528000,170393,33423031.90000000,17961711.42132000,0
2024-12-07,0.5469,0.5767,0.5232,0.5335,45101909.1,2024-12-07 23:59:59.999,24577185.56300000,104504,23608943.90000000,12877542.01035000,0
2024-12-08,0.5335,0.6328,0.5162,0.6263,72025017.5,2024-12-08 23:59:59.999,41061590.09999000,188829,37769684.00000000,21609213.72791000,0
2024-12-09,0.6265,0.6279,0.4058,0.4751,131238910.4,2024-12-09 23:59:59.999,69585030.59833000,315574,62784017.60000000,33145389.93659000,0
2024-12-10,0.475,0.479,0.4,0.4324,88846666.7,2024-12-10 23:59:59.999,39356193.58838000,160495,43405403.80000000,19215193.45224000,0
2024-12-11,0.4325,0.4953,0.4125,0.493,51888213.9,2024-12-11 23:59:59.999,23729736.50094000,101877,26871066.40000000,12277448.55627000,0
2024-12-12,0.493,0.5287,0.4837,0.5152,61111929.3,2024-12-12 23:59:59.999,30988331.94208000,145180,30776795.80000000,15617285.10276000,0
2024-12-13,0.5154,0.5279,0.489,0.5095,41080016.0,2024-12-13 23:59:59.999,20729904.92805000,93969,19543487.70000000,9872389.28123000,0
2024-12-14,0.5095,0.5168,0.4681,0.4795,18656662.8,2024-12-14 23:59:59.999,9126352.79173000,50297,8671600.20000000,4246737.08598000,0
2024-12-15,0.4796,0.5004,0.4631,0.4996,20152349.5,2024-12-15 23:59:59.999,9714391.45433000,56041,10023515.50000000,4837637.75790000,0
2024-12-16,0.4995,0.5107,0.4776,0.4901,26877807.2,2024-12-16 23:59:59.999,13266301.01630000,67799,12754201.70000000,6298590.50901000,0
2024-12-17,0.4901,0.4923,0.4629,0.4694,26211148.1,2024-12-17 23:59:59.999,12541116.02605000,66265,12493702.90000000,5982448.48880000,0
2024-12-18,0.4696,0.4726,0.4114,0.4215,36053450.2,2024-12-18 23:59:59.999,16091770.17809000,94612,17765203.20000000,7931554.70337000,0
2024-12-19,0.4211,0.4301,0.3693,0.3832,49654706.7,2024-12-19 23:59:59.999,19856794.89649000,99627,25069230.70000000,10027364.96393000,0
2024-12-20,0.3832,0.4003,0.3349,0.397,47812708.0,2024-12-20 23:59:59.999,17666189.86256000,90452,23630675.60000000,8736134.92150000,0
2024-12-21,0.3972,0.4212,0.3726,0.3797,25145948.7,2024-12-21 23:59:59.999,9914042.13350000,49312,12424682.90000000,4908335.65228000,0
2024-12-22,0.3799,0.3936,0.3681,0.3801,21807742.0,2024-12-22 23:59:59.999,8304130.92374000,36118,10837537.00000000,4129181.33835000,0
2024-12-23,0.3802,0.4095,0.3694,0.4029,25103107.8,2024-12-23 23:59:59.999,9704943.81118000,46537,12623296.70000000,4884980.91461000,0
