Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,141.78,153.01,141.49,150.38,258493.263,2024-09-19 23:59:59.999,38031067.27309000,149759,130065.99800000,19151645.87522000,0
2024-09-20,150.39,157.71,147.57,153.41,164697.672,2024-09-20 23:59:59.999,25197465.63173000,107848,83093.30600000,12723586.49804000,0
2024-09-21,153.4,154.94,149.73,154.57,69547.97,2024-09-21 23:59:59.999,10549375.08016000,56534,36677.93600000,5566606.89911000,0
2024-09-22,154.57,162.98,154.2,162.11,326480.857,2024-09-22 23:59:59.999,51766410.25721000,202896,163726.48700000,25964775.22321000,0
2024-09-23,162.16,180.74,158.6,171.95,393303.304,2024-09-23 23:59:59.999,67577683.27298000,292028,195877.94400000,33648294.64083000,0
2024-09-24,171.96,173.62,163.64,166.09,240434.583,2024-09-24 23:59:59.999,40336807.42105000,174273,119308.03500000,20019857.57918000,0
2024-09-25,166.15,173.86,164.1,165.06,229190.222,2024-09-25 23:59:59.999,38546037.29339000,184007,114022.00200000,19187614.83794000,0
2024-09-26,165.06,170.0,163.06,165.21,180050.749,2024-09-26 23:59:59.999,30017779.64349000,159903,92701.86900000,15461996.03023000,0
2024-09-27,165.18,173.98,163.55,170.39,239959.521,2024-09-27 23:59:59.999,40389621.61045000,155216,119325.03500000,20097240.09309000,0
2024-09-28,170.38,171.14,161.75,163.93,116012.285,2024-09-28 23:59:59.999,19293639.27819000,79565,57597.56000000,9576029.46933000,0
2024-09-29,163.92,164.98,158.0,161.5,128971.089,2024-09-29 23:59:59.999,20801803.92225000,93152,53928.21400000,8701696.01739000,0
2024-09-30,161.5,161.73,154.62,156.73,143364.098,2024-09-30 23:59:59.999,22595610.72535000,105041,67447.36200000,10630840.44934000,0
2024-10-01,156.76,164.32,143.3,144.81,307625.849,2024-10-01 23:59:59.999,47313576.74481000,229512,140958.45200000,21662566.35708000,0
2024-10-02,144.8,150.23,136.82,139.14,248375.003,2024-10-02 23:59:59.999,35554858.70125000,184282,114109.48900000,16327157.65046000,0
2024-10-03,139.16,146.8,134.7,143.73,343883.213,2024-10-03 23:59:59.999,48397771.57111000,195134,175525.58800000,24718853.57550000,0
2024-10-04,143.73,152.95,141.52,151.25,297529.597,2024-10-04 23:59:59.999,44259169.46662000,155721,150867.67200000,22431759.82027000,0
2024-10-05,151.29,151.89,146.07,148.46,69951.682,2024-10-05 23:59:59.999,10440221.45639000,54922,32666.84200000,4876580.39425000,0
2024-10-06,148.49,150.57,146.19,150.12,77951.976,2024-10-06 23:59:59.999,11558229.68383000,50218,38710.67500000,5740879.56838000,0
2024-10-07,150.13,154.9,145.45,146.68,193093.639,2024-10-07 23:59:59.999,28906156.71318000,104433,90914.86800000,13618742.11612000,0
2024-10-08,146.69,147.75,141.77,143.15,125955.959,2024-10-08 23:59:59.999,18220636.39681000,75174,60115.31400000,8701325.25717000,0
2024-10-09,143.14,144.23,138.42,139.44,163378.505,2024-10-09 23:59:59.999,23089791.01085000,94462,83240.88100000,11768912.84734000,0
2024-10-10,139.44,145.34,136.0,140.7,234816.631,2024-10-10 23:59:59.999,32998748.46917000,140847,109772.14700000,15443792.37809000,0
2024-10-11,140.72,145.85,140.36,143.91,94223.554,2024-10-11 23:59:59.999,13484535.19920000,71775,49250.66500000,7045615.83345000,0
2024-10-12,143.91,157.04,143.27,154.73,174033.133,2024-10-12 23:59:59.999,26208558.13814000,131756,88956.80400000,13410789.28409000,0
2024-10-13,154.74,155.99,150.54,154.64,112460.164,2024-10-13 23:59:59.999,17187239.26008000,94078,57993.20600000,8864012.57450000,0
2024-10-14,154.63,165.39,153.04,162.93,215465.312,2024-10-14 23:59:59.999,34740088.24635000,175304,110846.26200000,17871965.40017000,0
2024-10-15,162.95,165.84,152.81,156.79,242676.987,2024-10-15 23:59:59.999,38585867.54330000,215135,120678.33100000,19190528.81841000,0
2024-10-16,156.79,159.95,153.52,155.8,117223.022,2024-10-16 23:59:59.999,18365113.57054000,117989,50113.19900000,7854384.21832000,0
2024-10-17,155.81,157.69,150.2,153.14,98597.969,2024-10-17 23:59:59.999,15234112.99366000,92491,49237.65700000,7601045.95510000,0
2024-10-18,153.13,159.05,152.07,159.0,97053.172,2024-10-18 23:59:59.999,15151010.38426000,80300,48311.77600000,7541275.34286000,0
2024-10-19,159.02,159.91,155.77,158.15,65337.172,2024-10-19 23:59:59.999,10322776.04672000,59464,29928.73700000,4727736.36718000,0
2024-10-20,158.18,160.58,156.04,158.88,82687.271,2024-10-20 23:59:59.999,13094839.92152000,71758,45154.13100000,7151228.15719000,0
2024-10-21,158.91,159.89,151.3,153.25,103541.131,2024-10-21 23:59:59.999,16049464.61439000,74811,49207.43100000,7635093.89680000,0
2024-10-22,153.26,155.26,149.99,152.67,72677.47,2024-10-22 23:59:59.999,11100209.21680000,51282,36421.13200000,5563754.37610000,0
2024-10-23,152.68,153.01,143.88,149.61,84456.014,2024-10-23 23:59:59.999,12536704.65485000,85159,38402.85900000,5700982.38209000,0
2024-10-24,149.61,153.16,145.9,147.44,104300.323,2024-10-24 23:59:59.999,15624353.08232000,79264,48327.99000000,7245319.43808000,0
2024-10-25,147.48,149.66,132.0,138.1,148032.65,2024-10-25 23:59:59.999,20960991.24083000,128974,69768.36500000,9867726.11465000,0
2024-10-26,138.08,143.88,136.63,142.69,85873.918,2024-10-26 23:59:59.999,12084414.67722000,69610,41351.68100000,5819550.70491000,0
2024-10-27,142.7,148.06,141.83,147.94,59667.959,2024-10-27 23:59:59.999,8613524.73815000,48191,30640.13600000,4425061.34372000,0
2024-10-28,147.95,154.4,146.4,151.69,142180.392,2024-10-28 23:59:59.999,21428936.72356000,121588,69087.47300000,10417910.99785000,0
2024-10-29,151.67,155.38,149.19,151.49,116859.049,2024-10-29 23:59:59.999,17812159.74706000,103594,57383.66600000,8751284.92103000,0
2024-10-30,151.51,158.32,148.65,156.25,137311.726,2024-10-30 23:59:59.999,21274046.58620000,104803,71852.17700000,11140467.74415000,0
2024-10-31,156.19,157.7,140.86,143.51,144313.974,2024-10-31 23:59:59.999,21211042.63460000,110473,71681.22400000,10542380.46923000,0
2024-11-01,143.51,147.09,140.03,141.45,84272.533,2024-11-01 23:59:59.999,12063147.20471000,72863,43781.26400000,6271068.80041000,0
2024-11-02,141.41,143.77,136.95,138.42,68486.309,2024-11-02 23:59:59.999,9570080.90977000,50758,33550.12900000,4692511.22701000,0
2024-11-03,138.45,138.65,128.63,132.87,119709.017,2024-11-03 23:59:59.999,15947137.71799000,115284,58998.89800000,7859815.00745000,0
2024-11-04,132.86,134.92,125.73,128.27,131983.101,2024-11-04 23:59:59.999,17134170.01417000,120435,67792.42400000,8808806.28925000,0
2024-11-05,128.27,136.85,127.87,135.83,217528.776,2024-11-05 23:59:59.999,28661174.31924000,192107,88443.11500000,11670162.53122000,0
2024-11-06,135.83,176.36,135.79,173.71,695053.895,2024-11-06 23:59:59.999,110609666.10601000,469006,361161.92000000,57445925.42171000,0
2024-11-07,173.65,190.81,173.23,183.4,500583.521,2024-11-07 23:59:59.999,92016693.93055000,373193,251115.84100000,46142016.22462000,0
2024-11-08,183.54,185.4,165.85,181.94,228363.348,2024-11-08 23:59:59.999,41122779.71610000,178251,110786.52400000,19977644.90442000,0
2024-11-09,181.97,199.49,181.03,195.35,300785.629,2024-11-09 23:59:59.999,57479886.02604000,275495,157578.92600000,30124334.41013000,0
2024-11-10,195.21,198.66,181.35,190.06,333343.573,2024-11-10 23:59:59.999,64136757.50189000,310598,173285.45400000,33335506.52683000,0
2024-11-11,190.06,195.16,183.14,193.47,310377.742,2024-11-11 23:59:59.999,58654501.90282000,238736,150749.37800000,28490181.92628000,0
2024-11-12,193.44,196.86,172.51,179.17,445954.983,2024-11-12 23:59:59.999,81939083.72140000,349136,209992.48500000,38664938.14885000,0
2024-11-13,179.28,187.85,167.13,173.21,364844.348,2024-11-13 23:59:59.999,64304093.90031000,364605,171172.04600000,30168595.52590000,0
2024-11-14,173.2,176.89,155.63,158.13,265381.383,2024-11-14 23:59:59.999,44165743.14736000,247698,128870.05900000,21443252.94341000,0
2024-11-15,158.16,166.49,150.6,164.4,490115.668,2024-11-15 23:59:59.999,77683754.82340000,320698,245026.63900000,38850528.00225000,0
2024-11-16,164.4,175.73,163.05,168.95,241607.473,2024-11-16 23:59:59.999,40786489.56080000,225082,113522.62500000,19171744.17141000,0
2024-11-17,168.96,172.4,159.44,161.98,217380.757,2024-11-17 23:59:59.999,36124912.85945000,211228,96063.00400000,15950599.66758000,0
2024-11-18,162.0,173.24,161.14,170.78,229339.926,2024-11-18 23:59:59.999,38436385.66843000,220982,115639.34800000,19384008.21363000,0
2024-11-19,170.77,173.43,158.55,161.95,213799.687,2024-11-19 23:59:59.999,34941195.20748000,155081,108551.20500000,17740310.28389000,0
2024-11-20,161.99,168.0,153.24,156.77,200571.661,2024-11-20 23:59:59.999,32171088.85996000,172377,94638.40100000,15175907.45200000,0
2024-11-21,156.78,170.85,151.86,169.23,285392.265,2024-11-21 23:59:59.999,46614281.16707000,232521,146375.35600000,23876364.82522000,0
2024-11-22,169.27,173.49,161.14,173.46,270150.291,2024-11-22 23:59:59.999,45062872.43918000,202553,137415.20300000,22905995.65996000,0
2024-11-23,173.49,184.27,169.84,174.45,343983.151,2024-11-23 23:59:59.999,60628434.52092000,291436,173908.80500000,30648631.10113000,0
2024-11-24,174.43,183.56,160.52,171.14,356410.728,2024-11-24 23:59:59.999,60956505.13781000,284580,185148.76200000,31631158.05784000,0
