Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.02383,0.02465,0.02254,0.02287,327022489.0,2024-11-17 23:59:59.999,7754860.30385000,46043,146574866.00000000,3483810.35054000,0
2024-11-18,0.02288,0.02386,0.02226,0.02348,375571625.0,2024-11-18 23:59:59.999,8679336.98613000,56261,188529518.00000000,4353580.80661000,0
2024-11-19,0.02349,0.0236,0.02213,0.02273,190155453.0,2024-11-19 23:59:59.999,4363533.37702000,30648,91284402.00000000,2094804.49202000,0
2024-11-20,0.02275,0.02296,0.02094,0.02124,187448156.0,2024-11-20 23:59:59.999,4134321.90586000,28872,87021154.00000000,1921336.70167000,0
2024-11-21,0.02127,0.02387,0.02063,0.02346,286126204.0,2024-11-21 23:59:59.999,6408056.11142000,48623,145211134.00000000,3253147.36972000,0
2024-11-22,0.02346,0.02403,0.02217,0.02337,263849882.0,2024-11-22 23:59:59.999,6081086.58126000,44495,139008334.00000000,3205422.83845000,0
2024-11-23,0.02337,0.0273,0.02324,0.02625,757647548.0,2024-11-23 23:59:59.999,19425582.45462000,117293,382249380.00000000,9788006.43192000,0
2024-11-24,0.02627,0.02885,0.02499,0.02802,504738807.0,2024-11-24 23:59:59.999,13549700.53357000,95186,255651479.00000000,6874175.72880000,0
2024-11-25,0.02804,0.02956,0.02661,0.02731,434929996.0,2024-11-25 23:59:59.999,12205605.45554000,86232,214147049.00000000,6013364.11960000,0
2024-11-26,0.02731,0.02877,0.02526,0.0268,411766667.0,2024-11-26 23:59:59.999,11122272.54995000,80157,209698376.00000000,5668785.91923000,0
2024-11-27,0.02681,0.02995,0.02633,0.02959,290299486.0,2024-11-27 23:59:59.999,8141072.44700000,48267,140472522.00000000,3941612.93231000,0
2024-11-28,0.02956,0.02971,0.02804,0.02907,236715377.0,2024-11-28 23:59:59.999,6812609.80346000,36522,115970580.00000000,3336778.03238000,0
2024-11-29,0.02908,0.02978,0.02796,0.02966,190163361.0,2024-11-29 23:59:59.999,5479744.81861000,28873,94753795.00000000,2732251.73157000,0
2024-11-30,0.02967,0.03236,0.02913,0.03155,319239823.0,2024-11-30 23:59:59.999,9923125.54600000,51911,167033752.00000000,5192347.06422000,0
2024-12-01,0.03155,0.03156,0.03012,0.03059,267821026.0,2024-12-01 23:59:59.999,8261946.36741000,42344,137917539.00000000,4253678.63888000,0
2024-12-02,0.0306,0.03169,0.02819,0.03161,437994095.0,2024-12-02 23:59:59.999,13142373.70324000,65588,209969662.00000000,6305330.19587000,0
2024-12-03,0.03162,0.035,0.03083,0.03469,739778396.0,2024-12-03 23:59:59.999,24525917.35046000,122064,362559832.00000000,12038143.06234000,0
2024-12-04,0.03464,0.03782,0.03384,0.03685,595438613.0,2024-12-04 23:59:59.999,21386619.47974000,105532,305887813.00000000,10994562.83664000,0
2024-12-05,0.03685,0.03853,0.03477,0.0378,494978426.0,2024-12-05 23:59:59.999,18353022.49205000,99076,236877256.00000000,8792509.84584000,0
2024-12-06,0.03783,0.03971,0.03602,0.03745,364234885.0,2024-12-06 23:59:59.999,13853259.21506000,68383,182843521.00000000,6961629.81792000,0
2024-12-07,0.03744,0.03763,0.0359,0.03595,242338487.0,2024-12-07 23:59:59.999,8911933.21492000,43250,118524354.00000000,4359673.11092000,0
2024-12-08,0.03598,0.03623,0.0345,0.03607,193191879.0,2024-12-08 23:59:59.999,6862073.17358000,31200,89526126.00000000,3182785.12252000,0
2024-12-09,0.03608,0.03612,0.02524,0.02913,476718196.0,2024-12-09 23:59:59.999,14857393.81180000,109846,224979283.00000000,6999834.72721000,0
2024-12-10,0.02913,0.03017,0.02626,0.02859,461674579.0,2024-12-10 23:59:59.999,13045045.20291000,81347,214841899.00000000,6082722.22829000,0
2024-12-11,0.02859,0.03233,0.0273,0.03168,342752926.0,2024-12-11 23:59:59.999,10345230.97410000,63203,176608747.00000000,5337398.49199000,0
2024-12-12,0.0317,0.03383,0.03128,0.03222,282659670.0,2024-12-12 23:59:59.999,9218687.07909000,56316,136768331.00000000,4465132.73681000,0
2024-12-13,0.03224,0.03358,0.03116,0.03276,280870839.0,2024-12-13 23:59:59.999,9071540.66176000,55098,143879716.00000000,4649660.04763000,0
2024-12-14,0.03276,0.03346,0.02979,0.03051,203855207.0,2024-12-14 23:59:59.999,6397725.31238000,36513,92046262.00000000,2890525.23792000,0
2024-12-15,0.0305,0.03199,0.02939,0.03184,211876640.0,2024-12-15 23:59:59.999,6531949.45639000,40351,107815496.00000000,3328738.01909000,0
