Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.7416,0.7798,0.6893,0.7026,474262736.4,2024-11-17 23:59:59.999,343209116.65849000,903735,236354138.90000000,171399375.07575000,0
2024-11-18,0.7026,0.7839,0.7002,0.7325,442341128.2,2024-11-18 23:59:59.999,330666463.31476000,888793,220226997.10000000,164608738.11882000,0
2024-11-19,0.7324,0.765,0.72,0.7387,297007303.0,2024-11-19 23:59:59.999,220052984.09587000,737560,142924690.10000000,105917365.68662000,0
2024-11-20,0.7386,0.8484,0.7384,0.8003,729698432.0,2024-11-20 23:59:59.999,589176003.92552000,1840954,367900354.70000000,297028726.44036000,0
2024-11-21,0.8003,0.8239,0.7655,0.8218,486701467.7,2024-11-21 23:59:59.999,385320898.48423000,1114578,238403653.30000000,188770019.01728000,0
2024-11-22,0.8219,1.044,0.8123,1.0175,1031366149.7,2024-11-22 23:59:59.999,951601355.45730000,2656816,528184288.80000000,488291205.01811000,0
2024-11-23,1.0175,1.1542,1.0157,1.0658,919763706.7,2024-11-23 23:59:59.999,999895519.19869000,3007293,458749381.00000000,499071922.61354000,0
2024-11-24,1.0659,1.0978,0.9364,1.0226,581357178.0,2024-11-24 23:59:59.999,589527198.16959000,1639356,276539936.30000000,280628475.09357000,0
2024-11-25,1.0228,1.0778,0.9294,0.9435,504171181.2,2024-11-25 23:59:59.999,510126715.76066000,1356295,245792532.60000000,248895027.87592000,0
2024-11-26,0.9435,0.9899,0.8743,0.9603,479192975.7,2024-11-26 23:59:59.999,446012171.51782000,930730,224679502.50000000,209439836.53381000,0
2024-11-27,0.9602,1.0419,0.9312,1.0116,383499059.9,2024-11-27 23:59:59.999,381685157.39903000,726784,185873391.20000000,185123415.76629000,0
2024-11-28,1.0114,1.0491,0.9693,1.0321,254849669.5,2024-11-28 23:59:59.999,255775297.24479000,483834,122258551.30000000,122785375.14566000,0
2024-11-29,1.0321,1.0996,1.0274,1.0755,351237724.5,2024-11-29 23:59:59.999,372030464.58834000,710434,182759869.80000000,193666750.28317000,0
2024-11-30,1.0754,1.1498,1.0498,1.079,369560299.2,2024-11-30 23:59:59.999,404695449.93611000,788864,181032132.80000000,198287916.30013000,0
2024-12-01,1.079,1.1633,1.0375,1.1496,372853685.8,2024-12-01 23:59:59.999,408454755.18449000,752578,188332644.90000000,206729418.22590000,0
2024-12-02,1.1497,1.2424,1.0567,1.2022,866951754.4,2024-12-02 23:59:59.999,1004619832.02816000,1985411,437994509.90000000,507818408.96480000,0
2024-12-03,1.2022,1.3264,1.1401,1.1914,802151381.2,2024-12-03 23:59:59.999,996076336.27460000,1777776,401465409.60000000,499487982.41331000,0
2024-12-04,1.1915,1.2417,1.1403,1.1871,383350912.1,2024-12-04 23:59:59.999,459038776.08453000,1002570,187757231.20000000,225053946.25973000,0
2024-12-05,1.1871,1.2445,1.1138,1.1597,413686149.8,2024-12-05 23:59:59.999,493326782.85723000,1170543,202760880.30000000,241847246.71655000,0
2024-12-06,1.1599,1.2375,1.1336,1.2278,311787487.7,2024-12-06 23:59:59.999,370336806.48191000,809045,149942950.10000000,178218024.09327000,0
2024-12-07,1.2278,1.2369,1.1881,1.2103,165417822.9,2024-12-07 23:59:59.999,200216501.79526000,507595,81137150.20000000,98214483.14035000,0
2024-12-08,1.2103,1.224,1.1723,1.1936,255648168.3,2024-12-08 23:59:59.999,305471310.07778000,620438,124442730.00000000,148690534.41111000,0
2024-12-09,1.1936,1.1936,0.91,1.0034,618530935.0,2024-12-09 23:59:59.999,656856497.65303000,1373897,284586419.30000000,302146749.06780000,0
2024-12-10,1.0035,1.0378,0.91,1.0215,628873381.3,2024-12-10 23:59:59.999,620337470.36458000,1135695,321100247.00000000,317295680.60884000,0
2024-12-11,1.0215,1.115,0.9718,1.0868,361950376.3,2024-12-11 23:59:59.999,381253713.21657000,625086,180854060.10000000,190612815.28468000,0
2024-12-12,1.0869,1.1819,1.0728,1.1231,338015830.6,2024-12-12 23:59:59.999,384694616.50235000,762518,174228712.50000000,198436071.90492000,0
2024-12-13,1.1231,1.1308,1.0774,1.1213,180296167.7,2024-12-13 23:59:59.999,198879696.07751000,472985,89796358.90000000,99110442.90135000,0
2024-12-14,1.1213,1.1332,1.0431,1.061,138860581.3,2024-12-14 23:59:59.999,151054575.98239000,326779,65244807.80000000,71031770.19496000,0
2024-12-15,1.0609,1.1123,1.0389,1.0996,139414086.3,2024-12-15 23:59:59.999,150364364.25680000,373038,66685068.50000000,71945146.10116000,0
2024-12-16,1.0995,1.121,1.0474,1.0775,220525179.7,2024-12-16 23:59:59.999,240019551.40804000,628367,105701345.60000000,115026982.01098000,0
2024-12-17,1.0775,1.1119,1.0418,1.0522,252529517.4,2024-12-17 23:59:59.999,272307044.62170000,611324,121171655.70000000,130672833.89965000,0
2024-12-18,1.0523,1.0602,0.958,0.9681,375972520.0,2024-12-18 23:59:59.999,381153020.99213000,764116,180386415.90000000,182924848.05022000,0
2024-12-19,0.9682,0.989,0.8475,0.8806,447732655.1,2024-12-19 23:59:59.999,412799537.41702000,965598,213159459.90000000,196931332.23710000,0
2024-12-20,0.8806,0.9596,0.762,0.9501,594787205.1,2024-12-20 23:59:59.999,505957923.75982000,1068804,297747357.20000000,253740142.63947000,0
2024-12-21,0.95,0.9979,0.8867,0.9052,289558064.4,2024-12-21 23:59:59.999,271285306.19440000,580092,141316993.30000000,132411759.41188000,0
2024-12-22,0.9053,0.9249,0.8589,0.8834,234703947.6,2024-12-22 23:59:59.999,209338752.62592000,444124,114242586.00000000,101941795.00277000,0
2024-12-23,0.8835,0.9425,0.8619,0.9264,245984682.7,2024-12-23 23:59:59.999,220346228.35005000,488005,124086222.70000000,111160918.94805000,0
2024-12-24,0.9265,0.9507,0.8918,0.9358,165078579.2,2024-12-24 23:59:59.999,152125524.91007000,355489,82954113.80000000,76437584.55892000,0
2024-12-25,0.9357,0.9403,0.9,0.9176,95106199.7,2024-12-25 23:59:59.999,87484993.18814000,245903,46038219.80000000,42369926.84073000,0
2024-12-26,0.9176,0.9281,0.8507,0.8611,131074807.3,2024-12-26 23:59:59.999,115033223.24511000,275243,62764293.10000000,55066743.42463000,0
2024-12-27,0.8611,0.9147,0.855,0.8771,134800242.8,2024-12-27 23:59:59.999,119074484.61098000,322382,64578519.70000000,57056726.20721000,0
2024-12-28,0.8771,0.9,0.8662,0.8895,79029125.6,2024-12-28 23:59:59.999,69514216.91419000,212022,38089594.60000000,33503319.54113000,0
2024-12-29,0.8895,0.9123,0.851,0.859,105900380.7,2024-12-29 23:59:59.999,93448345.93245000,239856,51142938.80000000,45178295.16395000,0
2024-12-30,0.859,0.9048,0.8296,0.8615,168318692.6,2024-12-30 23:59:59.999,145131815.83974000,369154,81959155.50000000,70666601.48374000,0
2024-12-31,0.8616,0.8791,0.8397,0.8451,107355712.5,2024-12-31 23:59:59.999,92144216.53289000,253859,53909396.70000000,46287993.55548000,0
2025-01-01,0.845,0.9355,0.838,0.9222,171861317.3,2025-01-01 23:59:59.999,153287717.95969000,394096,79584838.50000000,70858056.67718000,0
