Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.0964,0.1027,0.094,0.1016,34075960.0,2024-09-19 23:59:59.999,3368146.43850000,18196,17010276.00000000,1680982.56230000,0
2024-09-20,0.1017,0.117,0.1017,0.1059,76650885.0,2024-09-20 23:59:59.999,8375728.03530000,48736,37493719.00000000,4095748.05360000,0
2024-09-21,0.1057,0.1202,0.1042,0.1201,39766857.0,2024-09-21 23:59:59.999,4409146.14480000,24540,21120634.00000000,2345447.96040000,0
2024-09-22,0.1202,0.1205,0.1071,0.1114,23922624.0,2024-09-22 23:59:59.999,2663259.08770000,16710,10775503.00000000,1199962.10050000,0
2024-09-23,0.1113,0.1117,0.107,0.1091,16302101.0,2024-09-23 23:59:59.999,1785050.01230000,9996,7105413.00000000,778844.88410000,0
2024-09-24,0.1092,0.1249,0.1091,0.1137,49519667.0,2024-09-24 23:59:59.999,5735610.15990000,34831,25158676.00000000,2921747.56310000,0
2024-09-25,0.1136,0.1136,0.107,0.1082,13663967.0,2024-09-25 23:59:59.999,1497860.96420000,9308,5538795.00000000,607016.61460000,0
2024-09-26,0.1083,0.1112,0.1051,0.1109,10973791.0,2024-09-26 23:59:59.999,1188953.01830000,8297,4601222.00000000,498612.82000000,0
2024-09-27,0.1109,0.1129,0.108,0.1107,9317040.0,2024-09-27 23:59:59.999,1027755.49460000,8299,3691357.00000000,407253.76370000,0
2024-09-28,0.1108,0.112,0.1074,0.1091,5331860.0,2024-09-28 23:59:59.999,582885.83340000,4866,2348572.00000000,256538.34440000,0
2024-09-29,0.1092,0.1127,0.1082,0.1124,17123794.0,2024-09-29 23:59:59.999,1902114.98410000,11025,8942879.00000000,994310.77660000,0
2024-09-30,0.1123,0.1123,0.1035,0.104,12358864.0,2024-09-30 23:59:59.999,1322491.87870000,8188,5463166.00000000,583982.50600000,0
2024-10-01,0.1039,0.1071,0.0926,0.0958,25073247.0,2024-10-01 23:59:59.999,2475607.13930000,15171,12121059.00000000,1191981.18500000,0
2024-10-02,0.0957,0.0973,0.0925,0.0968,17890660.0,2024-10-02 23:59:59.999,1706725.57220000,10690,9939913.00000000,949482.76780000,0
2024-10-03,0.0968,0.0996,0.0902,0.0936,26816782.0,2024-10-03 23:59:59.999,2532212.62870000,15615,13837528.00000000,1310430.55750000,0
2024-10-04,0.0935,0.1015,0.0921,0.1012,12141157.0,2024-10-04 23:59:59.999,1166013.64100000,8129,6020743.00000000,580485.16720000,0
2024-10-05,0.1013,0.1016,0.0974,0.1011,9042837.0,2024-10-05 23:59:59.999,903736.58520000,6661,4163646.00000000,416549.10170000,0
2024-10-06,0.101,0.1072,0.0995,0.1062,19999551.0,2024-10-06 23:59:59.999,2076475.69290000,14451,9956668.00000000,1033820.13930000,0
2024-10-07,0.1059,0.11,0.1034,0.1065,16445020.0,2024-10-07 23:59:59.999,1762042.86880000,12484,7232459.00000000,775498.38270000,0
2024-10-08,0.1066,0.1082,0.1033,0.1054,15075059.0,2024-10-08 23:59:59.999,1594367.92400000,12121,6804382.00000000,720006.15700000,0
2024-10-09,0.1054,0.1074,0.0986,0.0995,12539772.0,2024-10-09 23:59:59.999,1293517.83420000,10623,5205304.00000000,537890.65230000,0
2024-10-10,0.0995,0.0998,0.0948,0.0985,9898011.0,2024-10-10 23:59:59.999,967428.02580000,9181,4889883.00000000,478385.18580000,0
2024-10-11,0.0985,0.1047,0.098,0.1045,12792629.0,2024-10-11 23:59:59.999,1313129.74170000,9355,6444253.00000000,661293.04550000,0
2024-10-12,0.1047,0.1065,0.103,0.1053,6950874.0,2024-10-12 23:59:59.999,729890.28450000,6208,3059327.00000000,321586.61210000,0
2024-10-13,0.1053,0.1055,0.1001,0.1033,5998947.0,2024-10-13 23:59:59.999,617451.91090000,6351,2454078.00000000,252184.35170000,0
2024-10-14,0.1034,0.1085,0.101,0.1075,6454110.0,2024-10-14 23:59:59.999,677984.69180000,7316,2929921.00000000,307720.75230000,0
2024-10-15,0.1076,0.1081,0.1018,0.1058,12840687.0,2024-10-15 23:59:59.999,1353733.14980000,11278,5782164.00000000,609422.07900000,0
2024-10-16,0.1058,0.1064,0.1029,0.1044,5399654.0,2024-10-16 23:59:59.999,566596.45390000,6132,2646235.00000000,277811.52380000,0
2024-10-17,0.1044,0.1048,0.1002,0.1021,7808821.0,2024-10-17 23:59:59.999,794835.09260000,6501,3562965.00000000,362751.02800000,0
2024-10-18,0.1021,0.1059,0.102,0.1056,6428487.0,2024-10-18 23:59:59.999,671962.78010000,6170,3092111.00000000,323193.40500000,0
2024-10-19,0.1056,0.1066,0.1036,0.1058,4203255.0,2024-10-19 23:59:59.999,442650.32780000,4332,1526835.00000000,160790.38420000,0
2024-10-20,0.1057,0.1083,0.1038,0.1081,7007254.0,2024-10-20 23:59:59.999,741567.96430000,8734,3023443.00000000,320337.16110000,0
2024-10-21,0.1081,0.1081,0.1043,0.1074,12248220.0,2024-10-21 23:59:59.999,1301718.91860000,11166,5711463.00000000,607660.05420000,0
2024-10-22,0.1074,0.1078,0.1034,0.1058,15883674.0,2024-10-22 23:59:59.999,1680554.77310000,11225,7929550.00000000,839904.08290000,0
2024-10-23,0.1061,0.1062,0.0982,0.101,6116195.0,2024-10-23 23:59:59.999,620942.66920000,7072,2488310.00000000,252479.02820000,0
2024-10-24,0.101,0.1026,0.0988,0.1024,5846290.0,2024-10-24 23:59:59.999,589209.19110000,7032,2754220.00000000,277825.86410000,0
2024-10-25,0.1023,0.1026,0.0893,0.0926,11353316.0,2024-10-25 23:59:59.999,1103840.78930000,12595,5519376.00000000,534057.75170000,0
2024-10-26,0.0925,0.0953,0.0913,0.0944,7075709.0,2024-10-26 23:59:59.999,660928.03410000,7864,3818255.00000000,356954.55360000,0
2024-10-27,0.0942,0.0961,0.0937,0.0954,2216703.0,2024-10-27 23:59:59.999,210008.97550000,3567,1280794.00000000,121491.38640000,0
2024-10-28,0.0956,0.0996,0.0924,0.0975,31760815.0,2024-10-28 23:59:59.999,3069151.66980000,24580,17882131.00000000,1731462.11640000,0
2024-10-29,0.0975,0.1035,0.0971,0.1032,17909680.0,2024-10-29 23:59:59.999,1803770.00040000,13262,8392230.00000000,845789.80290000,0
2024-10-30,0.1032,0.1032,0.0989,0.0994,7789124.0,2024-10-30 23:59:59.999,782184.05740000,10282,2708103.00000000,271601.94020000,0
