Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.924,0.945,0.889,0.896,1903736.8,2024-09-19 23:59:59.999,1733273.58810000,15827,790493.50000000,718435.34840000,0
2024-09-20,0.898,0.92,0.859,0.917,1522331.2,2024-09-20 23:59:59.999,1359236.31100000,13111,689417.50000000,616053.49700000,0
2024-09-21,0.918,0.937,0.907,0.93,706311.8,2024-09-21 23:59:59.999,652543.94440000,7497,365787.00000000,338019.66080000,0
2024-09-22,0.931,0.94,0.895,0.927,972725.1,2024-09-22 23:59:59.999,897222.14340000,9585,516386.10000000,476420.07190000,0
2024-09-23,0.927,0.95,0.898,0.936,1210278.5,2024-09-23 23:59:59.999,1119772.66370000,10720,572943.50000000,529909.15110000,0
2024-09-24,0.937,0.97,0.915,0.963,866291.1,2024-09-24 23:59:59.999,814930.33810000,8728,420462.70000000,395704.83940000,0
2024-09-25,0.961,0.984,0.934,0.961,982076.9,2024-09-25 23:59:59.999,942411.88710000,8936,473858.40000000,454867.47870000,0
2024-09-26,0.963,1.004,0.95,0.984,1059367.3,2024-09-26 23:59:59.999,1045064.48120000,10425,561518.40000000,553770.69190000,0
2024-09-27,0.982,1.008,0.943,0.963,1448932.0,2024-09-27 23:59:59.999,1399879.28770000,11865,745242.80000000,719010.47970000,0
2024-09-28,0.964,1.002,0.95,0.971,924089.4,2024-09-28 23:59:59.999,904695.36940000,8309,478234.60000000,468588.33600000,0
2024-09-29,0.972,1.005,0.952,0.991,724925.1,2024-09-29 23:59:59.999,709851.47770000,6783,345144.80000000,338521.56300000,0
2024-09-30,0.992,1.0,0.901,0.91,960276.7,2024-09-30 23:59:59.999,921570.15510000,8134,480197.00000000,460812.48370000,0
2024-10-01,0.912,0.98,0.848,0.865,1246535.1,2024-10-01 23:59:59.999,1135465.98090000,13256,622789.00000000,568353.88060000,0
2024-10-02,0.863,0.919,0.838,0.85,987234.5,2024-10-02 23:59:59.999,868741.85130000,11689,533243.30000000,469237.05740000,0
2024-10-03,0.849,0.883,0.831,0.868,1164064.6,2024-10-03 23:59:59.999,1004596.12350000,10906,510605.80000000,440549.37670000,0
2024-10-04,0.869,0.904,0.864,0.892,733447.3,2024-10-04 23:59:59.999,649719.42110000,7203,341168.20000000,302267.00950000,0
2024-10-05,0.892,0.935,0.886,0.921,953943.0,2024-10-05 23:59:59.999,875658.59820000,7659,531012.70000000,487789.40530000,0
2024-10-06,0.922,0.952,0.915,0.948,542048.9,2024-10-06 23:59:59.999,506586.04280000,5007,267064.40000000,249626.04190000,0
2024-10-07,0.948,0.982,0.942,0.952,656497.6,2024-10-07 23:59:59.999,632274.82420000,5257,300468.60000000,289565.09690000,0
2024-10-08,0.951,0.975,0.941,0.955,897745.1,2024-10-08 23:59:59.999,859141.72710000,6501,420031.90000000,402233.46130000,0
2024-10-09,0.956,0.961,0.92,0.943,635219.5,2024-10-09 23:59:59.999,601404.34360000,6579,282320.60000000,267067.57050000,0
2024-10-10,0.943,0.986,0.935,0.976,1745496.6,2024-10-10 23:59:59.999,1689584.66500000,13355,970238.90000000,939965.31230000,0
2024-10-11,0.976,1.05,0.966,1.026,2240100.7,2024-10-11 23:59:59.999,2248741.08490000,19803,1096894.60000000,1102070.42230000,0
2024-10-12,1.026,1.054,1.006,1.015,819019.5,2024-10-12 23:59:59.999,847105.67820000,8363,384983.10000000,398939.38140000,0
2024-10-13,1.017,1.039,0.992,1.021,917868.8,2024-10-13 23:59:59.999,934011.38440000,8625,464194.60000000,473075.77090000,0
2024-10-14,1.021,1.073,1.005,1.062,1034170.9,2024-10-14 23:59:59.999,1076691.29450000,8309,561435.60000000,584627.23310000,0
2024-10-15,1.062,1.222,1.054,1.179,5516775.9,2024-10-15 23:59:59.999,6334943.58650000,35062,2869877.40000000,3293950.80810000,0
2024-10-16,1.178,1.192,1.111,1.114,1520687.1,2024-10-16 23:59:59.999,1736763.56870000,10540,705483.70000000,805933.86410000,0
2024-10-17,1.113,1.171,1.08,1.112,2217176.0,2024-10-17 23:59:59.999,2482894.54590000,18282,1076491.20000000,1208258.07870000,0
2024-10-18,1.112,1.219,1.107,1.195,1866481.5,2024-10-18 23:59:59.999,2170849.87360000,15158,925602.90000000,1072930.97480000,0
2024-10-19,1.194,1.211,1.154,1.192,714696.5,2024-10-19 23:59:59.999,849373.01540000,6920,320448.50000000,381353.41030000,0
2024-10-20,1.193,1.307,1.172,1.274,2343997.0,2024-10-20 23:59:59.999,2943487.62640000,19480,1221410.30000000,1530555.06520000,0
2024-10-21,1.275,1.276,1.183,1.203,1110505.0,2024-10-21 23:59:59.999,1353007.58520000,11160,536442.30000000,653701.19050000,0
2024-10-22,1.203,1.24,1.044,1.056,5130290.2,2024-10-22 23:59:59.999,5713629.08330000,32146,2734779.40000000,3058334.88840000,0
2024-10-23,1.056,1.137,1.035,1.113,3815595.7,2024-10-23 23:59:59.999,4147725.42930000,34497,1844446.80000000,2007112.26910000,0
2024-10-24,1.113,1.127,1.08,1.102,1267035.4,2024-10-24 23:59:59.999,1397271.53740000,10179,592076.40000000,653364.22750000,0
2024-10-25,1.102,1.107,0.996,1.049,1126047.8,2024-10-25 23:59:59.999,1206005.46810000,10921,502592.60000000,537290.42720000,0
2024-10-26,1.047,1.057,0.969,0.987,1074292.3,2024-10-26 23:59:59.999,1083265.84410000,10510,533165.90000000,537836.56550000,0
2024-10-27,0.987,1.034,0.964,1.021,706730.1,2024-10-27 23:59:59.999,705053.82430000,6533,375629.60000000,374476.93240000,0
2024-10-28,1.021,1.024,0.968,1.004,904728.7,2024-10-28 23:59:59.999,896768.49050000,8025,423386.50000000,419526.23200000,0
2024-10-29,1.003,1.085,1.003,1.056,1683858.1,2024-10-29 23:59:59.999,1791911.90340000,14899,821207.90000000,875225.64660000,0
2024-10-30,1.057,1.101,1.046,1.067,966487.0,2024-10-30 23:59:59.999,1039165.99450000,11973,465090.50000000,500865.19520000,0
2024-10-31,1.066,1.081,0.985,0.998,998205.4,2024-10-31 23:59:59.999,1032281.43140000,10997,448994.90000000,465275.67410000,0
