Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.004306,0.004387,0.004006,0.004038,771459351.0,2024-11-17 23:59:59.999,3235530.17523100,72893,358896119.00000000,1504015.49133800,0
2024-11-18,0.004038,0.004164,0.003921,0.004105,474211211.0,2024-11-18 23:59:59.999,1927698.76257200,55100,247901298.00000000,1008106.24899400,0
2024-11-19,0.004104,0.00413,0.0039,0.003987,332227263.0,2024-11-19 23:59:59.999,1329868.89278100,41722,150600537.00000000,603168.90217700,0
2024-11-20,0.003983,0.00413,0.003788,0.003813,407718275.0,2024-11-20 23:59:59.999,1616664.39611500,43151,195900756.00000000,777451.82884400,0
2024-11-21,0.003812,0.004041,0.003727,0.004025,269860925.0,2024-11-21 23:59:59.999,1057036.93291000,30759,150158371.00000000,588688.65401500,0
2024-11-22,0.00403,0.004068,0.00392,0.004056,241187400.0,2024-11-22 23:59:59.999,964452.44032900,29771,127861911.00000000,511590.99203900,0
2024-11-23,0.004056,0.00435,0.004048,0.004214,681179848.0,2024-11-23 23:59:59.999,2865146.99711700,66516,335489748.00000000,1412049.72466600,0
2024-11-24,0.004214,0.00459,0.00407,0.004489,1067181267.0,2024-11-24 23:59:59.999,4681106.94091600,100222,522836039.00000000,2294681.96018300,0
2024-11-25,0.004489,0.004708,0.004281,0.004348,627620798.0,2024-11-25 23:59:59.999,2803840.81858600,71814,312999173.00000000,1400330.65959300,0
2024-11-26,0.004341,0.004515,0.00409,0.004247,386861371.0,2024-11-26 23:59:59.999,1657099.31675700,53840,184875139.00000000,791832.97689800,0
2024-11-27,0.004247,0.004537,0.004156,0.004504,249747781.0,2024-11-27 23:59:59.999,1093528.92988800,40763,132470070.00000000,580294.00830400,0
2024-11-28,0.004502,0.004514,0.004303,0.004479,261627144.0,2024-11-28 23:59:59.999,1151840.33255200,39098,140243978.00000000,618614.37171400,0
2024-11-29,0.004479,0.004695,0.004419,0.004611,420593963.0,2024-11-29 23:59:59.999,1922246.76654500,61451,208001684.00000000,950979.33035700,0
2024-11-30,0.004611,0.005,0.004564,0.004847,509994609.0,2024-11-30 23:59:59.999,2447083.03405900,70874,258880899.00000000,1242778.50006200,0
2024-12-01,0.004847,0.005073,0.004697,0.005005,384677853.0,2024-12-01 23:59:59.999,1869129.32712300,62895,197481749.00000000,960125.54271000,0
2024-12-02,0.005005,0.005068,0.004473,0.004981,584401735.0,2024-12-02 23:59:59.999,2782582.99916800,89662,293816203.00000000,1397160.81696200,0
2024-12-03,0.004977,0.005692,0.00475,0.005468,1027011092.0,2024-12-03 23:59:59.999,5402679.26284300,147204,518454263.00000000,2727847.21966300,0
2024-12-04,0.005468,0.006419,0.005361,0.006204,1094055445.0,2024-12-04 23:59:59.999,6427753.67308200,178693,554865508.00000000,3260678.09472700,0
2024-12-05,0.006209,0.0088,0.005471,0.005748,5003910026.0,2024-12-05 23:59:59.999,33423716.83662500,586951,2458989898.00000000,16473238.26809300,0
