Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,20.32,22.57,19.51,20.72,189788.4922,2024-11-17 23:59:59.999,4015025.79543900,36314,90387.27650000,1914780.20536400,0
2024-11-18,20.69,21.68,20.17,21.46,103216.8619,2024-11-18 23:59:59.999,2168604.88444600,24378,44827.61720000,942374.85524100,0
2024-11-19,21.45,21.59,20.46,21.01,58767.8837,2024-11-19 23:59:59.999,1239888.76302800,14703,29886.36200000,630546.45412400,0
2024-11-20,21.01,21.01,19.58,19.97,52091.4188,2024-11-20 23:59:59.999,1059668.23744100,14920,26699.83390000,543483.61514500,0
2024-11-21,19.98,21.57,19.44,20.95,63601.3438,2024-11-21 23:59:59.999,1307081.53843200,17262,33062.18140000,679163.53622000,0
2024-11-22,20.95,21.17,19.89,20.52,58134.0828,2024-11-22 23:59:59.999,1188101.52804800,14663,31769.95720000,649373.21406400,0
2024-11-23,20.52,22.1,20.31,21.6,96074.646,2024-11-23 23:59:59.999,2050782.83636600,25355,49042.22760000,1047588.35413600,0
2024-11-24,21.6,23.05,21.07,22.33,91880.5281,2024-11-24 23:59:59.999,2028124.78814300,28363,46242.94190000,1022513.65986700,0
2024-11-25,22.32,23.0,21.47,21.83,73175.6763,2024-11-25 23:59:59.999,1630018.60634800,25958,37833.63480000,842761.03438900,0
2024-11-26,21.84,22.34,20.43,21.39,50882.9208,2024-11-26 23:59:59.999,1084577.00747400,24491,24994.75940000,533530.79531700,0
2024-11-27,21.39,23.22,21.08,23.09,53748.396,2024-11-27 23:59:59.999,1196226.96071800,21151,28272.05300000,629053.88974400,0
2024-11-28,23.09,23.16,21.53,21.94,54963.8572,2024-11-28 23:59:59.999,1215950.25683600,21272,26304.62060000,581761.65555400,0
2024-11-29,21.95,22.17,21.4,21.89,46419.8813,2024-11-29 23:59:59.999,1012912.35642600,18975,21829.68610000,476302.07100000,0
2024-11-30,21.89,22.6,21.55,21.87,48886.2284,2024-11-30 23:59:59.999,1080081.99804300,18680,25344.93400000,559924.24811200,0
2024-12-01,21.86,22.28,21.05,21.83,66178.198,2024-12-01 23:59:59.999,1439856.30741000,22081,31218.38860000,680102.18109600,0
2024-12-02,21.85,22.18,20.48,22.16,130068.3795,2024-12-02 23:59:59.999,2806452.21309500,36100,62895.49120000,1358237.80281100,0
2024-12-03,22.16,24.76,21.81,24.76,145879.3338,2024-12-03 23:59:59.999,3354468.04276600,42052,72677.62160000,1672602.24467700,0
2024-12-04,24.74,26.16,23.87,25.56,113578.8412,2024-12-04 23:59:59.999,2838224.41606600,36913,57366.36590000,1433575.32816700,0
2024-12-05,25.56,28.1,24.75,25.92,196737.8334,2024-12-05 23:59:59.999,5278952.64442400,55918,95108.92110000,2552872.89369800,0
2024-12-06,25.91,27.64,25.29,27.08,75062.5295,2024-12-06 23:59:59.999,1987875.36160400,31998,38156.55130000,1011510.03985800,0
2024-12-07,27.07,27.39,26.43,26.62,42182.283,2024-12-07 23:59:59.999,1135055.12188400,22184,21515.42790000,578896.97542200,0
2024-12-08,26.62,29.75,25.96,29.31,122796.6348,2024-12-08 23:59:59.999,3438265.87565100,38170,61955.55700000,1733008.52076800,0
2024-12-09,29.3,29.55,21.86,24.09,153547.8709,2024-12-09 23:59:59.999,3947193.85676000,52311,77021.41190000,1970267.19891900,0
2024-12-10,24.08,24.77,21.71,23.12,141643.5662,2024-12-10 23:59:59.999,3289893.45899200,43537,72582.76280000,1685950.58288400,0
2024-12-11,23.13,24.68,22.25,24.08,78841.5583,2024-12-11 23:59:59.999,1866697.61259800,29323,40696.74190000,964909.53366900,0
