Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.306,1.314,1.22,1.257,6123619.64,2024-11-17 23:59:59.999,7748173.13703000,42494,2937359.34000000,3719290.04997000,0
2024-11-18,1.256,1.53,1.252,1.309,18330448.35,2024-11-18 23:59:59.999,25243342.68346000,129005,8848561.77000000,12209240.34756000,0
2024-11-19,1.309,1.322,1.201,1.234,4146871.36,2024-11-19 23:59:59.999,5267319.46400000,31915,1883475.90000000,2395744.65440000,0
2024-11-20,1.233,1.234,1.132,1.169,3180436.79,2024-11-20 23:59:59.999,3786024.53653000,23493,1517354.74000000,1805935.39262000,0
2024-11-21,1.17,1.251,1.124,1.23,3916633.36,2024-11-21 23:59:59.999,4722349.55146000,28652,1818802.56000000,2192059.33852000,0
2024-11-22,1.23,1.279,1.17,1.275,3998391.91,2024-11-22 23:59:59.999,4865472.53545000,27263,2051018.28000000,2500075.63882000,0
2024-11-23,1.275,1.38,1.261,1.366,6019879.03,2024-11-23 23:59:59.999,7946098.42383000,45001,2870844.53000000,3790834.07765000,0
2024-11-24,1.366,1.599,1.324,1.506,13026211.37,2024-11-24 23:59:59.999,19036584.34717000,94138,6660819.28000000,9740292.39567000,0
2024-11-25,1.507,1.532,1.352,1.39,7472291.46,2024-11-25 23:59:59.999,10900362.10423000,54450,3593894.32000000,5244784.81865000,0
2024-11-26,1.39,1.48,1.292,1.361,4126085.82,2024-11-26 23:59:59.999,5637844.00824000,32015,1990333.09000000,2726157.56543000,0
2024-11-27,1.361,1.477,1.334,1.466,2320489.01,2024-11-27 23:59:59.999,3297351.58612000,18067,1110571.01000000,1576339.80360000,0
2024-11-28,1.466,1.523,1.409,1.496,2535382.66,2024-11-28 23:59:59.999,3722738.25176000,17497,1179048.70000000,1733056.00162000,0
2024-11-29,1.496,1.538,1.437,1.525,2375800.15,2024-11-29 23:59:59.999,3536793.10445000,18052,1184563.30000000,1764150.82010000,0
2024-11-30,1.526,1.637,1.493,1.587,2878147.77,2024-11-30 23:59:59.999,4523167.88022000,25776,1355740.79000000,2129050.35026000,0
