Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1775,0.1791,0.1638,0.1693,23275634.1,2024-11-17 23:59:59.999,4021527.41474000,41216,10711773.30000000,1855848.32956000,0
2024-11-18,0.1693,0.1802,0.1661,0.1795,15687769.2,2024-11-18 23:59:59.999,2719907.61599000,32814,7325677.20000000,1272319.05309000,0
2024-11-19,0.1796,0.1803,0.1672,0.1719,15936274.9,2024-11-19 23:59:59.999,2793206.33360000,40884,7756648.60000000,1360325.41883000,0
2024-11-20,0.1718,0.1735,0.1571,0.1607,15645906.4,2024-11-20 23:59:59.999,2615870.14782000,36171,7718992.20000000,1293922.30084000,0
2024-11-21,0.1603,0.173,0.154,0.1709,20983601.6,2024-11-21 23:59:59.999,3428280.46491000,41607,10795580.20000000,1758038.36532000,0
2024-11-22,0.171,0.175,0.16,0.175,14587333.7,2024-11-22 23:59:59.999,2469633.61072000,35047,7358213.10000000,1247966.10588000,0
2024-11-23,0.175,0.1842,0.1715,0.1778,16573699.5,2024-11-23 23:59:59.999,2945034.80282000,50785,8231095.50000000,1460750.04540000,0
2024-11-24,0.1778,0.19,0.1656,0.1893,29017854.1,2024-11-24 23:59:59.999,5231271.24611000,64890,15131342.70000000,2732188.68277000,0
2024-11-25,0.1894,0.2064,0.1817,0.1873,32523465.8,2024-11-25 23:59:59.999,6317593.59429000,63258,15844398.00000000,3081802.55964000,0
2024-11-26,0.1874,0.1975,0.1756,0.1853,16936284.2,2024-11-26 23:59:59.999,3144188.11474000,44694,8252634.30000000,1534105.11508000,0
2024-11-27,0.1854,0.2084,0.1817,0.2054,27805346.9,2024-11-27 23:59:59.999,5478856.41914000,57765,13813030.40000000,2721014.83993000,0
2024-11-28,0.2054,0.2055,0.192,0.1995,13892902.8,2024-11-28 23:59:59.999,2758878.06504000,31166,6400735.70000000,1272494.14380000,0
2024-11-29,0.1995,0.2035,0.193,0.2018,8436493.5,2024-11-29 23:59:59.999,1682735.31709000,20705,4068740.80000000,812863.82570000,0
2024-11-30,0.2017,0.2212,0.1992,0.2178,29832894.5,2024-11-30 23:59:59.999,6319250.31400000,53319,15115252.50000000,3203323.35551000,0
2024-12-01,0.2176,0.2311,0.2106,0.2283,18477331.2,2024-12-01 23:59:59.999,4094615.36665000,40927,9180645.50000000,2040510.01267000,0
2024-12-02,0.2283,0.2582,0.2182,0.2555,62159188.6,2024-12-02 23:59:59.999,14719104.85295000,124641,32129179.90000000,7615573.82293000,0
2024-12-03,0.2554,0.2684,0.2332,0.2641,43276138.2,2024-12-03 23:59:59.999,10941793.55821000,91446,19201005.60000000,4860522.14857000,0
2024-12-04,0.2642,0.324,0.2632,0.2885,63024786.7,2024-12-04 23:59:59.999,18238598.30228000,143103,31801460.30000000,9198023.31227000,0
2024-12-05,0.2885,0.292,0.2673,0.2778,23542100.1,2024-12-05 23:59:59.999,6609677.64292000,77212,11059792.00000000,3107924.50462000,0
2024-12-06,0.2778,0.2876,0.2588,0.2699,20831259.4,2024-12-06 23:59:59.999,5680664.00788000,46547,9551978.50000000,2605396.65626000,0
2024-12-07,0.2699,0.2744,0.255,0.2573,15382966.0,2024-12-07 23:59:59.999,4040869.17594000,35110,7291447.70000000,1916151.86539000,0
2024-12-08,0.2574,0.2686,0.25,0.266,11829101.3,2024-12-08 23:59:59.999,3069611.09755000,28352,5762288.30000000,1499000.46175000,0
2024-12-09,0.2661,0.2694,0.181,0.2033,42050201.4,2024-12-09 23:59:59.999,9619488.27305000,110317,20180549.30000000,4600035.65315000,0
2024-12-10,0.2034,0.2127,0.1838,0.2043,25788993.6,2024-12-10 23:59:59.999,5143126.07643000,61441,12715768.40000000,2540142.57718000,0
2024-12-11,0.2043,0.226,0.1968,0.2233,19436810.9,2024-12-11 23:59:59.999,4125107.33006000,44041,9633944.00000000,2047887.71693000,0
2024-12-12,0.2234,0.2357,0.2193,0.2297,24929340.0,2024-12-12 23:59:59.999,5669761.59427000,49109,12178455.80000000,2771118.06360000,0
2024-12-13,0.2297,0.2358,0.2231,0.2329,13458330.0,2024-12-13 23:59:59.999,3107679.94951000,36969,6387623.20000000,1476355.66816000,0
2024-12-14,0.2325,0.2349,0.2115,0.2157,8528993.0,2024-12-14 23:59:59.999,1902496.91427000,25561,4018823.50000000,896937.48365000,0
2024-12-15,0.2158,0.2261,0.2107,0.2258,10870589.7,2024-12-15 23:59:59.999,2361943.67323000,25880,4970667.60000000,1079998.03436000,0
