Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.0801,0.0829,0.0751,0.0781,60547410.0,2024-11-17 23:59:59.999,4815685.02060000,30137,28381149.00000000,2258178.77360000,0
2024-11-18,0.0781,0.0834,0.0774,0.0813,52468313.0,2024-11-18 23:59:59.999,4248637.72500000,29167,23918373.00000000,1937560.01230000,0
2024-11-19,0.0815,0.0815,0.0753,0.0775,39792062.0,2024-11-19 23:59:59.999,3137223.83170000,23181,17330835.00000000,1366059.89540000,0
2024-11-20,0.0775,0.0775,0.0719,0.073,44863376.0,2024-11-20 23:59:59.999,3370729.33120000,17050,21561045.00000000,1620489.60220000,0
2024-11-21,0.073,0.0817,0.071,0.0803,55926309.0,2024-11-21 23:59:59.999,4347748.72510000,25532,28638642.00000000,2225785.94330000,0
2024-11-22,0.0804,0.0828,0.0769,0.0827,48622575.0,2024-11-22 23:59:59.999,3879292.99930000,20824,22961612.00000000,1832118.57530000,0
2024-11-23,0.0828,0.0911,0.0814,0.0905,77133005.0,2024-11-23 23:59:59.999,6715831.53450000,37394,38030554.00000000,3313772.71390000,0
2024-11-24,0.0904,0.097,0.0852,0.097,82313686.0,2024-11-24 23:59:59.999,7507670.76380000,47046,39491509.00000000,3603509.70850000,0
2024-11-25,0.097,0.098,0.0891,0.0921,70367537.0,2024-11-25 23:59:59.999,6594852.96880000,39242,35356872.00000000,3312028.20230000,0
2024-11-26,0.092,0.0968,0.0824,0.0907,83694547.0,2024-11-26 23:59:59.999,7370761.08770000,45947,42769465.00000000,3760282.16030000,0
2024-11-27,0.0907,0.1028,0.0889,0.0981,92374935.0,2024-11-27 23:59:59.999,8904794.50430000,48326,46692370.00000000,4510656.64190000,0
2024-11-28,0.0981,0.1011,0.0946,0.0991,63807264.0,2024-11-28 23:59:59.999,6237154.84840000,30745,31083800.00000000,3040889.02740000,0
2024-11-29,0.0991,0.1029,0.0948,0.1017,58263587.0,2024-11-29 23:59:59.999,5789294.29960000,31194,29395305.00000000,2918201.82760000,0
2024-11-30,0.1017,0.1253,0.0999,0.1157,174051298.0,2024-11-30 23:59:59.999,19937071.23860000,103686,90583546.00000000,10381472.32460000,0
2024-12-01,0.1157,0.1198,0.1117,0.116,59911484.0,2024-12-01 23:59:59.999,6923949.11850000,38646,28640705.00000000,3311587.36200000,0
2024-12-02,0.116,0.1196,0.1067,0.1178,88681388.0,2024-12-02 23:59:59.999,9996586.06730000,50600,43925938.00000000,4951970.89430000,0
2024-12-03,0.1177,0.1255,0.1101,0.1246,102594152.0,2024-12-03 23:59:59.999,12204560.54170000,61229,49801174.00000000,5921855.67520000,0
2024-12-04,0.1247,0.1331,0.1193,0.1271,83269949.0,2024-12-04 23:59:59.999,10557594.40480000,49326,41733289.00000000,5293165.39990000,0
2024-12-05,0.1271,0.1307,0.1193,0.1258,72730731.0,2024-12-05 23:59:59.999,9164484.12820000,42396,35437816.00000000,4462588.20180000,0
2024-12-06,0.1258,0.137,0.1221,0.1311,82275083.0,2024-12-06 23:59:59.999,10680948.88340000,54142,41338435.00000000,5366929.71150000,0
2024-12-07,0.131,0.1356,0.1269,0.1281,39924172.0,2024-12-07 23:59:59.999,5247265.10740000,25993,19225421.00000000,2529894.41180000,0
2024-12-08,0.1282,0.1337,0.125,0.1328,33753861.0,2024-12-08 23:59:59.999,4361406.90720000,27067,16738537.00000000,2164760.67680000,0
2024-12-09,0.1328,0.135,0.085,0.1022,92317131.0,2024-12-09 23:59:59.999,10411427.93760000,62878,44553080.00000000,5031108.43260000,0
2024-12-10,0.1021,0.1051,0.0882,0.0974,75180707.0,2024-12-10 23:59:59.999,7316252.12880000,39269,36503116.00000000,3556233.29590000,0
2024-12-11,0.0975,0.1117,0.0943,0.1092,46608987.0,2024-12-11 23:59:59.999,4855394.03500000,25534,22400764.00000000,2332979.04270000,0
2024-12-12,0.1093,0.1169,0.1081,0.1134,40231923.0,2024-12-12 23:59:59.999,4577446.09790000,27985,19914522.00000000,2267921.37570000,0
2024-12-13,0.1135,0.1157,0.1096,0.1148,37219725.0,2024-12-13 23:59:59.999,4209863.22530000,26546,18523660.00000000,2098021.55830000,0
2024-12-14,0.1147,0.117,0.1059,0.1081,32752654.0,2024-12-14 23:59:59.999,3676878.78980000,21280,15617182.00000000,1759150.96960000,0
2024-12-15,0.108,0.1125,0.1048,0.1121,28228925.0,2024-12-15 23:59:59.999,3069783.32840000,19918,12838621.00000000,1397688.26520000,0
2024-12-16,0.1121,0.1171,0.105,0.11,37852988.0,2024-12-16 23:59:59.999,4193989.65210000,31236,17711468.00000000,1965143.05010000,0
2024-12-17,0.1099,0.1114,0.1016,0.103,27149906.0,2024-12-17 23:59:59.999,2900525.24550000,21916,13559541.00000000,1449640.59530000,0
2024-12-18,0.1031,0.1043,0.09,0.0912,51962704.0,2024-12-18 23:59:59.999,5026470.46220000,33504,24075579.00000000,2330840.65910000,0
2024-12-19,0.0911,0.0932,0.0797,0.0834,54760142.0,2024-12-19 23:59:59.999,4745807.97550000,33488,26197346.00000000,2274556.36570000,0
2024-12-20,0.0834,0.0872,0.0707,0.0855,54654052.0,2024-12-20 23:59:59.999,4316511.62450000,26132,25982618.00000000,2057046.07070000,0
2024-12-21,0.0854,0.0919,0.0789,0.0806,39094025.0,2024-12-21 23:59:59.999,3326685.29550000,26302,18799542.00000000,1603590.86970000,0
2024-12-22,0.0807,0.0826,0.0766,0.0792,29617963.0,2024-12-22 23:59:59.999,2379345.85030000,20861,14102602.00000000,1133853.53240000,0
2024-12-23,0.0793,0.0866,0.0768,0.0846,41752583.0,2024-12-23 23:59:59.999,3381177.93580000,23314,20862508.00000000,1687903.59580000,0
2024-12-24,0.0846,0.0908,0.0816,0.0887,31977611.0,2024-12-24 23:59:59.999,2766833.48570000,23287,15176067.00000000,1308590.27320000,0
2024-12-25,0.0887,0.0897,0.0849,0.0866,22690630.0,2024-12-25 23:59:59.999,1987518.40380000,16016,11090977.00000000,970952.38630000,0
2024-12-26,0.0867,0.0876,0.0782,0.0799,38839692.0,2024-12-26 23:59:59.999,3161904.20410000,31175,15121794.00000000,1230492.02490000,0
