Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.005224,0.005581,0.004674,0.004741,6437288978.0,2024-11-17 23:59:59.999,32150783.29102100,251768,3215333868.00000000,16068514.92860700,0
2024-11-18,0.004739,0.004918,0.004654,0.004835,2020290163.0,2024-11-18 23:59:59.999,9654442.44762500,72355,1004991630.00000000,4805851.52108400,0
2024-11-19,0.004833,0.004833,0.004503,0.004614,1004681893.0,2024-11-19 23:59:59.999,4689209.73185200,35299,455688545.00000000,2128172.69393200,0
2024-11-20,0.004612,0.004825,0.004384,0.004434,1233698591.0,2024-11-20 23:59:59.999,5681870.81768500,51942,611742021.00000000,2817524.60034500,0
2024-11-21,0.004434,0.00474,0.004282,0.004644,929029238.0,2024-11-21 23:59:59.999,4219190.60324400,39311,465905668.00000000,2116330.40631800,0
2024-11-22,0.004645,0.004853,0.00451,0.004781,1109423756.0,2024-11-22 23:59:59.999,5179036.27738800,48750,558626558.00000000,2609870.57541200,0
2024-11-23,0.004781,0.005222,0.004737,0.005055,1529559662.0,2024-11-23 23:59:59.999,7631828.47344200,73199,763783921.00000000,3814801.44892300,0
2024-11-24,0.005054,0.005517,0.004838,0.005419,2366047179.0,2024-11-24 23:59:59.999,12296078.09398100,94646,1266633190.00000000,6583334.86754600,0
2024-11-25,0.005416,0.005575,0.005137,0.005223,1401239883.0,2024-11-25 23:59:59.999,7484047.04760200,68737,724219373.00000000,3872881.12330700,0
2024-11-26,0.005224,0.005399,0.004857,0.005022,772130842.0,2024-11-26 23:59:59.999,3920143.35243000,39289,381332615.00000000,1938109.24727200,0
2024-11-27,0.005024,0.00654,0.004956,0.005977,2765537131.0,2024-11-27 23:59:59.999,16106747.03836400,126929,1428779351.00000000,8322368.54821900,0
2024-11-28,0.005977,0.009623,0.005792,0.007997,19678753499.0,2024-11-28 23:59:59.999,154976463.26310100,1139098,9869742876.00000000,77703424.05125800,0
2024-11-29,0.007998,0.008097,0.006745,0.007453,6301133602.0,2024-11-29 23:59:59.999,46240828.01992700,362836,3165386769.00000000,23237426.12643200,0
2024-11-30,0.007454,0.007745,0.007132,0.007466,1962097800.0,2024-11-30 23:59:59.999,14486857.86168000,122104,978486761.00000000,7228604.12361200,0
2024-12-01,0.00746,0.007465,0.007179,0.007254,912525890.0,2024-12-01 23:59:59.999,6662032.65873800,55755,456845396.00000000,3335107.21460300,0
2024-12-02,0.007254,0.007432,0.006766,0.00712,1276598887.0,2024-12-02 23:59:59.999,9009085.57301800,79395,612884732.00000000,4329546.30285400,0
2024-12-03,0.00712,0.00949,0.00696,0.008725,4656716075.0,2024-12-03 23:59:59.999,38241703.80815700,310395,2404182860.00000000,19772799.54173900,0
2024-12-04,0.008725,0.0145,0.008573,0.010546,19097706339.0,2024-12-04 23:59:59.999,224095260.72287700,1676699,9600331277.00000000,112629379.38605800,0
2024-12-05,0.010547,0.012226,0.009272,0.010875,5933929670.0,2024-12-05 23:59:59.999,63613647.46688200,587727,2976396052.00000000,31979356.75709400,0
2024-12-06,0.010875,0.012344,0.010377,0.010909,3228367349.0,2024-12-06 23:59:59.999,36316539.39339300,305525,1580119632.00000000,17800147.29215900,0
2024-12-07,0.010909,0.011171,0.010521,0.010731,1239678015.0,2024-12-07 23:59:59.999,13443115.39190200,122389,564443094.00000000,6126415.08462800,0
