Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.154,1.159,1.062,1.077,26509229.82,2024-11-17 23:59:59.999,29189830.44738000,108276,13381329.68000000,14736195.84781000,0
2024-11-18,1.078,1.162,1.071,1.154,27246122.24,2024-11-18 23:59:59.999,30637428.86536000,114546,13178136.93000000,14815509.68346000,0
2024-11-19,1.155,1.166,1.086,1.134,17221939.45,2024-11-19 23:59:59.999,19417553.52690000,79085,8566872.17000000,9669875.10629000,0
2024-11-20,1.134,1.161,1.053,1.14,30225890.63,2024-11-20 23:59:59.999,33205025.74290000,100724,15211902.33000000,16716636.28263000,0
2024-11-21,1.14,1.188,1.086,1.165,30438282.26,2024-11-21 23:59:59.999,34878731.30503000,128190,15158466.21000000,17399899.73303000,0
2024-11-22,1.165,1.223,1.122,1.217,28352900.36,2024-11-22 23:59:59.999,33032248.69497000,103536,13491903.63000000,15748947.70256000,0
2024-11-23,1.218,1.321,1.194,1.307,46050822.39,2024-11-23 23:59:59.999,58037454.52594000,163526,23122105.15000000,29167666.54064000,0
2024-11-24,1.308,1.442,1.229,1.377,49088062.0,2024-11-24 23:59:59.999,64928903.10531000,195854,24846932.00000000,32896086.79038000,0
2024-11-25,1.377,1.393,1.272,1.315,26384067.69,2024-11-25 23:59:59.999,35239126.72006000,115714,12785508.45000000,17090398.00635000,0
2024-11-26,1.316,1.387,1.212,1.28,27392870.06,2024-11-26 23:59:59.999,35053765.89172000,110858,13543003.28000000,17326777.22268000,0
2024-11-27,1.279,1.323,1.248,1.316,20002086.3,2024-11-27 23:59:59.999,25703062.99460000,77649,9134011.05000000,11739651.45572000,0
2024-11-28,1.316,1.432,1.285,1.388,25819774.64,2024-11-28 23:59:59.999,34870875.67117000,93418,12877932.39000000,17403648.10655000,0
2024-11-29,1.388,1.432,1.322,1.417,15611367.14,2024-11-29 23:59:59.999,21548590.80086000,70742,7310103.46000000,10091521.74157000,0
2024-11-30,1.418,1.568,1.38,1.5,23978817.84,2024-11-30 23:59:59.999,34908982.17875000,103561,12396754.92000000,18071554.78799000,0
2024-12-01,1.499,1.635,1.433,1.521,33912733.53,2024-12-01 23:59:59.999,52058450.11805000,163977,17779931.39000000,27294061.71266000,0
2024-12-02,1.52,1.628,1.429,1.59,44442690.95,2024-12-02 23:59:59.999,67568251.73212000,206786,21995121.54000000,33498948.93551000,0
2024-12-03,1.591,2.077,1.498,1.894,81561027.06,2024-12-03 23:59:59.999,143241248.39963000,358303,41417994.76000000,72773716.77599000,0
2024-12-04,1.895,2.168,1.841,1.945,63805486.48,2024-12-04 23:59:59.999,126454466.16097000,340973,31701388.01000000,62899579.61360000,0
2024-12-05,1.946,1.975,1.78,1.833,31607038.46,2024-12-05 23:59:59.999,60109436.95982000,188738,15041550.65000000,28621465.11760000,0
2024-12-06,1.834,1.934,1.796,1.852,20254921.0,2024-12-06 23:59:59.999,37882763.04907000,115379,10323751.86000000,19324637.15242000,0
2024-12-07,1.852,1.925,1.817,1.896,13900055.99,2024-12-07 23:59:59.999,26048207.31798000,83519,7053783.08000000,13234173.32130000,0
2024-12-08,1.895,1.928,1.803,1.889,12466801.81,2024-12-08 23:59:59.999,23201841.64129000,75573,5606469.99000000,10444839.53799000,0
2024-12-09,1.888,1.908,1.227,1.489,57207635.76,2024-12-09 23:59:59.999,90966582.27050000,285510,28214242.01000000,44790920.53178000,0
2024-12-10,1.488,1.541,1.297,1.428,36737973.33,2024-12-10 23:59:59.999,51945662.77623000,209858,18414800.17000000,26035495.91409000,0
2024-12-11,1.429,1.554,1.378,1.532,20916200.77,2024-12-11 23:59:59.999,30744826.53684000,106330,10990885.36000000,16174026.70746000,0
2024-12-12,1.531,1.66,1.513,1.586,23358726.44,2024-12-12 23:59:59.999,37380280.52988000,143180,11637366.71000000,18635487.21651000,0
2024-12-13,1.586,1.665,1.544,1.634,24719789.54,2024-12-13 23:59:59.999,39798945.61337000,162396,12638865.89000000,20368249.29238000,0
2024-12-14,1.634,1.65,1.494,1.532,17902874.3,2024-12-14 23:59:59.999,27915943.78300000,101639,8498652.30000000,13244602.38954000,0
2024-12-15,1.533,1.619,1.49,1.61,12787994.65,2024-12-15 23:59:59.999,19991404.87406000,86552,6301718.36000000,9857271.79574000,0
2024-12-16,1.61,1.652,1.513,1.546,16840505.04,2024-12-16 23:59:59.999,26643180.64681000,107304,8343511.89000000,13206511.41952000,0
2024-12-17,1.546,1.626,1.453,1.484,23599969.16,2024-12-17 23:59:59.999,36399361.16323000,126976,11221564.64000000,17335394.68167000,0
2024-12-18,1.484,1.5,1.302,1.315,25557020.09,2024-12-18 23:59:59.999,35892580.92212000,129892,12427070.58000000,17440393.16210000,0
2024-12-19,1.314,1.332,1.132,1.161,38197433.03,2024-12-19 23:59:59.999,46904523.38941000,135498,18450144.18000000,22683836.13119000,0
2024-12-20,1.161,1.225,0.999,1.211,39433714.56,2024-12-20 23:59:59.999,43473667.56844000,130472,19535438.10000000,21535998.47113000,0
2024-12-21,1.211,1.283,1.111,1.131,16165486.37,2024-12-21 23:59:59.999,19251007.85920000,67522,7466163.12000000,8885489.55634000,0
2024-12-22,1.132,1.183,1.096,1.135,15396018.49,2024-12-22 23:59:59.999,17580073.86222000,47809,8088182.93000000,9239973.70430000,0
2024-12-23,1.135,1.267,1.099,1.241,20281532.84,2024-12-23 23:59:59.999,23891722.60326000,54621,10029679.33000000,11821761.13718000,0
2024-12-24,1.241,1.285,1.203,1.263,13022459.67,2024-12-24 23:59:59.999,16216395.31917000,44797,6311829.87000000,7863484.44104000,0
2024-12-25,1.262,1.299,1.232,1.25,7836587.07,2024-12-25 23:59:59.999,9877374.23541000,29208,3859287.04000000,4866383.44815000,0
2024-12-26,1.251,1.265,1.155,1.176,10566603.66,2024-12-26 23:59:59.999,12587799.73420000,34879,4804934.44000000,5722812.29453000,0
2024-12-27,1.176,1.296,1.168,1.228,17259389.7,2024-12-27 23:59:59.999,21396609.39068000,60992,8872604.63000000,10981756.11743000,0
