Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.799,1.802,1.68,1.719,2067050.81,2024-11-17 23:59:59.999,3615188.60447000,26401,994955.59000000,1740620.04034000,0
2024-11-18,1.719,1.876,1.705,1.84,3365788.82,2024-11-18 23:59:59.999,6045371.88456000,39061,1685956.03000000,3035215.90286000,0
2024-11-19,1.84,1.921,1.756,1.82,3143444.93,2024-11-19 23:59:59.999,5784776.39687000,42154,1577547.36000000,2909719.88902000,0
2024-11-20,1.819,1.819,1.667,1.704,1984053.22,2024-11-20 23:59:59.999,3468320.51337000,24115,926346.10000000,1620429.46439000,0
2024-11-21,1.703,1.865,1.656,1.852,2844984.28,2024-11-21 23:59:59.999,5103926.54981000,35916,1481712.47000000,2657505.84584000,0
2024-11-22,1.853,1.939,1.796,1.938,2009473.55,2024-11-22 23:59:59.999,3723218.97551000,29282,990429.67000000,1835526.40745000,0
2024-11-23,1.936,2.101,1.924,2.046,3340797.73,2024-11-23 23:59:59.999,6732436.49819000,48496,1696611.27000000,3420271.99811000,0
2024-11-24,2.047,2.145,1.873,2.083,2799589.41,2024-11-24 23:59:59.999,5626102.19453000,47366,1343460.41000000,2698611.55479000,0
2024-11-25,2.083,2.105,1.933,2.01,2875510.36,2024-11-25 23:59:59.999,5834238.26632000,49554,1349499.41000000,2740430.79346000,0
2024-11-26,2.01,2.105,1.841,1.956,2348852.26,2024-11-26 23:59:59.999,4597227.33875000,39686,1225245.24000000,2398325.85976000,0
2024-11-27,1.955,2.07,1.914,2.066,1616601.0,2024-11-27 23:59:59.999,3246628.26006000,23518,777572.58000000,1564603.92724000,0
2024-11-28,2.066,2.134,1.977,2.016,3088631.07,2024-11-28 23:59:59.999,6330229.42598000,41812,1493949.54000000,3060660.49061000,0
2024-11-29,2.015,2.103,1.98,2.095,1769518.97,2024-11-29 23:59:59.999,3602960.70857000,25339,894514.92000000,1822334.68356000,0
2024-11-30,2.096,2.377,2.067,2.315,3388717.48,2024-11-30 23:59:59.999,7540297.46980000,58118,1906026.43000000,4247369.09379000,0
2024-12-01,2.313,2.316,2.182,2.23,1868909.19,2024-12-01 23:59:59.999,4204841.56389000,26181,921483.86000000,2074916.85065000,0
2024-12-02,2.231,2.393,2.058,2.358,5053550.72,2024-12-02 23:59:59.999,11274262.58154000,83064,2565297.25000000,5729413.18787000,0
2024-12-03,2.359,2.619,2.229,2.593,5526252.79,2024-12-03 23:59:59.999,13314998.60074000,83469,2810298.41000000,6795408.88587000,0
2024-12-04,2.591,2.718,2.434,2.526,4984769.46,2024-12-04 23:59:59.999,12844867.26435000,71877,2516220.70000000,6495129.98583000,0
2024-12-05,2.527,2.585,2.373,2.464,3299905.26,2024-12-05 23:59:59.999,8241200.09712000,59690,1565689.86000000,3914055.67537000,0
2024-12-06,2.466,2.604,2.41,2.563,3111660.3,2024-12-06 23:59:59.999,7855686.94354000,50948,1581674.85000000,3991588.16369000,0
2024-12-07,2.564,2.599,2.419,2.475,1640873.42,2024-12-07 23:59:59.999,4121033.02914000,26736,804294.18000000,2024257.64148000,0
2024-12-08,2.476,2.775,2.397,2.684,4699449.18,2024-12-08 23:59:59.999,12224540.45140000,83210,2541779.77000000,6627010.93531000,0
2024-12-09,2.687,2.694,1.699,2.081,5490845.49,2024-12-09 23:59:59.999,12520088.39907000,83747,2634155.34000000,5974703.57436000,0
2024-12-10,2.081,2.163,1.856,2.012,4007715.19,2024-12-10 23:59:59.999,8141301.57707000,45293,2059144.31000000,4185081.87833000,0
2024-12-11,2.012,2.25,1.939,2.223,2083040.03,2024-12-11 23:59:59.999,4404124.74122000,34144,1011355.25000000,2142973.47266000,0
2024-12-12,2.221,2.507,2.204,2.334,3518694.7,2024-12-12 23:59:59.999,8400297.39031000,58667,1767251.85000000,4226161.52914000,0
2024-12-13,2.333,2.366,2.204,2.264,1432569.84,2024-12-13 23:59:59.999,3247841.47550000,29715,722101.35000000,1638241.85005000,0
2024-12-14,2.265,2.296,2.083,2.113,942163.35,2024-12-14 23:59:59.999,2043793.96698000,16445,423767.43000000,922613.63524000,0
2024-12-15,2.113,2.179,2.04,2.165,1115290.69,2024-12-15 23:59:59.999,2358803.87814000,17937,543156.89000000,1149423.36941000,0
2024-12-16,2.166,2.224,2.02,2.1,1464574.46,2024-12-16 23:59:59.999,3108697.69599000,23915,711827.03000000,1509658.54145000,0
2024-12-17,2.101,2.105,1.957,1.981,1246411.19,2024-12-17 23:59:59.999,2539103.74739000,19152,596540.31000000,1214603.53711000,0
2024-12-18,1.983,1.991,1.704,1.741,2431055.74,2024-12-18 23:59:59.999,4490215.52656000,39284,1292296.69000000,2386562.53013000,0
2024-12-19,1.741,1.777,1.518,1.594,3210338.11,2024-12-19 23:59:59.999,5311114.22513000,41314,1577163.77000000,2616163.28982000,0
2024-12-20,1.593,1.687,1.376,1.673,2676551.64,2024-12-20 23:59:59.999,4089576.60585000,29555,1375567.31000000,2106521.78507000,0
2024-12-21,1.671,1.766,1.55,1.589,1794369.68,2024-12-21 23:59:59.999,2943650.20137000,19476,818912.98000000,1344823.78891000,0
2024-12-22,1.592,1.629,1.506,1.554,1342442.43,2024-12-22 23:59:59.999,2123628.08435000,18525,650149.90000000,1029191.22942000,0
2024-12-23,1.554,1.687,1.507,1.659,1521331.86,2024-12-23 23:59:59.999,2427785.87717000,19752,747183.17000000,1196683.66136000,0
2024-12-24,1.659,1.805,1.611,1.777,2341610.38,2024-12-24 23:59:59.999,4051064.54670000,24353,1132500.32000000,1961428.36089000,0
2024-12-25,1.777,1.895,1.729,1.799,3567645.11,2024-12-25 23:59:59.999,6467170.71996000,42148,1744271.51000000,3161389.74977000,0
2024-12-26,1.799,1.8,1.592,1.615,2372316.48,2024-12-26 23:59:59.999,3954848.79279000,35811,1170925.35000000,1947974.39630000,0
2024-12-27,1.616,1.768,1.606,1.674,2176119.38,2024-12-27 23:59:59.999,3653051.72152000,29007,1118920.07000000,1881618.46083000,0
2024-12-28,1.676,1.76,1.641,1.716,2392951.24,2024-12-28 23:59:59.999,4072799.53700000,27972,1127227.22000000,1920062.35111000,0
2024-12-29,1.719,1.726,1.613,1.629,991237.29,2024-12-29 23:59:59.999,1660641.81636000,14326,467966.23000000,785462.34606000,0
