Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,12.3,12.71,11.51,11.79,7642314.14,2024-11-17 23:59:59.999,92834483.20560000,356316,3898052.49000000,47375172.87800000,0
2024-11-18,11.79,12.27,11.54,12.05,6904744.91,2024-11-18 23:59:59.999,82462259.06190000,338332,3375289.77000000,40326010.53610000,0
2024-11-19,12.05,12.34,11.42,11.81,4858583.12,2024-11-19 23:59:59.999,57277200.72370000,290615,2388118.65000000,28160818.98800000,0
2024-11-20,11.81,13.46,11.11,11.78,18685093.23,2024-11-20 23:59:59.999,231761578.96540000,627531,9232532.46000000,114560299.98980000,0
2024-11-21,11.78,12.35,11.21,12.07,10100860.28,2024-11-21 23:59:59.999,119961583.75800000,422551,4902304.48000000,58244291.12640000,0
2024-11-22,12.07,12.51,11.61,12.48,8374920.37,2024-11-22 23:59:59.999,100369797.50640000,373777,4105160.22000000,49228364.75740000,0
2024-11-23,12.48,13.23,12.29,12.74,12040388.13,2024-11-23 23:59:59.999,153140060.01760000,554141,5954091.69000000,75769386.16180000,0
2024-11-24,12.74,13.37,11.55,12.52,11697913.29,2024-11-24 23:59:59.999,144411171.67340000,498583,5748032.97000000,70905886.47140000,0
2024-11-25,12.52,12.84,11.67,11.82,9911833.76,2024-11-25 23:59:59.999,122254106.03180000,404403,4805834.49000000,59252937.70020000,0
2024-11-26,11.82,12.12,10.93,12.0,8644069.25,2024-11-26 23:59:59.999,99904716.72860000,361860,4458760.57000000,51574376.80590000,0
2024-11-27,12.0,12.74,11.74,12.65,5563536.14,2024-11-27 23:59:59.999,67870219.11350000,254295,2791924.80000000,34110525.74400000,0
2024-11-28,12.66,13.06,12.24,12.77,6150662.23,2024-11-28 23:59:59.999,77793889.43230000,311092,3025366.83000000,38290114.64290000,0
2024-11-29,12.78,13.35,12.55,13.28,5167156.61,2024-11-29 23:59:59.999,67131979.64240000,305927,2555702.45000000,33215288.84080000,0
2024-11-30,13.28,13.67,12.84,13.39,5295466.0,2024-11-30 23:59:59.999,70121910.71180000,284052,2593200.78000000,34388517.59700000,0
2024-12-01,13.39,13.92,12.89,13.44,4704870.93,2024-12-01 23:59:59.999,63159837.86180000,234521,2291478.12000000,30784261.93360000,0
2024-12-02,13.44,13.8,12.31,13.73,8913283.05,2024-12-02 23:59:59.999,114932933.55150000,435623,4237840.96000000,54657268.65070000,0
2024-12-03,13.73,14.75,13.0,14.51,15678763.44,2024-12-03 23:59:59.999,219314700.69847800,694649,7558145.25000000,105864916.90387800,0
2024-12-04,14.51,14.87,13.62,14.14,7765631.94,2024-12-04 23:59:59.999,111446233.00252900,364038,3836043.95000000,55080897.20852900,0
2024-12-05,14.14,14.43,13.03,13.63,10182080.09,2024-12-05 23:59:59.999,140847768.31290000,510606,4967922.93000000,68787683.78660000,0
2024-12-06,13.62,14.77,13.45,14.67,7884795.72,2024-12-06 23:59:59.999,112122948.31480000,378747,4159457.35000000,59181939.99190000,0
2024-12-07,14.67,15.33,14.4,14.58,5097794.79,2024-12-07 23:59:59.999,75740401.94967400,267467,2538011.47000000,37735415.42927400,0
2024-12-08,14.58,14.63,14.05,14.5,3556750.59,2024-12-08 23:59:59.999,51080631.78000000,264802,1617933.13000000,23248552.57090000,0
2024-12-09,14.5,14.51,10.41,11.95,12428974.58,2024-12-09 23:59:59.999,156993517.43460000,594797,5942187.46000000,74734003.82670000,0
2024-12-10,11.94,12.19,10.53,11.63,11897507.39,2024-12-10 23:59:59.999,135513377.25690000,504110,6109809.95000000,69683595.81750000,0
2024-12-11,11.63,12.97,11.16,12.87,6544791.18,2024-12-11 23:59:59.999,79757831.94020000,322329,3416193.48000000,41647660.18600000,0
2024-12-12,12.87,14.14,12.85,13.67,8133833.51,2024-12-12 23:59:59.999,111403108.52850000,396085,4313134.00000000,59022502.45910000,0
2024-12-13,13.67,14.56,13.41,14.21,6953531.65,2024-12-13 23:59:59.999,97961001.66970000,381445,3728507.09000000,52585599.83510000,0
2024-12-14,14.22,14.71,13.15,13.42,4383020.28,2024-12-14 23:59:59.999,60620169.47250000,225814,1963108.02000000,27192527.77760000,0
2024-12-15,13.42,13.77,13.04,13.65,3882066.05,2024-12-15 23:59:59.999,52101681.02910000,153342,1986384.70000000,26668064.21280000,0
2024-12-16,13.66,14.23,13.22,13.93,6295709.91,2024-12-16 23:59:59.999,86820404.25200000,357500,3325884.52000000,45952617.36600000,0
2024-12-17,13.93,14.39,12.73,12.94,8958066.13,2024-12-17 23:59:59.999,122549416.96740000,556552,4449531.86000000,61012783.89490000,0
2024-12-18,12.94,12.99,11.61,11.83,9583060.37,2024-12-18 23:59:59.999,119600674.52770000,509148,5161815.96000000,64511319.62200000,0
2024-12-19,11.84,12.75,11.23,11.38,14763584.72,2024-12-19 23:59:59.999,175082772.31860000,586390,7800326.93000000,92702655.23920000,0
2024-12-20,11.38,11.92,9.95,10.86,18550246.96,2024-12-20 23:59:59.999,198990669.97960000,511000,9379231.69000000,100795577.26070000,0
2024-12-21,10.87,11.25,9.26,9.53,24225905.23,2024-12-21 23:59:59.999,246898151.63640000,585001,11153935.33000000,113521662.74060000,0
2024-12-22,9.53,9.68,8.97,9.23,8615883.79,2024-12-22 23:59:59.999,80576150.52430000,230511,4372468.67000000,40893319.15220000,0
2024-12-23,9.23,9.84,8.87,9.7,9100643.67,2024-12-23 23:59:59.999,84681740.31820000,327375,4341465.34000000,40374240.79420000,0
2024-12-24,9.7,9.95,9.26,9.82,5918217.51,2024-12-24 23:59:59.999,56742587.92130000,237226,2834565.30000000,27198392.88280000,0
2024-12-25,9.81,9.91,9.47,9.56,4353733.81,2024-12-25 23:59:59.999,42136678.02140000,140755,2187441.28000000,21168891.38520000,0
2024-12-26,9.55,9.67,8.75,8.81,4898504.36,2024-12-26 23:59:59.999,44350065.11160000,151389,2273577.83000000,20597194.35200000,0
2024-12-27,8.81,9.31,8.65,8.73,6432175.47,2024-12-27 23:59:59.999,57463712.78470000,189506,2986840.23000000,26670519.66810000,0
2024-12-28,8.73,9.28,8.61,9.19,3611220.75,2024-12-28 23:59:59.999,32265262.53250000,113443,1799153.58000000,16092064.46370000,0
