Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.04144,0.04472,0.04139,0.04341,106601864.3,2024-09-19 23:59:59.999,4619208.24479900,38877,49385902.20000000,2143834.17481600,0
2024-09-20,0.04344,0.0449,0.0421,0.04352,98930226.9,2024-09-20 23:59:59.999,4333756.55705300,32379,45855310.90000000,2010972.33322400,0
2024-09-21,0.0435,0.04465,0.04223,0.04391,64414335.8,2024-09-21 23:59:59.999,2805374.88236500,24841,31706519.90000000,1382666.44092000,0
2024-09-22,0.04394,0.04406,0.04121,0.04265,45247235.3,2024-09-22 23:59:59.999,1930717.76039200,16448,20763317.10000000,886743.66485300,0
2024-09-23,0.04264,0.04636,0.04167,0.04521,86635854.4,2024-09-23 23:59:59.999,3854135.64853000,33201,45906902.20000000,2045451.95334400,0
2024-09-24,0.04523,0.048,0.04436,0.04676,145936689.5,2024-09-24 23:59:59.999,6789063.08428800,60882,71656752.70000000,3339051.07742700,0
2024-09-25,0.04679,0.04853,0.04549,0.0466,83451741.6,2024-09-25 23:59:59.999,3913941.34263900,32011,41374168.20000000,1943022.63777300,0
2024-09-26,0.04663,0.04835,0.04587,0.04782,80812454.4,2024-09-26 23:59:59.999,3828721.33340200,34468,37850017.00000000,1794834.63413000,0
2024-09-27,0.04783,0.04922,0.04706,0.04852,62181166.3,2024-09-27 23:59:59.999,3011360.51063000,26233,31611306.00000000,1531796.12269200,0
2024-09-28,0.04856,0.04922,0.04537,0.04662,40258263.7,2024-09-28 23:59:59.999,1897244.89151800,17622,18674784.40000000,880988.57142400,0
2024-09-29,0.04665,0.04757,0.04486,0.04695,40756330.4,2024-09-29 23:59:59.999,1889579.09424100,21264,18782368.00000000,872142.06235900,0
2024-09-30,0.04697,0.04742,0.04309,0.04328,44712342.7,2024-09-30 23:59:59.999,2033439.29779300,25237,20515073.50000000,936016.96899900,0
2024-10-01,0.04328,0.04546,0.03802,0.03895,68134113.1,2024-10-01 23:59:59.999,2830738.06857000,36180,34028458.40000000,1416008.53595500,0
2024-10-02,0.03892,0.04105,0.03728,0.03826,43033094.9,2024-10-02 23:59:59.999,1686823.96632600,17846,22502731.20000000,885290.82558000,0
2024-10-03,0.0383,0.03912,0.03679,0.03828,29332908.9,2024-10-03 23:59:59.999,1113564.64422000,11789,13662188.40000000,519154.88400900,0
2024-10-04,0.03828,0.03978,0.03816,0.03959,30363794.6,2024-10-04 23:59:59.999,1187815.35588500,9752,14598770.40000000,571531.28666100,0
2024-10-05,0.03958,0.0399,0.0382,0.03906,15332395.0,2024-10-05 23:59:59.999,599816.09251400,5844,6320631.00000000,248042.54516100,0
2024-10-06,0.03904,0.04028,0.03856,0.04003,22228339.8,2024-10-06 23:59:59.999,878757.76913900,9326,10373253.20000000,410847.80622900,0
2024-10-07,0.03998,0.04092,0.03892,0.03899,30812429.3,2024-10-07 23:59:59.999,1236689.90310000,11982,13425539.60000000,539701.66387600,0
2024-10-08,0.03899,0.03989,0.03807,0.03893,22084681.5,2024-10-08 23:59:59.999,861200.15260300,8861,9178194.60000000,357995.77022900,0
2024-10-09,0.03893,0.0395,0.03675,0.03748,23096822.7,2024-10-09 23:59:59.999,884555.63813000,10637,10791886.60000000,413090.95049700,0
2024-10-10,0.03747,0.03817,0.03632,0.03775,15920484.1,2024-10-10 23:59:59.999,593993.29575800,8144,7053063.10000000,263328.01422500,0
2024-10-11,0.03769,0.03943,0.03759,0.03914,16744915.2,2024-10-11 23:59:59.999,648449.19458200,7165,8018797.60000000,310676.49277100,0
2024-10-12,0.03917,0.04008,0.03913,0.03935,14630389.1,2024-10-12 23:59:59.999,580807.81854100,7170,6516902.30000000,258782.94409500,0
