Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,19.18,20.86,19.18,19.69,1171501.88,2024-09-19 23:59:59.999,23459315.28110000,117841,614389.85000000,12311019.22040000,0
2024-09-20,19.68,21.49,19.42,20.09,1154420.63,2024-09-20 23:59:59.999,23666316.04650000,137329,589295.24000000,12086500.84070000,0
2024-09-21,20.09,20.73,19.45,20.56,511761.56,2024-09-21 23:59:59.999,10229596.39150000,76055,273783.28000000,5478701.34490000,0
2024-09-22,20.58,21.06,18.81,19.52,724472.82,2024-09-22 23:59:59.999,14288158.87710000,90405,348803.08000000,6893715.77620000,0
2024-09-23,19.53,23.37,19.03,22.96,2310578.58,2024-09-23 23:59:59.999,49981268.83190000,237202,1231164.36000000,26634194.39120000,0
2024-09-24,22.96,24.01,22.14,22.83,1840520.88,2024-09-24 23:59:59.999,42265403.58010000,175726,901788.63000000,20717526.93100000,0
2024-09-25,22.84,23.97,22.07,22.32,1413230.74,2024-09-25 23:59:59.999,32255305.69460000,160775,659837.07000000,15083788.21550000,0
2024-09-26,22.33,23.68,22.07,23.21,1661336.99,2024-09-26 23:59:59.999,38165529.76040000,185794,781144.16000000,17953746.53650000,0
2024-09-27,23.2,24.59,22.93,23.42,1226848.67,2024-09-27 23:59:59.999,29154575.12080000,129484,579564.48000000,13784242.56410000,0
2024-09-28,23.43,24.03,21.85,22.17,910171.36,2024-09-28 23:59:59.999,20688131.39540000,85714,380906.00000000,8660591.90590000,0
2024-09-29,22.18,24.5,21.25,23.4,1494539.18,2024-09-29 23:59:59.999,34048621.98200000,123157,708370.16000000,16170946.23170000,0
2024-09-30,23.42,24.0,22.33,22.87,1502347.5,2024-09-30 23:59:59.999,34813266.12620000,124102,734819.71000000,17049160.78970000,0
2024-10-01,22.87,23.72,18.66,19.39,2443191.17,2024-10-01 23:59:59.999,52075776.77290000,173583,1109394.38000000,23612185.62610000,0
2024-10-02,19.38,20.12,17.59,18.43,1408196.43,2024-10-02 23:59:59.999,26748915.88960000,95008,654024.19000000,12440030.87180000,0
2024-10-03,18.43,18.79,17.22,17.96,906028.0,2024-10-03 23:59:59.999,16278030.37930000,87407,407108.64000000,7309377.84640000,0
