Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.0644,0.0706,0.0606,0.0632,313088343.2,2024-11-17 23:59:59.999,20444160.55875000,75578,153896311.00000000,10061483.39291000,0
2024-11-18,0.0632,0.0703,0.0626,0.0683,244257005.2,2024-11-18 23:59:59.999,16358523.89416000,58282,126539726.40000000,8472228.97902000,0
2024-11-19,0.0683,0.072,0.064,0.066,178490965.2,2024-11-19 23:59:59.999,12082982.56662000,48155,95189519.70000000,6447373.13240000,0
2024-11-20,0.0661,0.0708,0.0624,0.0637,272280989.2,2024-11-20 23:59:59.999,18114984.31620000,81142,137002357.10000000,9130019.54817000,0
2024-11-21,0.0636,0.0677,0.0613,0.0658,212051788.1,2024-11-21 23:59:59.999,13715188.65077000,58387,105263830.70000000,6811440.79178000,0
2024-11-22,0.0658,0.07,0.0636,0.0685,197794395.4,2024-11-22 23:59:59.999,13011738.83599000,49173,95368845.90000000,6284133.20477000,0
2024-11-23,0.0684,0.0789,0.0671,0.0767,368880217.6,2024-11-23 23:59:59.999,27066500.16719000,120669,177929343.20000000,13077370.89614000,0
2024-11-24,0.0767,0.0843,0.0707,0.0776,311398888.7,2024-11-24 23:59:59.999,24015556.36040000,120554,153138627.10000000,11802892.57173000,0
2024-11-25,0.0776,0.0812,0.0743,0.0762,212067437.3,2024-11-25 23:59:59.999,16486623.20625000,69080,100715082.20000000,7832390.98095000,0
2024-11-26,0.0762,0.082,0.0734,0.0785,242854296.3,2024-11-26 23:59:59.999,18733770.74628000,78414,120878003.80000000,9323919.15653000,0
2024-11-27,0.0785,0.0822,0.0761,0.0814,142139115.9,2024-11-27 23:59:59.999,11244561.43534000,43746,68404558.20000000,5410570.06261000,0
2024-11-28,0.0815,0.083,0.0775,0.0797,144419199.4,2024-11-28 23:59:59.999,11582975.39731000,42462,72552619.00000000,5812539.42792000,0
2024-11-29,0.0797,0.0812,0.0765,0.081,184472264.6,2024-11-29 23:59:59.999,14519810.74648000,52876,108868681.20000000,8577431.26086000,0
2024-11-30,0.081,0.0849,0.0783,0.0835,175247575.9,2024-11-30 23:59:59.999,14220976.51048000,67671,82464499.70000000,6695042.57710000,0
2024-12-01,0.0836,0.0863,0.0796,0.0828,210647482.7,2024-12-01 23:59:59.999,17439586.88666000,59183,115106798.80000000,9531066.19742000,0
2024-12-02,0.0828,0.085,0.0757,0.0813,255430838.9,2024-12-02 23:59:59.999,20321726.44991000,69422,134396498.70000000,10691454.55002000,0
2024-12-03,0.0813,0.0898,0.0754,0.0891,481200258.5,2024-12-03 23:59:59.999,39894450.55714000,126950,239668350.30000000,19852661.59764000,0
2024-12-04,0.0892,0.095,0.0858,0.0916,269355361.5,2024-12-04 23:59:59.999,24513058.91571000,90192,131987881.60000000,12012227.09424000,0
2024-12-05,0.0915,0.0923,0.0841,0.0869,215829414.3,2024-12-05 23:59:59.999,19000718.79595000,80692,105431881.70000000,9283425.23377000,0
2024-12-06,0.087,0.0925,0.085,0.0909,178595709.8,2024-12-06 23:59:59.999,15895138.62772000,65439,85462933.30000000,7603608.47057000,0
2024-12-07,0.091,0.0914,0.0876,0.0886,104652137.1,2024-12-07 23:59:59.999,9353174.93810000,40107,50511648.40000000,4514015.24086000,0
2024-12-08,0.0885,0.0891,0.0847,0.0883,68926627.8,2024-12-08 23:59:59.999,5992481.41181000,25245,31572637.20000000,2745825.41173000,0
2024-12-09,0.0883,0.0884,0.0627,0.0724,317610730.6,2024-12-09 23:59:59.999,24186203.45193000,101333,151485611.20000000,11500886.03068000,0
2024-12-10,0.0723,0.0736,0.0639,0.0697,409950214.2,2024-12-10 23:59:59.999,28325274.12030000,79720,194956061.40000000,13459807.35046000,0
2024-12-11,0.0697,0.0755,0.0663,0.0749,174908922.9,2024-12-11 23:59:59.999,12355490.22460000,42800,87535284.10000000,6187797.13675000,0
2024-12-12,0.0749,0.079,0.0746,0.0757,164577996.1,2024-12-12 23:59:59.999,12641642.45491000,52525,80715400.70000000,6200425.51597000,0
2024-12-13,0.0758,0.0766,0.0736,0.0756,131328840.0,2024-12-13 23:59:59.999,9837896.24288000,39106,65837606.10000000,4930554.08121000,0
2024-12-14,0.0757,0.0806,0.0713,0.0734,189182922.1,2024-12-14 23:59:59.999,14494815.38930000,59206,103854766.90000000,7990754.53624000,0
2024-12-15,0.0734,0.078,0.0707,0.0765,128928748.7,2024-12-15 23:59:59.999,9582319.96885000,41133,59199473.10000000,4387791.92348000,0
2024-12-16,0.0766,0.0786,0.0713,0.0729,143765215.9,2024-12-16 23:59:59.999,10689943.27417000,43124,69465177.10000000,5163305.55900000,0
2024-12-17,0.0729,0.073,0.0677,0.0686,132264573.7,2024-12-17 23:59:59.999,9370771.89145000,37420,65825594.60000000,4662906.71443000,0
2024-12-18,0.0687,0.0698,0.0621,0.0645,217711338.9,2024-12-18 23:59:59.999,14545391.78745000,49639,111550343.90000000,7445022.56787000,0
2024-12-19,0.0645,0.0656,0.0568,0.0584,328223341.5,2024-12-19 23:59:59.999,20150695.85696000,62731,164697776.00000000,10120553.18427000,0
2024-12-20,0.0584,0.0628,0.0528,0.0619,317431992.6,2024-12-20 23:59:59.999,18341931.31942000,58037,159373658.50000000,9198908.91989000,0
2024-12-21,0.0619,0.0659,0.0582,0.0594,209151689.0,2024-12-21 23:59:59.999,12827481.19661000,44144,101666725.40000000,6233331.74576000,0
2024-12-22,0.0595,0.0619,0.0583,0.06,149809804.9,2024-12-22 23:59:59.999,9007409.14189000,27541,72641518.10000000,4368330.47548000,0
2024-12-23,0.0601,0.0642,0.0585,0.0632,203091632.2,2024-12-23 23:59:59.999,12417769.18234000,36659,98777906.50000000,6036058.21598000,0
2024-12-24,0.0631,0.0656,0.0617,0.0645,130502781.0,2024-12-24 23:59:59.999,8290449.52703000,27619,66092212.70000000,4198141.67378000,0
2024-12-25,0.0645,0.0659,0.063,0.0641,108495857.2,2024-12-25 23:59:59.999,6998401.84791000,24491,53710945.40000000,3464784.69112000,0
2024-12-26,0.0641,0.0649,0.059,0.0598,118524006.7,2024-12-26 23:59:59.999,7245993.25951000,28977,58221895.50000000,3554281.54956000,0
2024-12-27,0.0598,0.0638,0.0595,0.0621,136061631.5,2024-12-27 23:59:59.999,8421472.77168000,28405,69202056.60000000,4286014.93566000,0
2024-12-28,0.0622,0.0667,0.0619,0.0646,139714117.6,2024-12-28 23:59:59.999,8964219.75923000,28008,70712942.80000000,4534740.21098000,0
2024-12-29,0.0646,0.0656,0.0609,0.062,78036401.5,2024-12-29 23:59:59.999,4922628.47286000,17911,37119764.50000000,2344324.40253000,0
2024-12-30,0.0619,0.0637,0.0591,0.0607,131367459.7,2024-12-30 23:59:59.999,8088874.99308000,24125,64262244.20000000,3957898.24081000,0
2024-12-31,0.0607,0.0615,0.0589,0.0593,104378214.2,2024-12-31 23:59:59.999,6268317.97680000,18736,52185233.40000000,3132908.35034000,0
2025-01-01,0.0592,0.0614,0.0578,0.061,76999101.8,2025-01-01 23:59:59.999,4590937.64779000,15388,37415160.30000000,2229796.30982000,0
2025-01-02,0.061,0.0634,0.0607,0.062,92627848.4,2025-01-02 23:59:59.999,5748927.92630000,18851,43077303.80000000,2674391.64282000,0
2025-01-03,0.062,0.0649,0.0609,0.0647,71761153.3,2025-01-03 23:59:59.999,4526371.49133000,16870,34746261.50000000,2191344.23616000,0
2025-01-04,0.0648,0.0681,0.0639,0.0658,114495961.6,2025-01-04 23:59:59.999,7534720.88669000,31277,57243709.40000000,3769413.03814000,0
2025-01-05,0.0658,0.0665,0.0645,0.0661,76217700.1,2025-01-05 23:59:59.999,4998819.20223000,15650,35301274.20000000,2314842.83112000,0
2025-01-06,0.0662,0.0691,0.0651,0.0677,78403731.1,2025-01-06 23:59:59.999,5268632.63721000,19137,39139545.90000000,2630950.32218000,0
2025-01-07,0.0678,0.0678,0.0605,0.0609,123497549.6,2025-01-07 23:59:59.999,7916214.11760000,27366,58893417.90000000,3772309.08572000,0
2025-01-08,0.0609,0.0615,0.0579,0.0609,167331306.3,2025-01-08 23:59:59.999,9994723.23059000,38833,84436956.50000000,5042509.10194000,0
2025-01-09,0.0608,0.0617,0.0583,0.0599,184296538.1,2025-01-09 23:59:59.999,11072972.05797000,31019,91170553.50000000,5478391.44785000,0
2025-01-10,0.0599,0.0627,0.059,0.0621,136664340.2,2025-01-10 23:59:59.999,8332594.85808000,23994,64369508.70000000,3925077.26929000,0
2025-01-11,0.0621,0.0626,0.0601,0.0614,61488258.9,2025-01-11 23:59:59.999,3758823.43520000,11391,30041646.20000000,1835713.53394000,0
2025-01-12,0.0614,0.0623,0.0589,0.0595,57509020.6,2025-01-12 23:59:59.999,3491979.88914000,11930,26416212.70000000,1603565.46186000,0
2025-01-13,0.0595,0.061,0.0539,0.0576,185309146.5,2025-01-13 23:59:59.999,10440166.89361000,32700,91026209.50000000,5132010.10371000,0
2025-01-14,0.0575,0.0609,0.0567,0.0598,103513943.3,2025-01-14 23:59:59.999,6090675.87296000,17923,52194496.20000000,3071076.44311000,0
2025-01-15,0.0598,0.066,0.0579,0.0634,139778850.6,2025-01-15 23:59:59.999,8599898.51282000,29781,70708634.10000000,4351759.61370000,0
2025-01-16,0.0635,0.0636,0.0602,0.0612,187905975.0,2025-01-16 23:59:59.999,11580486.34924000,37449,93015577.90000000,5733121.70451000,0
2025-01-17,0.0612,0.064,0.0612,0.0634,88419544.3,2025-01-17 23:59:59.999,5547012.55343000,18392,42772288.90000000,2683368.74435000,0
2025-01-18,0.0634,0.0639,0.0579,0.059,160479360.2,2025-01-18 23:59:59.999,9586799.09478000,28018,79250592.00000000,4732849.18495000,0
2025-01-19,0.059,0.0603,0.0525,0.0536,315292805.3,2025-01-19 23:59:59.999,17658164.04858000,55373,162669980.00000000,9109677.48310000,0
2025-01-20,0.0536,0.0584,0.0522,0.0538,425020158.0,2025-01-20 23:59:59.999,23309463.52351000,72507,212359758.20000000,11638420.56268000,0
2025-01-21,0.0538,0.0565,0.0519,0.0552,273396826.3,2025-01-21 23:59:59.999,14725337.32223000,35738,137806169.40000000,7419656.73076000,0
2025-01-22,0.0552,0.0556,0.0532,0.0534,92452022.7,2025-01-22 23:59:59.999,5034770.20531000,13775,45509298.70000000,2477932.80683000,0
2025-01-23,0.0534,0.0545,0.0519,0.0531,148866690.1,2025-01-23 23:59:59.999,7901898.55701000,24887,76802013.40000000,4075860.41757000,0
2025-01-24,0.0531,0.0552,0.0513,0.0527,130751907.2,2025-01-24 23:59:59.999,7000290.88762000,19535,65730857.50000000,3519696.83512000,0
2025-01-25,0.0527,0.0537,0.052,0.0531,73001434.0,2025-01-25 23:59:59.999,3861086.20719000,11160,34872766.30000000,1845142.30950000,0
2025-01-26,0.0531,0.0542,0.0518,0.052,51244191.3,2025-01-26 23:59:59.999,2730392.42180000,7869,23634085.50000000,1259278.90347000,0
2025-01-27,0.0519,0.0523,0.0477,0.05,226089631.5,2025-01-27 23:59:59.999,11250849.67792000,33506,110990963.30000000,5519845.71954000,0
2025-01-28,0.0501,0.0507,0.0472,0.0476,105662344.5,2025-01-28 23:59:59.999,5215320.02054000,14864,53223020.30000000,2627512.10727000,0
2025-01-29,0.0477,0.05,0.0468,0.0487,177855464.8,2025-01-29 23:59:59.999,8601873.12115000,24228,89221150.70000000,4315489.97708000,0
2025-01-30,0.0487,0.0511,0.048,0.0496,84603975.4,2025-01-30 23:59:59.999,4223053.10328000,11681,43663790.60000000,2179516.99341000,0
2025-01-31,0.0497,0.052,0.0489,0.0504,115119308.5,2025-01-31 23:59:59.999,5807168.73466000,18336,58308754.00000000,2941584.43892000,0
