Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,6.124,6.661,5.576,5.691,11732503.56,2024-11-17 23:59:59.999,71776923.42794000,348020,5429766.24000000,33180374.35872000,0
2024-11-18,5.691,6.623,5.663,6.469,7500073.96,2024-11-18 23:59:59.999,46703637.67740000,252462,3825119.27000000,23795973.87466000,0
2024-11-19,6.469,6.874,6.134,6.26,8854883.62,2024-11-19 23:59:59.999,56883786.00219000,283862,4261339.72000000,27389990.84695000,0
2024-11-20,6.263,6.642,6.068,6.197,5506984.94,2024-11-20 23:59:59.999,34973301.02460000,179924,2672134.40000000,16997863.97734000,0
2024-11-21,6.198,6.503,5.996,6.421,6732078.17,2024-11-21 23:59:59.999,41980781.38185000,182767,3188514.75000000,19898110.07033000,0
2024-11-22,6.42,7.628,6.328,7.55,11728983.14,2024-11-22 23:59:59.999,83067531.56400000,336978,6022137.68000000,42652430.67709000,0
2024-11-23,7.549,8.842,7.433,8.223,14057583.95,2024-11-23 23:59:59.999,113461872.95019000,526183,6947981.84000000,56083969.36953000,0
2024-11-24,8.225,9.576,8.058,8.757,16704190.98,2024-11-24 23:59:59.999,147273794.80256000,630437,8266481.01000000,72910641.24743000,0
2024-11-25,8.757,8.84,7.771,7.922,6702125.8,2024-11-25 23:59:59.999,56151475.11847000,230468,3306472.18000000,27687605.94361000,0
2024-11-26,7.921,8.143,7.5,8.011,6416259.96,2024-11-26 23:59:59.999,50526347.82044000,223371,3147262.21000000,24787714.67800000,0
2024-11-27,8.01,8.388,7.792,8.323,4478368.27,2024-11-27 23:59:59.999,36348627.09594000,162896,2214966.63000000,17996816.96752000,0
2024-11-28,8.323,8.399,7.88,8.219,3233050.88,2024-11-28 23:59:59.999,26218142.12983000,122405,1569759.22000000,12733805.95472000,0
2024-11-29,8.222,8.803,8.051,8.774,3601429.29,2024-11-29 23:59:59.999,30399072.01002000,134679,1760975.48000000,14861138.04495000,0
2024-11-30,8.773,8.85,8.402,8.573,4212764.01,2024-11-30 23:59:59.999,36366473.71020000,141540,2065596.00000000,17835743.68894000,0
2024-12-01,8.573,9.05,8.302,8.907,4748763.16,2024-12-01 23:59:59.999,41080507.29942000,159678,2424174.00000000,20957009.29801000,0
