Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,14.46,14.58,13.45,13.71,227529.02,2024-11-17 23:59:59.999,3183333.18660000,30178,106039.23000000,1484152.79600000,0
2024-11-18,13.72,14.5,13.64,14.4,349887.07,2024-11-18 23:59:59.999,4970241.71540000,36653,163716.72000000,2326072.46250000,0
2024-11-19,14.38,16.28,14.05,14.45,1440242.49,2024-11-19 23:59:59.999,21915513.16110000,126405,750503.53000000,11436337.28520000,0
2024-11-20,14.44,14.44,13.06,13.38,321876.25,2024-11-20 23:59:59.999,4410426.48840000,26335,142359.91000000,1951279.92560000,0
2024-11-21,13.37,14.06,12.89,13.98,307837.63,2024-11-21 23:59:59.999,4191776.12730000,28141,145937.10000000,1987042.90460000,0
2024-11-22,13.98,14.11,13.54,14.07,319645.26,2024-11-22 23:59:59.999,4432379.75420000,31205,161123.37000000,2235559.34470000,0
2024-11-23,14.07,14.96,13.98,14.83,628551.13,2024-11-23 23:59:59.999,9070850.50850000,65830,301500.80000000,4351729.47450000,0
2024-11-24,14.83,15.78,14.1,15.46,665178.42,2024-11-24 23:59:59.999,10007995.93350000,59198,322950.83000000,4859709.33550000,0
2024-11-25,15.46,16.03,14.8,15.29,589017.47,2024-11-25 23:59:59.999,9147414.02300000,61116,275750.55000000,4283474.47380000,0
2024-11-26,15.31,16.12,14.43,15.48,466446.51,2024-11-26 23:59:59.999,7113850.51880000,48840,233137.95000000,3554757.94370000,0
2024-11-27,15.46,17.14,15.14,16.83,909551.11,2024-11-27 23:59:59.999,14842101.12170000,81611,444607.61000000,7249606.29700000,0
2024-11-28,16.81,17.3,15.7,16.08,586173.47,2024-11-28 23:59:59.999,9672628.15590000,45540,279792.90000000,4621885.89010000,0
2024-11-29,16.09,16.52,15.77,16.4,348605.07,2024-11-29 23:59:59.999,5629657.37530000,28766,172557.87000000,2787379.20230000,0
2024-11-30,16.4,18.93,16.17,18.21,771200.82,2024-11-30 23:59:59.999,13490947.09400000,73470,402358.93000000,7048445.56410000,0
