Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.1256,0.1333,0.1248,0.1298,13243664.2,2024-09-19 23:59:59.999,1714884.17093000,11192,7063835.50000000,914689.20988000,0
2024-09-20,0.1299,0.1388,0.1287,0.1349,24128452.6,2024-09-20 23:59:59.999,3249331.64789000,19007,11825310.20000000,1592352.55734000,0
2024-09-21,0.1347,0.137,0.131,0.1351,11835408.0,2024-09-21 23:59:59.999,1580912.64362000,10207,6043636.10000000,806854.69282000,0
2024-09-22,0.135,0.1353,0.1269,0.1312,10401212.0,2024-09-22 23:59:59.999,1359758.69253000,8124,5004352.90000000,654951.37640000,0
2024-09-23,0.1312,0.1378,0.1292,0.1339,12144650.9,2024-09-23 23:59:59.999,1617764.75590000,9747,6260407.10000000,834169.29483000,0
2024-09-24,0.1339,0.1385,0.1321,0.1356,16147283.1,2024-09-24 23:59:59.999,2184182.75938000,12051,8064622.40000000,1091603.39936000,0
2024-09-25,0.1353,0.1381,0.1339,0.135,8994509.1,2024-09-25 23:59:59.999,1219390.79789000,6927,4073991.10000000,552859.78088000,0
2024-09-26,0.1351,0.1439,0.1312,0.1388,21388520.8,2024-09-26 23:59:59.999,2935764.83691000,17942,10822534.10000000,1487448.62304000,0
2024-09-27,0.1388,0.1422,0.1374,0.1415,9994984.8,2024-09-27 23:59:59.999,1401428.07849000,9310,5193776.00000000,729009.71159000,0
2024-09-28,0.1415,0.1447,0.1358,0.1379,7544129.4,2024-09-28 23:59:59.999,1049666.60576000,7706,3493793.30000000,486371.04705000,0
2024-09-29,0.1378,0.1442,0.1361,0.1399,9659571.0,2024-09-29 23:59:59.999,1343207.30146000,8718,4689321.80000000,652733.62553000,0
2024-09-30,0.1399,0.1407,0.1318,0.1325,14872113.1,2024-09-30 23:59:59.999,2032612.67156000,13950,7035252.30000000,962330.83195000,0
2024-10-01,0.1325,0.1366,0.1164,0.1197,22338784.6,2024-10-01 23:59:59.999,2790211.98277000,18989,10973431.50000000,1365437.71615000,0
2024-10-02,0.1195,0.1236,0.1134,0.1164,12955005.8,2024-10-02 23:59:59.999,1538062.85843000,12216,6414998.60000000,761193.24532000,0
2024-10-03,0.1164,0.1184,0.1092,0.1131,11311568.2,2024-10-03 23:59:59.999,1281007.68022000,10305,5352229.80000000,606397.72322000,0
2024-10-04,0.113,0.1214,0.1126,0.1197,8613891.3,2024-10-04 23:59:59.999,1003962.73371000,7469,4450247.70000000,518544.66443000,0
2024-10-05,0.1201,0.1218,0.1143,0.1168,5690628.5,2024-10-05 23:59:59.999,668549.16990000,4573,2475223.40000000,290928.33268000,0
2024-10-06,0.1166,0.1415,0.1157,0.1287,112494413.6,2024-10-06 23:59:59.999,14779670.32321000,98877,57253885.70000000,7529894.47352000,0
2024-10-07,0.1287,0.1399,0.121,0.1219,65961083.8,2024-10-07 23:59:59.999,8632760.93845000,59916,32177795.40000000,4221320.23461000,0
2024-10-08,0.1219,0.1268,0.1191,0.1199,26817212.0,2024-10-08 23:59:59.999,3284227.23547000,21262,13230056.90000000,1622084.59733000,0
2024-10-09,0.12,0.1228,0.117,0.1202,13073655.9,2024-10-09 23:59:59.999,1570569.27367000,11595,6508963.10000000,782182.72900000,0
2024-10-10,0.1201,0.1217,0.1149,0.1185,8919104.0,2024-10-10 23:59:59.999,1055716.16726000,7476,4325584.60000000,512278.25221000,0
2024-10-11,0.1187,0.1238,0.1176,0.1221,9000794.7,2024-10-11 23:59:59.999,1094689.82375000,7681,4568568.40000000,555633.29188000,0
2024-10-12,0.1222,0.1247,0.1217,0.1228,5741184.7,2024-10-12 23:59:59.999,708089.05597000,5597,2674764.60000000,330082.70497000,0
2024-10-13,0.1229,0.1235,0.1189,0.1219,7180813.3,2024-10-13 23:59:59.999,871395.90561000,6863,3494598.40000000,424473.46825000,0
2024-10-14,0.1219,0.1297,0.1203,0.1275,14508034.4,2024-10-14 23:59:59.999,1822651.04898000,13079,7614673.60000000,957165.19271000,0
2024-10-15,0.1275,0.1281,0.1211,0.1242,11593231.8,2024-10-15 23:59:59.999,1441790.50681000,9632,5281216.10000000,657265.46906000,0
2024-10-16,0.1242,0.126,0.1215,0.1238,7328851.6,2024-10-16 23:59:59.999,907871.78093000,5939,3861014.80000000,478803.26426000,0
2024-10-17,0.1238,0.1265,0.1195,0.1214,11295777.4,2024-10-17 23:59:59.999,1388313.24542000,7313,5522669.10000000,679272.24896000,0
2024-10-18,0.1213,0.1247,0.1198,0.1239,8325105.6,2024-10-18 23:59:59.999,1017384.39783000,6357,3865602.20000000,472728.09454000,0
2024-10-19,0.1239,0.1291,0.1227,0.126,11565217.8,2024-10-19 23:59:59.999,1449320.14919000,8704,6268061.20000000,786455.59844000,0
2024-10-20,0.1258,0.1407,0.1238,0.1338,85986624.2,2024-10-20 23:59:59.999,11506370.78305000,61144,46079161.10000000,6173242.17357000,0
2024-10-21,0.1338,0.1358,0.1282,0.1302,28467780.2,2024-10-21 23:59:59.999,3761998.98519000,18290,13700024.80000000,1810952.94340000,0
2024-10-22,0.1302,0.1308,0.1266,0.1278,9815499.6,2024-10-22 23:59:59.999,1263580.78264000,13364,4392979.80000000,565315.83661000,0
2024-10-23,0.1279,0.1485,0.125,0.1299,131455773.6,2024-10-23 23:59:59.999,17935022.83480000,117180,66105450.50000000,9046244.79228000,0
2024-10-24,0.1299,0.1396,0.1281,0.1285,40665796.5,2024-10-24 23:59:59.999,5420575.06397000,45210,20039955.70000000,2675119.31744000,0
2024-10-25,0.1285,0.1314,0.1126,0.1183,22981341.7,2024-10-25 23:59:59.999,2859454.11334000,20884,10881884.40000000,1353916.44208000,0
2024-10-26,0.1183,0.1245,0.1152,0.1221,13925520.7,2024-10-26 23:59:59.999,1669363.77079000,12259,6979427.50000000,837521.99086000,0
2024-10-27,0.1221,0.1232,0.1188,0.1226,10241378.9,2024-10-27 23:59:59.999,1237689.48137000,7788,5158694.00000000,623579.17974000,0
2024-10-28,0.1225,0.1233,0.1175,0.1213,14426749.1,2024-10-28 23:59:59.999,1737340.65449000,11412,7085395.10000000,853969.93225000,0
2024-10-29,0.1213,0.1271,0.1206,0.1249,16286005.6,2024-10-29 23:59:59.999,2012242.22177000,14223,7484028.00000000,925858.19320000,0
2024-10-30,0.1251,0.1258,0.1212,0.1226,7864873.0,2024-10-30 23:59:59.999,971395.63635000,7549,4053252.80000000,500948.48042000,0
2024-10-31,0.1225,0.1228,0.116,0.1178,7400937.9,2024-10-31 23:59:59.999,881734.13150000,6765,3533344.40000000,420757.73860000,0
2024-11-01,0.1177,0.1288,0.1153,0.1179,35948409.7,2024-11-01 23:59:59.999,4375287.25544000,27297,18536125.40000000,2259126.43085000,0
2024-11-02,0.118,0.1296,0.1174,0.121,53450514.5,2024-11-02 23:59:59.999,6540510.33667000,39625,27537458.40000000,3374092.13258000,0
2024-11-03,0.1209,0.123,0.1094,0.1132,19406382.6,2024-11-03 23:59:59.999,2235924.01739000,13998,9351604.50000000,1078167.01647000,0
2024-11-04,0.1133,0.1154,0.108,0.11,12195398.8,2024-11-04 23:59:59.999,1368705.27850000,10985,6039302.50000000,677226.95624000,0
2024-11-05,0.1101,0.1164,0.1099,0.1134,9837799.0,2024-11-05 23:59:59.999,1118968.78641000,8015,5143819.00000000,585232.82760000,0
2024-11-06,0.1134,0.1231,0.1134,0.1223,19999418.2,2024-11-06 23:59:59.999,2405214.98491000,16380,10245832.10000000,1231830.59499000,0
2024-11-07,0.1224,0.1265,0.1205,0.1239,18025794.1,2024-11-07 23:59:59.999,2219916.19185000,15334,9538584.00000000,1175896.17306000,0
2024-11-08,0.124,0.1387,0.1219,0.1298,51843102.4,2024-11-08 23:59:59.999,6732594.65627000,41771,27571492.80000000,3583365.26858000,0
2024-11-09,0.1298,0.138,0.1267,0.1314,40743752.0,2024-11-09 23:59:59.999,5318243.98357000,32370,20742307.80000000,2714796.42691000,0
2024-11-10,0.1313,0.1476,0.1265,0.1353,59456733.0,2024-11-10 23:59:59.999,8179677.63081000,51130,31183442.20000000,4301513.97561000,0
2024-11-11,0.1353,0.154,0.1306,0.1454,91153047.5,2024-11-11 23:59:59.999,13015359.21100000,77789,45893026.10000000,6558741.92005000,0
2024-11-12,0.1454,0.1493,0.1306,0.1375,42619192.6,2024-11-12 23:59:59.999,5983614.77101000,44653,20015584.80000000,2817738.72448000,0
2024-11-13,0.1376,0.1399,0.127,0.1323,30219996.0,2024-11-13 23:59:59.999,4008782.85202000,31593,14722198.30000000,1956437.87375000,0
2024-11-14,0.1324,0.1353,0.1269,0.1279,25378428.1,2024-11-14 23:59:59.999,3328536.68248000,27057,12697572.80000000,1667064.59979000,0
