Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,35.15,37.27,33.08,34.71,5673738.64,2024-11-17 23:59:59.999,202935987.02290000,719943,2766653.78000000,99028638.53600000,0
2024-11-18,34.72,36.16,34.06,35.48,4439039.4,2024-11-18 23:59:59.999,156459725.77560000,571800,2174473.22000000,76651812.55240000,0
2024-11-19,35.48,35.63,33.52,34.2,2987306.04,2024-11-19 23:59:59.999,103415382.17490000,390101,1475564.20000000,51076927.24910000,0
2024-11-20,34.2,35.75,32.77,33.59,3615587.8,2024-11-20 23:59:59.999,123686935.66770000,465209,1778227.25000000,60845820.88700000,0
2024-11-21,33.6,36.2,32.31,35.84,4208872.98,2024-11-21 23:59:59.999,146592209.79500000,539825,2079926.68000000,72399603.29040000,0
2024-11-22,35.84,43.52,35.18,43.17,8056726.78,2024-11-22 23:59:59.999,313578549.61650000,1020925,4268545.25000000,166323804.66770000,0
2024-11-23,43.18,45.27,40.69,41.44,7788308.37,2024-11-23 23:59:59.999,334734194.35380000,1128343,3744187.49000000,160995765.77540000,0
2024-11-24,41.44,43.14,38.31,42.06,5915164.28,2024-11-24 23:59:59.999,241000210.30460000,891844,2896418.95000000,117988110.15900000,0
2024-11-25,42.05,47.93,40.02,41.31,9557513.01,2024-11-25 23:59:59.999,417727497.52340000,1301940,4841086.45000000,211651773.09470000,0
2024-11-26,41.31,43.35,38.5,42.72,6473991.3,2024-11-26 23:59:59.999,267482961.01920000,925694,3283923.71000000,135841228.13420000,0
2024-11-27,42.73,44.47,41.95,43.78,4868664.66,2024-11-27 23:59:59.999,210644449.29720000,657803,2493477.45000000,107895876.78090000,0
2024-11-28,43.78,44.24,41.51,42.77,2715014.37,2024-11-28 23:59:59.999,115964045.75990000,391227,1386426.52000000,59227811.25830000,0
2024-11-29,42.78,45.07,42.54,44.86,2791481.17,2024-11-29 23:59:59.999,122489794.78800000,457010,1415278.95000000,62163296.40360000,0
2024-11-30,44.86,46.26,43.65,44.81,2529834.27,2024-11-30 23:59:59.999,114264133.79380000,451738,1266740.07000000,57214888.34830000,0
2024-12-01,44.81,45.78,43.65,45.09,2620155.57,2024-12-01 23:59:59.999,116980846.15560000,503371,1292911.20000000,57752907.41900000,0
2024-12-02,45.09,52.49,45.0,52.27,13230224.23,2024-12-02 23:59:59.999,637685454.45090000,1663473,6903894.33000000,333035416.37080000,0
2024-12-03,52.27,53.95,47.8,50.9,8509217.61,2024-12-03 23:59:59.999,433373443.56310000,1234667,4171254.97000000,212592594.69510000,0
2024-12-04,50.9,55.79,50.83,52.76,6737952.02,2024-12-04 23:59:59.999,361391902.15410000,806244,3270806.90000000,175481600.14520000,0
2024-12-05,52.76,53.62,48.76,50.3,5150018.91,2024-12-05 23:59:59.999,266029870.37270000,825078,2514759.37000000,129940265.51990000,0
2024-12-06,50.29,53.55,49.62,52.47,3531401.48,2024-12-06 23:59:59.999,183017115.24370000,598554,1725947.03000000,89463639.31920000,0
2024-12-07,52.48,53.08,51.2,51.6,1802079.69,2024-12-07 23:59:59.999,93826491.07300000,331616,862329.71000000,44922437.85870000,0
2024-12-08,51.6,54.39,50.35,53.98,2610374.95,2024-12-08 23:59:59.999,136298773.01720000,453528,1360318.99000000,71134177.19260000,0
2024-12-09,53.99,54.2,40.4,45.02,8678006.11,2024-12-09 23:59:59.999,410835147.27900000,1122982,4378278.39000000,206837186.10100000,0
2024-12-10,45.02,46.49,41.32,44.6,5913538.77,2024-12-10 23:59:59.999,260398681.02320000,855291,2867955.12000000,126473375.29760000,0
2024-12-11,44.6,48.48,42.78,48.47,3179918.54,2024-12-11 23:59:59.999,146677911.42260000,426477,1638986.55000000,75684434.52610000,0
2024-12-12,48.46,55.41,48.21,53.14,6946012.23,2024-12-12 23:59:59.999,361910981.18840000,941176,3524987.86000000,183722836.53380000,0
2024-12-13,53.14,54.03,50.72,52.78,3059871.58,2024-12-13 23:59:59.999,159498082.86420000,458236,1571386.65000000,81968728.29520000,0
2024-12-14,52.79,53.84,49.38,49.85,2178229.4,2024-12-14 23:59:59.999,112587915.56920000,377038,1023761.10000000,52900598.07100000,0
2024-12-15,49.85,51.56,48.1,50.76,2534152.78,2024-12-15 23:59:59.999,126223151.34980000,319640,1256101.15000000,62627448.16390000,0
2024-12-16,50.77,52.05,48.34,48.98,2847916.5,2024-12-16 23:59:59.999,142060478.58040000,485608,1395995.52000000,69703444.04270000,0
2024-12-17,48.99,50.84,47.52,47.92,2405448.95,2024-12-17 23:59:59.999,118587968.52690000,437143,1095649.70000000,54063263.30970000,0
2024-12-18,47.92,48.2,42.63,42.78,4851431.93,2024-12-18 23:59:59.999,220212557.43530000,563112,2282987.68000000,103631930.54050000,0
2024-12-19,42.78,43.61,37.46,38.83,6144612.93,2024-12-19 23:59:59.999,249266230.68410000,694030,3002573.14000000,121987324.62170000,0
2024-12-20,38.84,40.39,33.6,39.86,6360495.34,2024-12-20 23:59:59.999,236335621.78530000,624025,3111274.34000000,115605066.77260000,0
2024-12-21,39.85,42.36,36.93,37.42,2760917.7,2024-12-21 23:59:59.999,108690002.07660000,353190,1342485.82000000,52961527.14260000,0
2024-12-22,37.42,38.54,35.52,36.57,2091153.42,2024-12-22 23:59:59.999,77612224.23740000,267976,1006286.50000000,37350676.05270000,0
2024-12-23,36.57,39.74,35.62,39.11,3166198.31,2024-12-23 23:59:59.999,118045262.30490000,372445,1626879.90000000,60686646.14410000,0
2024-12-24,39.1,42.06,37.7,41.25,2566311.12,2024-12-24 23:59:59.999,102505025.00550000,275405,1306494.35000000,52194240.83000000,0
2024-12-25,41.25,41.9,39.83,40.25,1222671.71,2024-12-25 23:59:59.999,49851890.42000000,161888,604034.68000000,24639893.47030000,0
2024-12-26,40.26,40.74,36.97,37.33,1918690.88,2024-12-26 23:59:59.999,73445870.69350000,224763,900312.97000000,34432001.61680000,0
2024-12-27,37.33,39.05,36.31,36.56,1872302.26,2024-12-27 23:59:59.999,70181445.81190000,244609,954110.70000000,35785551.42120000,0
2024-12-28,36.57,38.14,36.28,37.74,1085666.84,2024-12-28 23:59:59.999,40337601.07820000,125427,531646.23000000,19761672.80560000,0
2024-12-29,37.75,37.81,35.53,35.84,1157162.61,2024-12-29 23:59:59.999,42295552.22930000,120656,544927.56000000,19903186.00260000,0
2024-12-30,35.85,37.19,34.87,35.97,2903986.22,2024-12-30 23:59:59.999,105411654.37000000,208895,1457374.99000000,52914167.24870000,0
2024-12-31,35.98,37.29,34.94,35.71,1329180.53,2024-12-31 23:59:59.999,47951380.44690000,108609,627705.08000000,22659601.71600000,0
2025-01-01,35.7,37.99,34.95,37.78,1248478.54,2025-01-01 23:59:59.999,45581445.13640000,101431,614436.12000000,22429853.96070000,0
2025-01-02,37.77,40.6,37.77,39.28,1937889.62,2025-01-02 23:59:59.999,76293071.22950000,198664,936022.30000000,36849221.19660000,0
2025-01-03,39.28,42.19,38.89,41.94,2194111.86,2025-01-03 23:59:59.999,90014945.11820000,263766,1168817.62000000,47949853.12500000,0
2025-01-04,41.93,42.85,40.89,42.63,1643635.51,2025-01-04 23:59:59.999,68826668.92440000,197063,764698.14000000,32059014.84230000,0
2025-01-05,42.63,43.2,41.24,43.11,1297708.53,2025-01-05 23:59:59.999,54687769.58800000,183441,596166.49000000,25124967.09690000,0
2025-01-06,43.11,45.05,42.03,44.05,2332218.89,2025-01-06 23:59:59.999,102430295.04040000,284387,1188377.99000000,52210795.84170000,0
2025-01-07,44.04,44.57,39.13,39.21,3020624.86,2025-01-07 23:59:59.999,125638901.67210000,270479,1397223.00000000,58051531.89600000,0
2025-01-08,39.2,39.93,36.19,37.43,2979010.3,2025-01-08 23:59:59.999,113149764.62100000,326027,1446028.17000000,54976128.15910000,0
2025-01-09,37.42,37.94,35.5,36.2,1999453.23,2025-01-09 23:59:59.999,73080769.73530000,260786,958866.14000000,35087250.70250000,0
2025-01-10,36.21,37.93,35.95,36.67,2106803.56,2025-01-10 23:59:59.999,77720625.26690000,301439,1035431.59000000,38237083.68690000,0
2025-01-11,36.67,37.78,36.02,37.13,864520.17,2025-01-11 23:59:59.999,31797081.11180000,148606,402101.17000000,14799181.67730000,0
2025-01-12,37.14,37.63,36.11,36.56,806162.71,2025-01-12 23:59:59.999,29734176.15470000,138559,377787.33000000,13943079.56000000,0
2025-01-13,36.57,37.36,32.79,35.29,3196828.06,2025-01-13 23:59:59.999,110252574.66970000,385223,1542248.76000000,53153874.03440000,0
2025-01-14,35.3,36.72,35.01,36.57,1368764.92,2025-01-14 23:59:59.999,49231450.65720000,168168,686882.78000000,24720914.84300000,0
2025-01-15,36.57,40.02,36.2,39.82,2645740.7,2025-01-15 23:59:59.999,101398574.69730000,382193,1328955.52000000,50995593.54620000,0
2025-01-16,39.83,40.53,38.34,40.06,2530086.47,2025-01-16 23:59:59.999,99954575.88910000,338346,1213506.93000000,47991646.95890000,0
2025-01-17,40.07,41.82,40.07,41.38,1918562.98,2025-01-17 23:59:59.999,78772706.52810000,296435,1012966.07000000,41605726.30220000,0
2025-01-18,41.37,41.68,38.3,39.25,2433155.45,2025-01-18 23:59:59.999,96055274.18310000,286747,1164563.09000000,45976437.81700000,0
2025-01-19,39.25,40.57,34.86,35.68,5434412.75,2025-01-19 23:59:59.999,204328955.07600000,559038,2562809.07000000,96484420.58910000,0
2025-01-20,35.68,40.24,34.49,36.03,7072834.44,2025-01-20 23:59:59.999,260134821.68610000,726992,3445463.24000000,126834680.69660000,0
2025-01-21,36.04,37.59,34.52,36.95,2671980.96,2025-01-21 23:59:59.999,96599835.12130000,325245,1325579.32000000,47954918.94580000,0
