Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.7783,0.7811,0.7233,0.7615,12448594.56,2024-11-17 23:59:59.999,9438581.34181800,81196,6223687.35000000,4720759.09902400,0
2024-11-18,0.7616,0.8154,0.747,0.8001,13177196.06,2024-11-18 23:59:59.999,10386195.70113900,87588,6573882.65000000,5180533.64593200,0
2024-11-19,0.8,0.8001,0.7111,0.7372,9275970.94,2024-11-19 23:59:59.999,7028880.85534100,70443,4926622.79000000,3733558.64635600,0
2024-11-20,0.7368,0.7403,0.6632,0.6802,8216404.13,2024-11-20 23:59:59.999,5772815.69332800,52936,3864652.41000000,2714714.64686200,0
2024-11-21,0.6804,0.7443,0.6601,0.7118,10723274.99,2024-11-21 23:59:59.999,7578638.24401600,70498,5278245.91000000,3728075.49572800,0
2024-11-22,0.7116,0.7355,0.6876,0.7346,10622111.67,2024-11-22 23:59:59.999,7530132.12619900,66780,5703160.87000000,4040781.74975500,0
2024-11-23,0.7346,0.8157,0.7308,0.7943,14923432.43,2024-11-23 23:59:59.999,11521699.69613500,102356,7668482.86000000,5917076.26975900,0
2024-11-24,0.7943,0.8555,0.7412,0.8484,14655371.06,2024-11-24 23:59:59.999,11742526.15118300,117179,7298501.00000000,5852552.87123800,0
2024-11-25,0.8485,0.8697,0.7908,0.8057,15118617.08,2024-11-25 23:59:59.999,12585571.28477900,109116,7607320.61000000,6331080.12519200,0
2024-11-26,0.8054,0.8398,0.7431,0.789,12637137.61,2024-11-26 23:59:59.999,10003195.17543400,87955,6728432.68000000,5331069.45386900,0
2024-11-27,0.7887,0.941,0.7701,0.9121,15839254.61,2024-11-27 23:59:59.999,13750338.56911400,110299,8715092.43000000,7569380.20759100,0
2024-11-28,0.911,0.9775,0.873,0.9519,13104462.95,2024-11-28 23:59:59.999,11996451.94647400,98470,6894805.83000000,6317617.76932100,0
2024-11-29,0.9523,0.99,0.9051,0.9867,9495243.64,2024-11-29 23:59:59.999,8951918.52292400,76657,4771548.71000000,4497968.39056400,0
2024-11-30,0.987,1.0073,0.9526,0.9821,7989204.08,2024-11-30 23:59:59.999,7847317.38359800,71401,4177698.41000000,4103101.03054500,0
2024-12-01,0.9817,1.0787,0.9565,1.0345,12697948.4,2024-12-01 23:59:59.999,12959427.37174700,103080,6889445.16000000,7034747.72261000,0
2024-12-02,1.0346,1.0712,0.9348,1.0684,12117433.8,2024-12-02 23:59:59.999,12095190.98765900,104818,6416035.02000000,6412263.74106400,0
2024-12-03,1.0682,1.14,0.9809,1.1237,17445162.38,2024-12-03 23:59:59.999,18557070.61417400,147537,8914554.68000000,9508822.31923700,0
2024-12-04,1.1238,1.1385,1.037,1.083,11783529.39,2024-12-04 23:59:59.999,12916740.45732400,109457,6403853.43000000,7026876.67389400,0
2024-12-05,1.083,1.0877,1.0001,1.0297,12023563.42,2024-12-05 23:59:59.999,12635069.49930900,115278,6026506.35000000,6340604.67646800,0
2024-12-06,1.03,1.1032,1.0119,1.062,11463595.35,2024-12-06 23:59:59.999,12201946.82162500,106256,5978328.02000000,6371578.84991600,0
2024-12-07,1.0621,1.0759,1.02,1.0406,6801757.51,2024-12-07 23:59:59.999,7100618.16155000,58919,3087451.67000000,3225675.91891200,0
2024-12-08,1.04,1.0497,1.01,1.0355,5825628.95,2024-12-08 23:59:59.999,6007553.03443500,65542,2841687.10000000,2932457.63865700,0
2024-12-09,1.0359,1.0365,0.75,0.8567,17585160.56,2024-12-09 23:59:59.999,16129971.40986800,153629,8750482.19000000,8045675.12905200,0
2024-12-10,0.8566,0.8869,0.7579,0.8426,13208891.45,2024-12-10 23:59:59.999,10992605.14794400,91797,6522004.08000000,5437560.40463600,0
2024-12-11,0.8429,0.9444,0.8036,0.9172,11846892.01,2024-12-11 23:59:59.999,10535377.98526500,79528,6056865.00000000,5392218.40485100,0
2024-12-12,0.9174,0.9937,0.9072,0.9355,9940270.05,2024-12-12 23:59:59.999,9440008.56789400,85549,5006856.14000000,4751546.51463900,0
2024-12-13,0.9355,0.99,0.9031,0.9548,11324554.27,2024-12-13 23:59:59.999,10661897.86256200,98300,6102985.31000000,5743831.55038900,0
2024-12-14,0.9547,0.9725,0.8686,0.8968,6301830.2,2024-12-14 23:59:59.999,5749367.98437500,55815,3316424.09000000,3026875.20336000,0
2024-12-15,0.8966,1.0104,0.8701,0.9992,12474582.6,2024-12-15 23:59:59.999,11985550.44797700,103053,6682212.21000000,6431777.03116800,0
2024-12-16,0.9995,1.0389,0.9134,0.9169,9038309.25,2024-12-16 23:59:59.999,8743231.70568100,81270,4477940.33000000,4333315.04220900,0
