Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,4.754,4.982,4.754,4.908,546067.91,2024-09-19 23:59:59.999,2661206.10434000,19237,295324.13000000,1439591.56180000,0
2024-09-20,4.908,5.095,4.848,4.96,869700.21,2024-09-20 23:59:59.999,4314071.70097000,21741,491130.00000000,2436785.20065000,0
2024-09-21,4.963,5.13,4.933,5.123,401448.6,2024-09-21 23:59:59.999,2022112.58299000,12399,258229.03000000,1301089.06449000,0
2024-09-22,5.121,5.137,4.782,4.895,662044.47,2024-09-22 23:59:59.999,3244623.45065000,20642,300354.79000000,1473672.45213000,0
2024-09-23,4.895,5.06,4.785,5.046,726281.21,2024-09-23 23:59:59.999,3605748.60265000,20574,324308.03000000,1612312.71349000,0
2024-09-24,5.048,5.19,4.98,5.162,759767.9,2024-09-24 23:59:59.999,3876758.95157000,23330,422449.71000000,2156363.22910000,0
2024-09-25,5.164,5.266,5.073,5.162,486599.75,2024-09-25 23:59:59.999,2523007.92348000,18047,244578.94000000,1268667.87536000,0
2024-09-26,5.163,5.399,5.074,5.327,747335.72,2024-09-26 23:59:59.999,3957217.91622000,22042,404983.83000000,2145478.63987000,0
2024-09-27,5.327,5.467,5.275,5.417,610102.66,2024-09-27 23:59:59.999,3292340.48667000,19515,283136.22000000,1527849.21401000,0
2024-09-28,5.416,5.523,5.244,5.399,547437.6,2024-09-28 23:59:59.999,2945554.18290000,18109,270403.08000000,1454870.53436000,0
2024-09-29,5.402,5.511,5.264,5.51,437237.6,2024-09-29 23:59:59.999,2359959.94225000,17908,233092.22000000,1258747.52604000,0
2024-09-30,5.511,5.546,4.993,5.05,1303269.02,2024-09-30 23:59:59.999,6841629.76582000,50251,694054.37000000,3648730.02931000,0
2024-10-01,5.049,5.195,4.59,4.695,1245968.09,2024-10-01 23:59:59.999,6157865.53253000,37862,596113.12000000,2945478.06577000,0
2024-10-02,4.692,4.839,4.491,4.573,623992.42,2024-10-02 23:59:59.999,2915244.25882000,20142,308990.95000000,1443025.68757000,0
2024-10-03,4.571,4.665,4.368,4.503,710553.13,2024-10-03 23:59:59.999,3194343.62538000,21602,400858.42000000,1801886.63927000,0
2024-10-04,4.504,4.692,4.479,4.664,712692.45,2024-10-04 23:59:59.999,3279064.29348000,27205,360345.79000000,1659761.51506000,0
2024-10-05,4.666,4.73,4.531,4.605,663225.94,2024-10-05 23:59:59.999,3075482.68610000,20292,336730.13000000,1564878.02966000,0
2024-10-06,4.605,4.713,4.579,4.688,251279.23,2024-10-06 23:59:59.999,1168334.80464000,8479,128737.66000000,598704.42475000,0
2024-10-07,4.688,4.815,4.625,4.637,584003.99,2024-10-07 23:59:59.999,2758911.22182000,21296,311369.55000000,1471503.68370000,0
2024-10-08,4.638,4.693,4.532,4.595,1261220.62,2024-10-08 23:59:59.999,5816067.98962000,36290,595041.42000000,2742892.45259000,0
2024-10-09,4.593,4.635,4.396,4.45,616414.26,2024-10-09 23:59:59.999,2783769.49805000,15727,368332.61000000,1664182.76308000,0
2024-10-10,4.45,4.508,4.326,4.454,409674.39,2024-10-10 23:59:59.999,1813786.18726000,12599,191812.23000000,849586.26052000,0
2024-10-11,4.454,4.693,4.434,4.667,658304.09,2024-10-11 23:59:59.999,3005796.12701000,21049,346980.83000000,1588078.58673000,0
2024-10-12,4.667,4.791,4.637,4.762,473932.91,2024-10-12 23:59:59.999,2240651.12325000,16175,225352.63000000,1064848.67021000,0
2024-10-13,4.762,4.78,4.545,4.675,1513177.23,2024-10-13 23:59:59.999,7087854.74653000,52610,765982.89000000,3593968.19990000,0
2024-10-14,4.674,4.927,4.606,4.898,708125.84,2024-10-14 23:59:59.999,3401331.70680000,19658,344827.96000000,1656932.66211000,0
2024-10-15,4.898,4.951,4.643,4.846,1046811.17,2024-10-15 23:59:59.999,5049278.20243000,28022,505538.77000000,2438247.49823000,0
2024-10-16,4.845,4.875,4.713,4.743,465428.15,2024-10-16 23:59:59.999,2225805.19720000,15975,224031.96000000,1071560.91849000,0
2024-10-17,4.744,4.795,4.53,4.607,500406.16,2024-10-17 23:59:59.999,2322952.06558000,16327,248899.23000000,1155513.46308000,0
2024-10-18,4.606,4.859,4.583,4.859,630776.87,2024-10-18 23:59:59.999,2966085.57445000,18196,311795.25000000,1467182.88839000,0
2024-10-19,4.858,5.451,4.858,5.105,4202107.87,2024-10-19 23:59:59.999,21850695.21335000,118304,2138940.30000000,11122758.76702000,0
2024-10-20,5.104,5.33,5.103,5.194,4285229.22,2024-10-20 23:59:59.999,22294447.98901000,129667,2202161.54000000,11466428.25909000,0
