Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,3.306,3.39,3.122,3.192,911561.18,2024-11-17 23:59:59.999,2982719.80802000,29180,431912.20000000,1414092.61749000,0
2024-11-18,3.191,3.39,3.16,3.355,778951.25,2024-11-18 23:59:59.999,2577770.55448000,30620,328116.72000000,1086597.17928000,0
2024-11-19,3.355,3.38,3.178,3.281,663233.2,2024-11-19 23:59:59.999,2188723.96138000,29021,344674.79000000,1138416.42173000,0
2024-11-20,3.281,3.286,3.06,3.14,613096.04,2024-11-20 23:59:59.999,1949609.34263000,26224,321967.68000000,1025984.93648000,0
2024-11-21,3.126,3.392,3.044,3.371,683107.38,2024-11-21 23:59:59.999,2220584.24043000,21436,337609.11000000,1097092.49836000,0
2024-11-22,3.371,3.45,3.276,3.415,548775.51,2024-11-22 23:59:59.999,1846351.59688000,21113,280634.09000000,943454.03777000,0
2024-11-23,3.416,3.636,3.379,3.55,1119649.42,2024-11-23 23:59:59.999,3924074.62879000,39960,537671.65000000,1884007.82747000,0
2024-11-24,3.546,3.791,3.296,3.685,1672867.19,2024-11-24 23:59:59.999,5970092.85620000,48353,778937.47000000,2779638.24823000,0
2024-11-25,3.688,3.791,3.459,3.536,1281368.14,2024-11-25 23:59:59.999,4690931.50964000,45053,659316.63000000,2414327.58623000,0
2024-11-26,3.529,3.828,3.266,3.414,1559691.68,2024-11-26 23:59:59.999,5534541.14474000,61551,803475.95000000,2855083.37231000,0
2024-11-27,3.413,3.779,3.367,3.752,885629.49,2024-11-27 23:59:59.999,3210175.37696000,35371,420335.79000000,1524411.09301000,0
2024-11-28,3.751,3.789,3.597,3.721,579260.43,2024-11-28 23:59:59.999,2146067.91308000,22300,295897.96000000,1096182.47574000,0
2024-11-29,3.721,3.88,3.665,3.813,530716.88,2024-11-29 23:59:59.999,1999421.73530000,17328,268205.52000000,1011010.64999000,0
2024-11-30,3.814,4.001,3.742,3.981,919751.62,2024-11-30 23:59:59.999,3577010.94230000,26455,466323.65000000,1816356.53243000,0
2024-12-01,3.981,4.119,3.833,3.901,1017543.55,2024-12-01 23:59:59.999,4036092.42692000,28247,523342.55000000,2076602.27579000,0
