Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.2526,0.2642,0.2526,0.2596,12164526.3,2024-09-19 23:59:59.999,3155627.84322000,17271,6207641.80000000,1611543.12502000,0
2024-09-20,0.2597,0.2717,0.256,0.2677,14718564.2,2024-09-20 23:59:59.999,3908134.18757000,19428,7153815.60000000,1899536.98911000,0
2024-09-21,0.2676,0.2804,0.257,0.265,34200704.1,2024-09-21 23:59:59.999,9146867.80664000,48877,16053679.40000000,4293612.73709000,0
2024-09-22,0.265,0.2679,0.2548,0.2624,14995036.4,2024-09-22 23:59:59.999,3915424.73266000,18731,7345479.40000000,1918821.67848000,0
2024-09-23,0.2624,0.2768,0.2577,0.2719,20212272.3,2024-09-23 23:59:59.999,5431496.07920000,25132,10347770.50000000,2782348.98849000,0
2024-09-24,0.272,0.2757,0.2649,0.2735,19169355.1,2024-09-24 23:59:59.999,5199512.82306000,22649,8934778.00000000,2424595.05546000,0
2024-09-25,0.2735,0.2787,0.2661,0.2678,10600104.0,2024-09-25 23:59:59.999,2897429.92891000,14108,4557152.40000000,1246284.89958000,0
2024-09-26,0.2678,0.2827,0.262,0.2794,16576134.1,2024-09-26 23:59:59.999,4562144.77132000,22291,7891801.50000000,2172771.25786000,0
2024-09-27,0.2796,0.2911,0.2763,0.2851,18594241.2,2024-09-27 23:59:59.999,5280899.71271000,22473,8541348.40000000,2428534.08400000,0
2024-09-28,0.2854,0.2983,0.271,0.2758,20734993.3,2024-09-28 23:59:59.999,5884596.40122000,24027,9489181.40000000,2699768.94991000,0
2024-09-29,0.2756,0.2812,0.2652,0.2748,12206218.0,2024-09-29 23:59:59.999,3336085.62157000,18717,5766901.00000000,1576459.00889000,0
2024-09-30,0.2748,0.2777,0.255,0.2583,14905259.7,2024-09-30 23:59:59.999,4012052.60524000,22896,6939581.30000000,1868983.83218000,0
2024-10-01,0.2583,0.2701,0.2244,0.233,27607367.8,2024-10-01 23:59:59.999,6756035.28137000,41373,13397379.50000000,3277998.68978000,0
