Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.36,1.377,1.266,1.288,1539827.6,2024-11-17 23:59:59.999,2047126.37430000,21961,699849.20000000,933384.25830000,0
2024-11-18,1.287,1.398,1.277,1.372,1471793.8,2024-11-18 23:59:59.999,1980636.34770000,23666,683018.10000000,920531.61480000,0
2024-11-19,1.373,1.384,1.279,1.314,1191944.6,2024-11-19 23:59:59.999,1586269.26850000,20660,543058.20000000,722230.88960000,0
2024-11-20,1.315,1.315,1.214,1.233,1059983.0,2024-11-20 23:59:59.999,1344582.22540000,18737,534104.10000000,677051.38390000,0
2024-11-21,1.233,1.346,1.197,1.337,1690845.5,2024-11-21 23:59:59.999,2163542.49780000,29998,809036.00000000,1035941.24600000,0
2024-11-22,1.337,1.384,1.296,1.383,1693836.2,2024-11-22 23:59:59.999,2263356.80570000,28046,857155.70000000,1145700.06550000,0
2024-11-23,1.383,1.473,1.359,1.432,2727971.3,2024-11-23 23:59:59.999,3863856.21470000,42728,1248946.70000000,1769178.93040000,0
2024-11-24,1.433,1.549,1.381,1.547,3202129.0,2024-11-24 23:59:59.999,4741429.32440000,48114,1570281.20000000,2327905.05280000,0
2024-11-25,1.548,1.65,1.467,1.513,4223856.8,2024-11-25 23:59:59.999,6573632.20010000,59073,2185159.20000000,3403766.76140000,0
2024-11-26,1.51,1.619,1.432,1.576,3201134.7,2024-11-26 23:59:59.999,4831170.06380000,42321,1564128.60000000,2362308.11870000,0
2024-11-27,1.575,1.711,1.543,1.659,4058007.3,2024-11-27 23:59:59.999,6612661.62410000,49164,2023148.60000000,3302816.39560000,0
2024-11-28,1.66,1.698,1.601,1.688,1587509.6,2024-11-28 23:59:59.999,2601595.15220000,19687,781676.40000000,1281070.45980000,0
2024-11-29,1.688,1.816,1.672,1.768,3760445.6,2024-11-29 23:59:59.999,6565687.37270000,44168,1778554.90000000,3104755.43770000,0
2024-11-30,1.768,1.915,1.742,1.873,2978821.0,2024-11-30 23:59:59.999,5505008.57260000,40721,1464807.20000000,2706991.55240000,0
2024-12-01,1.874,1.903,1.794,1.879,2037699.1,2024-12-01 23:59:59.999,3790346.09380000,27242,976558.00000000,1818019.52830000,0
2024-12-02,1.88,1.954,1.753,1.924,5018996.9,2024-12-02 23:59:59.999,9330593.37980000,74359,2369226.20000000,4408534.53930000,0
2024-12-03,1.924,2.156,1.869,2.136,5444253.3,2024-12-03 23:59:59.999,10864684.95280000,82451,2817036.30000000,5619490.25510000,0
2024-12-04,2.136,2.281,2.097,2.179,4099728.0,2024-12-04 23:59:59.999,8985653.73290000,58509,2018382.20000000,4428421.72530000,0
2024-12-05,2.18,2.329,2.0,2.187,4123757.5,2024-12-05 23:59:59.999,9096533.18660000,75794,1982157.00000000,4374465.89220000,0
2024-12-06,2.185,2.254,2.058,2.211,2634892.7,2024-12-06 23:59:59.999,5742382.48520000,41242,1281601.80000000,2796282.36010000,0
2024-12-07,2.21,2.27,2.151,2.194,2043665.7,2024-12-07 23:59:59.999,4517281.34500000,34805,971213.40000000,2147038.10280000,0
2024-12-08,2.191,2.293,2.113,2.284,1511338.1,2024-12-08 23:59:59.999,3323559.50350000,30771,738123.90000000,1624524.20390000,0
2024-12-09,2.285,2.301,1.486,1.756,4893673.5,2024-12-09 23:59:59.999,9566722.31560000,101754,2456262.60000000,4803975.53910000,0
2024-12-10,1.757,1.826,1.523,1.67,4496731.4,2024-12-10 23:59:59.999,7591626.94270000,70026,2138131.50000000,3618438.73510000,0
2024-12-11,1.67,1.845,1.609,1.822,1919949.8,2024-12-11 23:59:59.999,3321081.00710000,31978,956717.00000000,1661106.69190000,0
2024-12-12,1.822,2.231,1.806,2.072,7355755.7,2024-12-12 23:59:59.999,15459331.24150000,113051,3463966.10000000,7280089.53460000,0
2024-12-13,2.071,2.091,1.948,1.999,2077788.6,2024-12-13 23:59:59.999,4175553.64270000,36420,945717.40000000,1901125.48390000,0
2024-12-14,1.998,2.048,1.807,1.858,1284496.4,2024-12-14 23:59:59.999,2467352.10120000,25017,640234.60000000,1232173.50410000,0
2024-12-15,1.857,1.928,1.799,1.907,922017.6,2024-12-15 23:59:59.999,1724559.59500000,21866,414267.10000000,774679.68780000,0
2024-12-16,1.907,1.99,1.81,1.881,3108284.2,2024-12-16 23:59:59.999,5948898.25950000,48474,1487630.50000000,2856613.12520000,0
2024-12-17,1.88,1.899,1.743,1.771,2626551.4,2024-12-17 23:59:59.999,4814512.86340000,36796,1300259.10000000,2387765.43370000,0
2024-12-18,1.772,1.776,1.55,1.589,1832434.2,2024-12-18 23:59:59.999,3068477.88870000,33945,902523.30000000,1510748.54530000,0
2024-12-19,1.588,1.605,1.372,1.422,3282367.3,2024-12-19 23:59:59.999,4863321.50090000,59427,1668426.30000000,2473866.57110000,0
2024-12-20,1.423,1.498,1.238,1.485,2555370.7,2024-12-20 23:59:59.999,3473908.00650000,39901,1314356.90000000,1786102.89550000,0
2024-12-21,1.48,1.572,1.364,1.389,1124151.4,2024-12-21 23:59:59.999,1636894.72600000,20869,562954.60000000,821382.63910000,0
2024-12-22,1.392,1.442,1.346,1.395,873193.9,2024-12-22 23:59:59.999,1217072.05880000,16256,436436.90000000,608462.49260000,0
2024-12-23,1.394,1.539,1.356,1.51,1044925.7,2024-12-23 23:59:59.999,1500929.04780000,18145,505132.30000000,726382.82510000,0
2024-12-24,1.508,1.58,1.47,1.559,775359.8,2024-12-24 23:59:59.999,1189697.34360000,13931,391549.10000000,600743.48620000,0
2024-12-25,1.56,1.588,1.518,1.544,440285.6,2024-12-25 23:59:59.999,684461.87730000,8238,228179.50000000,355067.18970000,0
2024-12-26,1.544,1.56,1.399,1.422,545194.2,2024-12-26 23:59:59.999,797549.97930000,9778,246846.20000000,360279.61180000,0
2024-12-27,1.426,1.511,1.411,1.437,757298.4,2024-12-27 23:59:59.999,1100568.82640000,12842,372819.60000000,541432.34990000,0
2024-12-28,1.436,1.533,1.428,1.513,747584.6,2024-12-28 23:59:59.999,1104000.72960000,12351,355721.00000000,525220.25720000,0
2024-12-29,1.515,1.521,1.432,1.448,499060.7,2024-12-29 23:59:59.999,738881.01270000,7165,220627.50000000,327018.40080000,0
2024-12-30,1.445,1.51,1.382,1.455,731839.7,2024-12-30 23:59:59.999,1062598.55400000,10789,343709.90000000,497778.30630000,0
