Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,1.723,1.788,1.703,1.708,532445.9,2024-09-19 23:59:59.999,925800.42156000,16389,249530.51000000,433980.48421000,0
2024-09-20,1.709,1.77,1.683,1.745,357357.62,2024-09-20 23:59:59.999,620071.19860000,12410,182109.41000000,316242.16103000,0
2024-09-21,1.745,1.761,1.72,1.755,160508.01,2024-09-21 23:59:59.999,280281.11087000,8054,85083.60000000,148562.08688000,0
2024-09-22,1.755,1.763,1.705,1.734,162632.61,2024-09-22 23:59:59.999,281218.90376000,8362,85894.35000000,148616.62985000,0
2024-09-23,1.734,1.771,1.711,1.749,207218.33,2024-09-23 23:59:59.999,361225.22438000,8441,111649.77000000,194746.53321000,0
2024-09-24,1.749,1.776,1.732,1.774,162285.77,2024-09-24 23:59:59.999,285081.72968000,7575,77666.95000000,136469.70962000,0
2024-09-25,1.774,1.804,1.746,1.756,235640.71,2024-09-25 23:59:59.999,417763.22059000,8263,115941.65000000,205746.32054000,0
2024-09-26,1.756,1.779,1.722,1.767,259431.91,2024-09-26 23:59:59.999,455921.95432000,11331,124413.94000000,218791.61040000,0
2024-09-27,1.764,1.803,1.762,1.778,302463.83,2024-09-27 23:59:59.999,539257.51486000,12001,146585.02000000,261423.82994000,0
2024-09-28,1.777,1.798,1.732,1.744,272244.24,2024-09-28 23:59:59.999,479120.20422000,10433,122696.71000000,216173.32278000,0
2024-09-29,1.744,1.803,1.726,1.757,491379.14,2024-09-29 23:59:59.999,867286.14326000,14572,192786.63000000,340606.06513000,0
2024-09-30,1.756,1.804,1.698,1.741,568972.01,2024-09-30 23:59:59.999,997135.29332000,16363,286045.04000000,501465.06996000,0
2024-10-01,1.742,1.781,1.639,1.652,368078.18,2024-10-01 23:59:59.999,630826.29277000,11244,177716.14000000,304309.19668000,0
2024-10-02,1.652,1.697,1.612,1.634,208910.7,2024-10-02 23:59:59.999,345325.70263000,7692,107655.36000000,177923.74135000,0
2024-10-03,1.635,1.698,1.552,1.581,536340.61,2024-10-03 23:59:59.999,872138.59553000,12783,267138.22000000,433854.23525000,0
2024-10-04,1.581,1.64,1.577,1.63,171194.4,2024-10-04 23:59:59.999,276801.81845000,8195,91315.96000000,147670.93184000,0
2024-10-05,1.629,1.74,1.608,1.671,955679.1,2024-10-05 23:59:59.999,1597052.16308000,18321,519257.17000000,868327.10849000,0
2024-10-06,1.673,1.768,1.633,1.675,1222880.57,2024-10-06 23:59:59.999,2076998.98217000,24048,588753.84000000,1001140.68571000,0
2024-10-07,1.676,1.975,1.676,1.85,2070072.25,2024-10-07 23:59:59.999,3713866.41477000,29002,1063046.19000000,1912076.03459000,0
2024-10-08,1.85,1.94,1.664,1.751,3638891.73,2024-10-08 23:59:59.999,6546835.17492000,58421,1747613.11000000,3143909.36451000,0
2024-10-09,1.751,1.844,1.671,1.76,1507567.62,2024-10-09 23:59:59.999,2660281.11550000,27036,724823.31000000,1280062.03627000,0
2024-10-10,1.76,2.17,1.722,1.925,5902448.61,2024-10-10 23:59:59.999,11619195.21220000,95371,2973725.79000000,5861538.86074000,0
2024-10-11,1.925,2.06,1.805,1.859,1605204.18,2024-10-11 23:59:59.999,3020831.74684000,32773,776637.20000000,1463022.38210000,0
2024-10-12,1.859,1.879,1.803,1.805,492996.64,2024-10-12 23:59:59.999,905750.46586000,10652,239531.68000000,440681.37044000,0
2024-10-13,1.805,1.992,1.776,1.849,1718646.93,2024-10-13 23:59:59.999,3255946.09845000,26289,848056.54000000,1607880.65657000,0
