Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,327.0,349.8,326.3,340.0,109539.269,2024-09-19 23:59:59.999,37457914.23100000,164459,52924.26700000,18085644.12040000,0
2024-09-20,340.0,345.5,332.4,335.8,50785.321,2024-09-20 23:59:59.999,17203711.98350000,78664,27606.96800000,9351392.62060000,0
2024-09-21,335.8,346.8,331.0,345.5,26013.128,2024-09-21 23:59:59.999,8838987.37700000,38142,13236.96600000,4500735.42840000,0
2024-09-22,345.5,347.3,333.9,342.6,23322.229,2024-09-22 23:59:59.999,7952501.21130000,44433,11848.38000000,4041684.63200000,0
2024-09-23,342.7,349.3,335.9,342.0,35302.721,2024-09-23 23:59:59.999,12068783.98130000,60704,18155.59800000,6210965.27550000,0
2024-09-24,341.9,351.8,336.9,348.0,50996.116,2024-09-24 23:59:59.999,17574840.81470000,80414,26906.03700000,9267824.34030000,0
2024-09-25,348.1,355.7,341.3,343.5,44952.297,2024-09-25 23:59:59.999,15692747.90810000,88436,23501.55200000,8206914.65500000,0
2024-09-26,343.6,358.3,338.9,351.8,47980.221,2024-09-26 23:59:59.999,16810255.68930000,68769,22633.17700000,7928081.55140000,0
2024-09-27,351.8,364.6,351.7,358.8,56981.37,2024-09-27 23:59:59.999,20493751.74190000,64791,28442.39600000,10231880.11160000,0
2024-09-28,358.8,361.1,345.8,352.3,40850.287,2024-09-28 23:59:59.999,14423657.66580000,47839,21579.71100000,7618688.41200000,0
2024-09-29,352.4,358.2,345.6,352.6,35946.43,2024-09-29 23:59:59.999,12621379.98200000,52836,15377.62600000,5406260.72130000,0
2024-09-30,352.6,353.8,334.5,337.2,41371.641,2024-09-30 23:59:59.999,14230939.08000000,61839,19151.12000000,6587068.03590000,0
2024-10-01,337.3,347.6,310.8,317.8,67265.845,2024-10-01 23:59:59.999,22112775.18130000,140458,32539.53200000,10712148.81770000,0
2024-10-02,317.8,324.5,309.1,316.1,41890.943,2024-10-02 23:59:59.999,13309681.71110000,89989,21997.64900000,6995460.65900000,0
2024-10-03,316.1,323.9,307.8,320.3,45637.24,2024-10-03 23:59:59.999,14411519.81770000,84783,21106.73600000,6672087.18120000,0
2024-10-04,320.4,326.1,318.1,324.8,34666.103,2024-10-04 23:59:59.999,11170533.56820000,58671,16984.49500000,5474671.84900000,0
2024-10-05,324.9,325.6,318.2,321.8,17626.623,2024-10-05 23:59:59.999,5679184.60620000,29585,6570.24600000,2118787.26780000,0
2024-10-06,321.9,325.9,320.9,324.6,13598.935,2024-10-06 23:59:59.999,4400571.28240000,24085,6552.06500000,2121735.36200000,0
2024-10-07,324.6,333.3,320.1,323.7,61609.359,2024-10-07 23:59:59.999,20202153.73070000,81352,28112.36900000,9224373.41120000,0
2024-10-08,323.7,333.8,321.7,329.1,38980.417,2024-10-08 23:59:59.999,12802763.94660000,57913,18274.45300000,6004274.45770000,0
2024-10-09,329.2,330.6,317.9,320.6,26568.695,2024-10-09 23:59:59.999,8638696.13540000,43206,13501.83100000,4393274.22300000,0
2024-10-10,320.6,325.8,317.2,323.0,28703.27,2024-10-10 23:59:59.999,9233169.49790000,45317,13034.73200000,4193340.72650000,0
2024-10-11,323.0,329.1,321.9,327.0,21959.354,2024-10-11 23:59:59.999,7142348.78750000,33979,12002.32200000,3904946.14750000,0
2024-10-12,327.0,333.5,324.8,329.2,18798.086,2024-10-12 23:59:59.999,6189438.16590000,34021,9752.56500000,3212002.67360000,0
2024-10-13,329.2,329.9,317.3,321.3,20785.631,2024-10-13 23:59:59.999,6718798.76990000,35699,9131.43100000,2952972.24950000,0
2024-10-14,321.4,370.7,318.9,369.6,117572.278,2024-10-14 23:59:59.999,40950908.74590000,158903,61921.47600000,21604415.17200000,0
2024-10-15,369.6,386.8,344.6,354.7,153079.095,2024-10-15 23:59:59.999,55975334.14600000,273553,77959.95800000,28477984.89310000,0
2024-10-16,354.7,371.5,351.3,365.6,108696.072,2024-10-16 23:59:59.999,39497570.97030000,140051,58250.89800000,21173434.99300000,0
2024-10-17,365.5,375.8,360.4,369.7,74433.261,2024-10-17 23:59:59.999,27298115.69550000,86142,40574.27100000,14888390.20910000,0
2024-10-18,369.9,377.5,362.8,367.3,62474.544,2024-10-18 23:59:59.999,23104490.30860000,76787,31790.34200000,11754912.57320000,0
2024-10-19,367.2,369.0,361.4,363.3,25484.622,2024-10-19 23:59:59.999,9295817.85020000,40131,12339.13600000,4503684.59920000,0
2024-10-20,363.3,371.6,357.3,369.9,45282.15,2024-10-20 23:59:59.999,16483984.74520000,61546,21563.45700000,7854724.71590000,0
2024-10-21,369.8,379.0,358.9,363.6,55252.243,2024-10-21 23:59:59.999,20436282.82470000,73298,26391.03400000,9773829.96990000,0
2024-10-22,363.7,366.6,354.1,357.3,33845.393,2024-10-22 23:59:59.999,12167739.46910000,53894,14879.22700000,5350972.93780000,0
2024-10-23,357.4,357.7,338.6,348.1,37884.76,2024-10-23 23:59:59.999,13206608.16010000,53174,16348.30200000,5696831.67080000,0
2024-10-24,348.1,371.5,346.6,367.9,86440.166,2024-10-24 23:59:59.999,31338597.52500000,116391,44805.70600000,16230424.61460000,0
2024-10-25,368.0,374.3,339.2,349.1,84956.023,2024-10-25 23:59:59.999,30877642.58510000,132165,42186.34000000,15349441.73070000,0
2024-10-26,349.0,357.2,346.0,348.0,23066.772,2024-10-26 23:59:59.999,8106660.98100000,41160,12229.76400000,4299038.25170000,0
2024-10-27,348.1,354.7,347.0,352.2,19246.264,2024-10-27 23:59:59.999,6747355.86920000,38827,8897.96700000,3120248.07470000,0
2024-10-28,352.2,368.4,344.0,365.3,48891.891,2024-10-28 23:59:59.999,17519661.37220000,93124,25174.79500000,9022013.02730000,0
2024-10-29,365.4,389.4,363.7,386.1,99948.875,2024-10-29 23:59:59.999,37950188.09210000,146609,51261.16500000,19477766.41960000,0
2024-10-30,386.1,387.8,365.7,368.9,93514.486,2024-10-30 23:59:59.999,35185133.08260000,135204,47725.72000000,17966942.72070000,0
2024-10-31,368.9,378.3,349.8,358.9,117379.024,2024-10-31 23:59:59.999,43116864.25980000,150169,56871.30300000,20916426.56360000,0
2024-11-01,358.8,360.2,343.5,349.6,49669.874,2024-11-01 23:59:59.999,17452766.86460000,75770,25673.54900000,9023259.19260000,0
2024-11-02,349.5,357.6,341.3,353.7,41864.411,2024-11-02 23:59:59.999,14650911.91880000,54255,19972.87600000,6986208.69540000,0
2024-11-03,353.7,354.3,333.8,340.1,58550.997,2024-11-03 23:59:59.999,20063610.57510000,77044,27113.48300000,9287901.99050000,0
2024-11-04,340.0,342.7,322.0,329.2,64677.331,2024-11-04 23:59:59.999,21576807.39840000,76679,28622.13100000,9553815.83660000,0
2024-11-05,329.2,345.4,326.5,342.9,48597.015,2024-11-05 23:59:59.999,16469195.49380000,71563,23809.63200000,8067478.98650000,0
2024-11-06,343.0,384.4,342.6,378.4,157446.699,2024-11-06 23:59:59.999,58148114.49110000,190722,82324.26900000,30395288.73020000,0
2024-11-07,378.4,386.9,370.5,377.5,69185.692,2024-11-07 23:59:59.999,26281918.78300000,104681,35111.41800000,13341610.27130000,0
2024-11-08,377.5,383.8,364.3,377.0,79484.476,2024-11-08 23:59:59.999,29707943.30290000,162324,42559.81600000,15911698.35380000,0
2024-11-09,377.0,407.3,369.5,405.0,107552.684,2024-11-09 23:59:59.999,41263762.37290000,212222,57474.15400000,22063028.21780000,0
2024-11-10,404.9,454.4,394.8,441.3,266010.597,2024-11-10 23:59:59.999,114965275.40600000,677637,132891.32400000,57459232.12450000,0
2024-11-11,441.3,482.6,422.3,472.6,206008.655,2024-11-11 23:59:59.999,91838177.70430000,512633,102372.63400000,45691503.29210000,0
2024-11-12,472.7,474.4,418.1,432.3,236775.383,2024-11-12 23:59:59.999,104803695.02250000,616442,113894.20100000,50342737.48470000,0
2024-11-13,432.3,450.7,403.2,439.4,216594.094,2024-11-13 23:59:59.999,93112808.07040000,478598,107889.40200000,46415889.67550000,0
2024-11-14,439.6,445.9,410.0,415.0,135347.986,2024-11-14 23:59:59.999,58324890.66530000,212692,67864.42400000,29298189.71900000,0
2024-11-15,415.0,436.7,410.0,431.6,90753.293,2024-11-15 23:59:59.999,38511031.98960000,121797,42353.69300000,18004880.99450000,0
2024-11-16,431.5,483.5,428.4,461.7,169316.704,2024-11-16 23:59:59.999,77332900.44950000,226974,84953.12900000,38754441.23290000,0
2024-11-17,461.8,488.7,424.5,433.1,173129.957,2024-11-17 23:59:59.999,78010803.44350000,221464,84217.98200000,38014906.58680000,0
2024-11-18,433.1,471.5,430.2,452.5,115691.606,2024-11-18 23:59:59.999,51764126.29490000,170974,57575.80200000,25767692.66220000,0
2024-11-19,452.5,460.3,438.1,446.8,93371.82,2024-11-19 23:59:59.999,42059160.87240000,125433,47655.95800000,21473860.96320000,0
2024-11-20,446.7,454.6,428.7,439.9,71308.954,2024-11-20 23:59:59.999,31465258.26800000,101281,34034.97300000,15038554.12690000,0
2024-11-21,440.1,536.2,428.6,484.4,465856.503,2024-11-21 23:59:59.999,232799138.59250000,606130,234995.16900000,117335401.39300000,0
