Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-02-06,1.0,15.5,1.0,8.717,89366500.447,2025-02-06 23:59:59.999,886182293.58922400,2770259,44682248.23300000,442643893.96823200,0
2025-02-07,8.717,9.234,7.21,7.7,28645938.1,2025-02-07 23:59:59.999,226653268.66596100,968846,14534114.85300000,115041812.24965900,0
2025-02-08,7.7,7.79,5.751,6.053,18738429.757,2025-02-08 23:59:59.999,120886029.43287600,697790,9238911.70400000,59490136.74904200,0
2025-02-09,6.053,6.514,4.906,5.187,15016007.937,2025-02-09 23:59:59.999,85627377.69037100,514639,7254515.93800000,41503926.87838700,0
2025-02-10,5.186,5.693,4.743,5.282,12887411.71,2025-02-10 23:59:59.999,67337345.60521100,460280,6164667.08300000,32245691.92410500,0
2025-02-11,5.28,6.357,5.235,5.81,11022514.607,2025-02-11 23:59:59.999,62772978.21620100,302649,5463323.31100000,31131175.05653100,0
2025-02-12,5.808,6.116,5.395,5.885,9140586.828,2025-02-12 23:59:59.999,52150686.37448700,259787,4385427.52600000,25041830.33252900,0
2025-02-13,5.887,6.306,5.55,5.598,6448828.171,2025-02-13 23:59:59.999,38106787.35477000,208088,3009709.38700000,17793478.74459100,0
2025-02-14,5.599,6.013,5.417,5.904,4856771.776,2025-02-14 23:59:59.999,27879094.35583800,151963,2231708.75400000,12788495.19592700,0
2025-02-15,5.907,6.188,5.615,5.657,4173286.659,2025-02-15 23:59:59.999,24604803.02788600,131578,2007000.06300000,11831405.23357400,0
2025-02-16,5.653,5.756,5.492,5.611,2386790.452,2025-02-16 23:59:59.999,13370853.20446200,74902,1095453.35600000,6136843.23390500,0
2025-02-17,5.612,6.777,5.56,6.141,8249428.925,2025-02-17 23:59:59.999,50049868.73874000,276490,4164870.02800000,25277838.99016000,0
2025-02-18,6.141,6.295,5.657,6.247,6526134.51,2025-02-18 23:59:59.999,38681172.20057400,173457,3105170.56300000,18388627.44045000,0
2025-02-19,6.247,6.897,6.207,6.61,8346676.462,2025-02-19 23:59:59.999,54608902.26752600,247221,4257714.59900000,27862352.28631200,0
