Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.2206,0.2361,0.2206,0.233,7984734.58,2024-09-19 23:59:59.999,1828738.54249200,14988,3735897.14000000,855916.81403900,0
2024-09-20,0.2335,0.2412,0.23,0.2363,4828218.63,2024-09-20 23:59:59.999,1139071.42768400,10737,2335054.98000000,551040.06325200,0
2024-09-21,0.2361,0.2413,0.231,0.2407,3245377.69,2024-09-21 23:59:59.999,768420.71866000,7728,1679632.11000000,398274.91654800,0
2024-09-22,0.2406,0.2407,0.2255,0.2326,5073809.06,2024-09-22 23:59:59.999,1172704.99538600,12195,2456895.60000000,567651.69293200,0
2024-09-23,0.2327,0.2428,0.2279,0.2345,7063634.3,2024-09-23 23:59:59.999,1665181.85147500,14088,3221411.73000000,759027.46968000,0
2024-09-24,0.2342,0.2417,0.2278,0.2403,7977887.16,2024-09-24 23:59:59.999,1869964.34155900,16966,3916262.89000000,918774.92370100,0
2024-09-25,0.2403,0.2467,0.235,0.2364,6176333.3,2024-09-25 23:59:59.999,1492324.65480900,12905,3097635.61000000,748629.63647200,0
2024-09-26,0.2366,0.2543,0.2321,0.2499,7545417.91,2024-09-26 23:59:59.999,1860546.76932900,17627,3866510.73000000,954561.17776900,0
2024-09-27,0.2496,0.2629,0.2488,0.2606,5877936.26,2024-09-27 23:59:59.999,1512629.29981900,13547,2709822.85000000,696660.20767700,0
2024-09-28,0.2605,0.2673,0.246,0.252,4440938.55,2024-09-28 23:59:59.999,1132678.16524100,9716,2092707.51000000,533811.22583400,0
2024-09-29,0.2521,0.2624,0.2403,0.2552,5120531.05,2024-09-29 23:59:59.999,1280455.76831600,13296,2390174.37000000,598531.60693400,0
2024-09-30,0.2555,0.2593,0.2345,0.2364,5007217.72,2024-09-30 23:59:59.999,1240280.00113000,13221,2259789.96000000,560238.85846000,0
2024-10-01,0.2368,0.2488,0.2086,0.2155,10021477.24,2024-10-01 23:59:59.999,2258673.40908400,24264,4877506.49000000,1095433.56969300,0
2024-10-02,0.2154,0.2286,0.2016,0.2071,8321834.03,2024-10-02 23:59:59.999,1810363.91709500,22518,3771722.71000000,820915.39539900,0
2024-10-03,0.2067,0.2126,0.1942,0.1989,7933438.15,2024-10-03 23:59:59.999,1602610.88149900,20242,4100286.41000000,827243.63161900,0
2024-10-04,0.1994,0.213,0.1979,0.2097,3945100.22,2024-10-04 23:59:59.999,813984.10776200,9848,2192871.85000000,452788.40503100,0
2024-10-05,0.2097,0.2148,0.2003,0.2042,3854132.05,2024-10-05 23:59:59.999,800033.17947500,10284,1743344.49000000,362859.23736900,0
2024-10-06,0.2042,0.2137,0.2024,0.2132,4093672.65,2024-10-06 23:59:59.999,853549.82524600,10374,1964591.45000000,410118.57518400,0
2024-10-07,0.2132,0.2306,0.2,0.2189,9254894.16,2024-10-07 23:59:59.999,2049747.65473600,22581,4697234.71000000,1041642.33161700,0
2024-10-08,0.2189,0.2225,0.2045,0.2081,6272286.73,2024-10-08 23:59:59.999,1333372.10897400,15378,2913863.05000000,619922.16931700,0
2024-10-09,0.2081,0.2128,0.194,0.1974,5985777.27,2024-10-09 23:59:59.999,1215890.00961800,19245,2840636.62000000,576517.73831100,0
2024-10-10,0.1972,0.2006,0.186,0.1951,7963860.53,2024-10-10 23:59:59.999,1543742.24089900,24571,4406257.23000000,854406.76171100,0
2024-10-11,0.1952,0.2025,0.1935,0.2002,6167232.77,2024-10-11 23:59:59.999,1223798.27747200,19148,3762077.04000000,746863.87616700,0
2024-10-12,0.2002,0.2137,0.2,0.2095,7020334.23,2024-10-12 23:59:59.999,1468314.97340300,15623,3345839.76000000,699263.34803100,0
2024-10-13,0.2093,0.2128,0.2002,0.2092,4421957.53,2024-10-13 23:59:59.999,915728.46568600,9513,2326813.94000000,482872.60170000,0
2024-10-14,0.2093,0.2254,0.2053,0.2233,8295806.81,2024-10-14 23:59:59.999,1801440.29183000,19135,4019865.63000000,873101.55912200,0
2024-10-15,0.2237,0.2266,0.2108,0.2185,10731319.96,2024-10-15 23:59:59.999,2351279.89892300,20071,4331272.51000000,950888.77152500,0
2024-10-16,0.2185,0.2205,0.2071,0.2075,5699760.89,2024-10-16 23:59:59.999,1212803.39407900,10959,2841104.69000000,604800.68436600,0
2024-10-17,0.2075,0.2104,0.1976,0.1997,5283652.9,2024-10-17 23:59:59.999,1070264.00488200,10851,3017545.37000000,611203.51151700,0
2024-10-18,0.1997,0.2067,0.192,0.2023,16612912.36,2024-10-18 23:59:59.999,3303028.82636400,30577,9716543.71000000,1930965.39722100,0
2024-10-19,0.2022,0.2065,0.1946,0.2021,9476049.6,2024-10-19 23:59:59.999,1902751.23390000,21239,5056491.52000000,1014698.77848800,0
2024-10-20,0.2022,0.225,0.1988,0.2207,25037891.64,2024-10-20 23:59:59.999,5352937.62612200,48653,13491820.30000000,2878362.20536000,0
2024-10-21,0.2208,0.225,0.2039,0.2054,16448488.77,2024-10-21 23:59:59.999,3521923.67958500,34990,8297643.10000000,1780931.46129900,0
2024-10-22,0.2054,0.2091,0.2001,0.2058,10178136.55,2024-10-22 23:59:59.999,2076710.86316400,18410,4849038.44000000,990524.05972300,0
2024-10-23,0.2059,0.2067,0.1875,0.1958,10232573.45,2024-10-23 23:59:59.999,2010625.52155000,17474,4591991.56000000,903191.17321300,0
2024-10-24,0.1959,0.2033,0.1934,0.1995,7540314.58,2024-10-24 23:59:59.999,1500257.58868600,12019,3989048.78000000,794208.35171500,0
2024-10-25,0.1998,0.2004,0.1652,0.1755,14714174.61,2024-10-25 23:59:59.999,2735510.23291700,22114,7342253.01000000,1359587.31647100,0
2024-10-26,0.1753,0.1833,0.1684,0.1813,19726384.42,2024-10-26 23:59:59.999,3461579.61831200,29278,10360458.51000000,1817938.66915600,0
2024-10-27,0.1813,0.1851,0.1786,0.1822,5016134.05,2024-10-27 23:59:59.999,911828.74378200,7446,2198083.38000000,399661.55809600,0
2024-10-28,0.182,0.1861,0.1735,0.1832,8286781.63,2024-10-28 23:59:59.999,1488862.14564900,12837,3870984.63000000,696463.24128100,0
2024-10-29,0.1833,0.1957,0.1827,0.1901,15153607.64,2024-10-29 23:59:59.999,2863314.51649300,23072,7179310.09000000,1359860.82976100,0
2024-10-30,0.1902,0.23,0.1877,0.2265,59166877.62,2024-10-30 23:59:59.999,12543678.68666400,73239,29805374.09000000,6320272.73684100,0
2024-10-31,0.2264,0.2356,0.2107,0.2205,85366711.35,2024-10-31 23:59:59.999,18919774.96822700,115374,39902883.98000000,8858026.66426100,0
2024-11-01,0.2203,0.253,0.2103,0.2443,75378584.9,2024-11-01 23:59:59.999,17579860.34810000,110037,38705572.57000000,9046194.36530100,0
2024-11-02,0.2443,0.2461,0.2082,0.223,35777687.56,2024-11-02 23:59:59.999,8141863.36595700,54137,15833067.59000000,3611728.36984900,0
2024-11-03,0.2231,0.2334,0.2003,0.224,28771736.83,2024-11-03 23:59:59.999,6284304.75699300,52334,13200184.99000000,2882632.94828600,0
2024-11-04,0.2241,0.248,0.2107,0.2136,51392571.79,2024-11-04 23:59:59.999,11905615.82802200,92758,25397369.17000000,5896558.12962400,0
2024-11-05,0.2135,0.226,0.2095,0.2124,35691044.19,2024-11-05 23:59:59.999,7729009.11387300,50431,18170013.31000000,3939404.68770100,0
2024-11-06,0.2122,0.2749,0.212,0.255,61311430.0,2024-11-06 23:59:59.999,15362213.22361600,109051,30354812.19000000,7601456.50403500,0
2024-11-07,0.2551,0.259,0.2414,0.2527,25667689.8,2024-11-07 23:59:59.999,6391994.00078500,38558,12846454.90000000,3201611.56973700,0
2024-11-08,0.2527,0.261,0.2403,0.2521,28787551.92,2024-11-08 23:59:59.999,7250747.88130900,41447,14161822.90000000,3573585.44363300,0
2024-11-09,0.252,0.2653,0.2448,0.2591,23173032.2,2024-11-09 23:59:59.999,5886933.54153400,32611,10996252.33000000,2798096.38454000,0
2024-11-10,0.2586,0.2877,0.2527,0.2681,41501476.66,2024-11-10 23:59:59.999,11216605.65253400,67385,21857556.67000000,5909416.61614700,0
2024-11-11,0.2682,0.2816,0.2554,0.2747,22977874.28,2024-11-11 23:59:59.999,6133042.49224200,40923,11666848.60000000,3112960.62045400,0
2024-11-12,0.2749,0.2843,0.243,0.2607,26532735.91,2024-11-12 23:59:59.999,6965678.65029900,56009,12407146.21000000,3259815.62488700,0
2024-11-13,0.2613,0.2637,0.2353,0.2533,24493984.02,2024-11-13 23:59:59.999,6101436.46344800,55308,11707204.67000000,2918980.96216200,0
2024-11-14,0.2534,0.2948,0.2488,0.2804,55959751.06,2024-11-14 23:59:59.999,15421745.38121700,117218,29143383.19000000,8052224.20272600,0
2024-11-15,0.2802,0.2844,0.2593,0.2749,27869309.11,2024-11-15 23:59:59.999,7598688.92031000,53785,13013404.09000000,3550047.49804000,0
2024-11-16,0.2749,0.3,0.2726,0.2932,21445393.65,2024-11-16 23:59:59.999,6111888.47667900,42935,10850876.55000000,3097646.54807600,0
2024-11-17,0.2931,0.297,0.2677,0.2746,20989336.73,2024-11-17 23:59:59.999,5960133.30839700,42696,10145857.70000000,2882401.67023600,0
2024-11-18,0.2746,0.312,0.2711,0.2979,24381186.51,2024-11-18 23:59:59.999,7082488.17311400,49590,12512999.42000000,3634942.68107900,0
2024-11-19,0.2976,0.2976,0.2724,0.2831,11809979.26,2024-11-19 23:59:59.999,3359354.27620000,27280,5486295.47000000,1560700.66010500,0
2024-11-20,0.2829,0.2846,0.2609,0.2647,12008326.55,2024-11-20 23:59:59.999,3295239.38939600,27254,5647869.47000000,1551106.05077300,0
2024-11-21,0.2648,0.2973,0.2543,0.2854,16033617.69,2024-11-21 23:59:59.999,4486929.19958400,36333,7775063.87000000,2174037.41002200,0
2024-11-22,0.2855,0.2899,0.2681,0.2892,15056014.39,2024-11-22 23:59:59.999,4203875.70162500,34270,7200513.16000000,2010953.84285800,0
2024-11-23,0.289,0.3142,0.2867,0.3115,26927428.52,2024-11-23 23:59:59.999,8093367.10491900,60390,13157449.79000000,3962465.28654900,0
2024-11-24,0.3115,0.346,0.296,0.3398,28140788.69,2024-11-24 23:59:59.999,9067158.70785000,65631,14198250.15000000,4575699.52796300,0
2024-11-25,0.3397,0.3899,0.3236,0.346,82603013.97,2024-11-25 23:59:59.999,29821371.84075600,182923,41517865.46000000,14994852.47087600,0
2024-11-26,0.3458,0.3519,0.3204,0.3455,21730042.01,2024-11-26 23:59:59.999,7355681.34985700,53084,11008593.22000000,3727836.21536700,0
2024-11-27,0.3447,0.3899,0.3354,0.373,33808719.02,2024-11-27 23:59:59.999,12205697.33149200,76929,17570960.35000000,6347032.29495900,0
2024-11-28,0.3734,0.4396,0.3643,0.431,44608864.05,2024-11-28 23:59:59.999,17575257.47059600,108919,23472662.83000000,9242740.25568600,0
2024-11-29,0.4309,0.4358,0.3854,0.3939,29681173.83,2024-11-29 23:59:59.999,12175911.12941700,66683,13086663.09000000,5369077.40707900,0
2024-11-30,0.3938,0.4105,0.3867,0.3982,20213906.97,2024-11-30 23:59:59.999,8094870.90666400,42119,10043188.88000000,4025065.52488200,0
2024-12-01,0.3984,0.4181,0.3866,0.3957,21953791.28,2024-12-01 23:59:59.999,8817711.02691700,58702,11323932.68000000,4555459.52245200,0
2024-12-02,0.3955,0.4037,0.3653,0.3929,22713968.92,2024-12-02 23:59:59.999,8732048.18433000,47467,10771017.64000000,4138913.04350600,0
2024-12-03,0.3928,0.457,0.3734,0.4501,49750612.36,2024-12-03 23:59:59.999,20850109.18246700,120615,23266743.12000000,9774033.76400600,0
2024-12-04,0.4502,0.4676,0.4209,0.462,29862093.68,2024-12-04 23:59:59.999,13301803.32177100,81968,15409919.80000000,6878086.38254800,0
2024-12-05,0.462,0.4647,0.407,0.4259,26071723.21,2024-12-05 23:59:59.999,11471387.80101700,76790,12217746.37000000,5379798.67077300,0
2024-12-06,0.426,0.4565,0.4218,0.4408,15192740.89,2024-12-06 23:59:59.999,6752690.43162600,42116,7630502.81000000,3388615.87984400,0
2024-12-07,0.441,0.4588,0.4357,0.4413,12627536.03,2024-12-07 23:59:59.999,5668675.36887100,38279,5762875.52000000,2587029.84759600,0
2024-12-08,0.441,0.4468,0.4167,0.4391,11399714.06,2024-12-08 23:59:59.999,4923420.49141500,33294,5334310.34000000,2307772.30878600,0
2024-12-09,0.4391,0.44,0.3125,0.3672,34154981.84,2024-12-09 23:59:59.999,12944508.54564000,97414,17087447.80000000,6433068.18808900,0
2024-12-10,0.3673,0.3795,0.3179,0.3503,20223391.33,2024-12-10 23:59:59.999,7072711.60053400,52684,9113605.76000000,3187807.25399900,0
2024-12-11,0.3502,0.3987,0.3375,0.3978,19640209.49,2024-12-11 23:59:59.999,7373013.97587800,43496,10678830.22000000,4016638.32193200,0
2024-12-12,0.3977,0.4098,0.3819,0.3903,17210696.03,2024-12-12 23:59:59.999,6837443.40255900,45568,8112498.81000000,3228863.71137100,0
2024-12-13,0.3908,0.3963,0.3744,0.3875,8872979.79,2024-12-13 23:59:59.999,3416859.15708800,28140,4720831.57000000,1818677.40583600,0
2024-12-14,0.3874,0.3968,0.3563,0.3646,9521809.04,2024-12-14 23:59:59.999,3552212.36146400,22233,4057103.48000000,1514151.25179200,0
2024-12-15,0.3645,0.396,0.3531,0.3904,14508098.85,2024-12-15 23:59:59.999,5467038.17055500,38413,7608221.68000000,2878795.31512800,0
2024-12-16,0.3904,0.3982,0.358,0.3796,14305948.34,2024-12-16 23:59:59.999,5422844.94098800,32623,6977126.42000000,2648698.51636200,0
2024-12-17,0.3795,0.388,0.3364,0.3425,15746669.19,2024-12-17 23:59:59.999,5699728.80331200,35597,6806170.87000000,2477357.25927200,0
2024-12-18,0.343,0.3455,0.303,0.3102,18744421.21,2024-12-18 23:59:59.999,6167856.71775100,46510,8829483.01000000,2904700.84043100,0
2024-12-19,0.3099,0.3188,0.2717,0.2838,17005099.97,2024-12-19 23:59:59.999,5050347.47709200,47950,7920754.43000000,2356419.44524400,0
2024-12-20,0.2837,0.2972,0.2437,0.2938,22825594.75,2024-12-20 23:59:59.999,6152729.66562000,46179,10581784.46000000,2858246.67221000,0
2024-12-21,0.2935,0.3119,0.2719,0.2765,12568730.83,2024-12-21 23:59:59.999,3669731.92392900,26902,5887075.36000000,1718447.30729400,0
2024-12-22,0.277,0.2865,0.265,0.2734,8542662.02,2024-12-22 23:59:59.999,2367885.31932000,18698,4307100.28000000,1193630.71722200,0
2024-12-23,0.2736,0.3032,0.266,0.2972,11274657.45,2024-12-23 23:59:59.999,3190117.07100800,23572,5169855.95000000,1461586.45421900,0
2024-12-24,0.2976,0.33,0.2887,0.318,13966735.87,2024-12-24 23:59:59.999,4342769.47707600,25678,6676454.85000000,2078469.00352900,0
2024-12-25,0.318,0.3205,0.3034,0.3092,7010657.14,2024-12-25 23:59:59.999,2195064.57690900,17174,3403480.19000000,1065906.26969900,0
2024-12-26,0.3093,0.3141,0.2812,0.2842,7824978.81,2024-12-26 23:59:59.999,2292510.87389500,15396,3626560.07000000,1064937.75900200,0
2024-12-27,0.2843,0.3048,0.2823,0.293,9606060.88,2024-12-27 23:59:59.999,2817095.88184500,16798,4636712.40000000,1360045.88888700,0
2024-12-28,0.293,0.3255,0.289,0.3202,23061782.13,2024-12-28 23:59:59.999,7153192.19938200,34744,11855334.54000000,3677815.08838400,0
2024-12-29,0.3202,0.3403,0.3105,0.3158,24393498.74,2024-12-29 23:59:59.999,7886586.66957000,35409,11742371.83000000,3802248.39331800,0
2024-12-30,0.3156,0.3351,0.2977,0.3139,19298158.8,2024-12-30 23:59:59.999,6110820.32915400,38624,8854120.40000000,2806570.73093800,0
2024-12-31,0.3143,0.318,0.2988,0.3,11605510.34,2024-12-31 23:59:59.999,3587560.88028000,23244,5744840.40000000,1777677.17673900,0
2025-01-01,0.2999,0.3389,0.2916,0.3307,12664985.06,2025-01-01 23:59:59.999,3993452.83007900,32290,6213470.10000000,1955371.98327200,0
