Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.2634,0.2669,0.2399,0.2447,36693597.8,2024-11-17 23:59:59.999,9278795.10144000,43080,17667548.30000000,4463917.54444000,0
2024-11-18,0.2447,0.2625,0.2428,0.2621,48113078.5,2024-11-18 23:59:59.999,12228731.68139000,52393,22826174.80000000,5802715.31881000,0
2024-11-19,0.262,0.266,0.2464,0.2523,34786199.6,2024-11-19 23:59:59.999,8888348.28835000,39483,17604761.80000000,4495684.99747000,0
2024-11-20,0.2525,0.2525,0.2321,0.238,22270845.0,2024-11-20 23:59:59.999,5401695.09053000,29858,12192056.10000000,2954005.26679000,0
2024-11-21,0.238,0.2571,0.2292,0.2506,33902164.5,2024-11-21 23:59:59.999,8314522.43693000,42061,16303515.20000000,3989076.46586000,0
2024-11-22,0.2506,0.2648,0.2431,0.2636,43816312.2,2024-11-22 23:59:59.999,11054643.20149000,49742,23589807.20000000,5955914.74351000,0
2024-11-23,0.2636,0.311,0.2603,0.2878,77412914.0,2024-11-23 23:59:59.999,22017622.98817000,91521,38761467.20000000,11047049.64190000,0
2024-11-24,0.2877,0.3394,0.2774,0.3343,117078345.7,2024-11-24 23:59:59.999,35894647.62777000,154067,60510096.00000000,18583417.36314000,0
2024-11-25,0.334,0.3626,0.3093,0.3284,134998210.9,2024-11-25 23:59:59.999,44742699.08123000,207687,66658149.70000000,22118226.52658000,0
2024-11-26,0.3282,0.3348,0.2942,0.3136,70033912.9,2024-11-26 23:59:59.999,21789583.65587000,96373,33988574.70000000,10583537.75044000,0
2024-11-27,0.3136,0.3311,0.3007,0.3274,39867936.7,2024-11-27 23:59:59.999,12432569.29644000,54305,20305113.00000000,6347458.34048000,0
2024-11-28,0.3274,0.3291,0.3076,0.3174,29727598.6,2024-11-28 23:59:59.999,9380355.97773000,50660,13516544.50000000,4262295.41167000,0
2024-11-29,0.3174,0.3301,0.3104,0.3278,21943325.4,2024-11-29 23:59:59.999,7014843.20214000,35064,9630608.20000000,3081391.06192000,0
2024-11-30,0.3278,0.3827,0.3225,0.3697,87047223.7,2024-11-30 23:59:59.999,31307485.98596000,138128,40586797.70000000,14597921.89409000,0
2024-12-01,0.3696,0.4152,0.3495,0.3884,105270628.3,2024-12-01 23:59:59.999,40143887.81118000,161573,50752354.80000000,19347494.15939000,0
2024-12-02,0.3885,0.412,0.3491,0.3965,113464292.1,2024-12-02 23:59:59.999,43160590.23655000,165573,53726433.50000000,20460494.97416000,0
2024-12-03,0.3967,0.4094,0.3508,0.3983,95951666.6,2024-12-03 23:59:59.999,36594745.48071000,133021,44550557.90000000,16993642.36830000,0
2024-12-04,0.3983,0.4437,0.3944,0.4157,109580109.2,2024-12-04 23:59:59.999,46269640.25452000,168184,51826822.70000000,21888755.56836000,0
2024-12-05,0.4159,0.4429,0.395,0.4169,71922993.0,2024-12-05 23:59:59.999,30271458.88355000,133182,33270492.80000000,14007492.22066000,0
2024-12-06,0.4172,0.4557,0.3998,0.4378,63367698.8,2024-12-06 23:59:59.999,26942232.18435000,109192,30629605.90000000,13032471.33892000,0
2024-12-07,0.438,0.4388,0.4147,0.421,21721310.3,2024-12-07 23:59:59.999,9207246.78943000,41336,10790273.10000000,4571362.27994000,0
2024-12-08,0.4209,0.4223,0.3983,0.4136,29388868.6,2024-12-08 23:59:59.999,12010472.95694000,52318,14441286.60000000,5903590.46851000,0
2024-12-09,0.4137,0.4137,0.2951,0.3477,84483046.8,2024-12-09 23:59:59.999,30493663.97669000,153065,39213887.30000000,14126403.59263000,0
2024-12-10,0.3471,0.367,0.3085,0.3377,93697905.3,2024-12-10 23:59:59.999,31902505.57427000,170338,47296196.40000000,16116894.61984000,0
2024-12-11,0.3376,0.365,0.3188,0.3586,40081643.8,2024-12-11 23:59:59.999,13812326.91218000,77342,20512567.10000000,7088567.17838000,0
2024-12-12,0.3586,0.3949,0.3561,0.3917,57130882.8,2024-12-12 23:59:59.999,21522500.34365000,104446,29673277.00000000,11174613.46953000,0
2024-12-13,0.3917,0.3959,0.3726,0.3837,42451878.1,2024-12-13 23:59:59.999,16182078.38492000,90767,21149742.70000000,8061222.32649000,0
2024-12-14,0.3838,0.4418,0.3811,0.3932,101897780.8,2024-12-14 23:59:59.999,42048114.84889000,198137,47125533.40000000,19398281.13202000,0
2024-12-15,0.3932,0.4152,0.3736,0.3923,37681080.4,2024-12-15 23:59:59.999,14601113.74429000,74030,19089206.70000000,7396489.43257000,0
2024-12-16,0.3927,0.3977,0.3621,0.3659,35424815.9,2024-12-16 23:59:59.999,13266480.79832000,65498,18914124.50000000,7082192.37945000,0
2024-12-17,0.366,0.366,0.3303,0.3355,51843476.3,2024-12-17 23:59:59.999,18176464.75039000,104690,24520424.90000000,8607439.27177000,0
