Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,8.8e-07,9.1e-07,8.7e-07,8.9e-07,3533784239557.0,2024-09-19 23:59:59.999,3139803.98420066,11943,1843956851216.0,1640386.58503967,0
2024-09-20,8.9e-07,9.3e-07,8.8e-07,9e-07,2718553607639.0,2024-09-20 23:59:59.999,2454864.89286142,8753,1437839379692.0,1300126.89040680,0
2024-09-21,9.1e-07,9.3e-07,8.9e-07,9.1e-07,1389170553654.0,2024-09-21 23:59:59.999,1262642.61754883,7218,777688352426.0,708760.51934453,0
2024-09-22,9.2e-07,9.7e-07,9e-07,9.1e-07,3152523208583.0,2024-09-22 23:59:59.999,2908676.97914804,9955,1360002600447.0,1259929.59021749,0
2024-09-23,9.2e-07,9.3e-07,8.9e-07,9.2e-07,3014926297075.0,2024-09-23 23:59:59.999,2740088.97355581,8417,1153215975728.0,1051347.41399133,0
2024-09-24,9.1e-07,9.2e-07,8.9e-07,9.2e-07,1563373947809.0,2024-09-24 23:59:59.999,1419881.55978662,5596,785700070734.0,715847.63754376,0
2024-09-25,9.2e-07,9.5e-07,9.1e-07,9.1e-07,2134202364853.0,2024-09-25 23:59:59.999,1975490.34009361,7577,1155133844820.0,1070710.73426558,0
2024-09-26,9.1e-07,9.9e-07,9.1e-07,9.7e-07,3978260433157.0,2024-09-26 23:59:59.999,3786887.82510920,14240,2350260176015.0,2241497.45172337,0
2024-09-27,9.7e-07,1.08e-06,9.7e-07,1.02e-06,7948456222083.0,2024-09-27 23:59:59.999,8239908.02076880,26638,4054313862952.0,4206284.90621327,0
2024-09-28,1.02e-06,1.05e-06,9.7e-07,9.9e-07,2006828063322.0,2024-09-28 23:59:59.999,2024034.83146329,10007,828359374644.0,838142.35035973,0
2024-09-29,1e-06,1.01e-06,9.7e-07,9.9e-07,1758325842162.0,2024-09-29 23:59:59.999,1738012.83416561,6760,874674594706.0,867051.03406006,0
2024-09-30,9.9e-07,9.9e-07,9.3e-07,9.5e-07,2323237206493.0,2024-09-30 23:59:59.999,2231657.21445861,8752,899041111400.0,865750.86345878,0
2024-10-01,9.5e-07,9.7e-07,8.9e-07,9e-07,2743337842297.0,2024-10-01 23:59:59.999,2546536.96224800,10340,1096503450051.0,1025961.78476554,0
2024-10-02,9e-07,9.5e-07,8.9e-07,9e-07,3170285443341.0,2024-10-02 23:59:59.999,2904675.94960286,11296,1617308967465.0,1489163.41840126,0
2024-10-03,9e-07,9.2e-07,8.7e-07,8.9e-07,1601791084327.0,2024-10-03 23:59:59.999,1431411.61715564,7238,690164170700.0,618777.03954999,0
2024-10-04,9e-07,9.3e-07,8.8e-07,9.2e-07,1689156445974.0,2024-10-04 23:59:59.999,1534919.28020446,7163,969227059828.0,882339.84691754,0
2024-10-05,9.2e-07,9.5e-07,9.1e-07,9.2e-07,1483445169515.0,2024-10-05 23:59:59.999,1374070.82633340,6845,718992448938.0,667713.20583991,0
2024-10-06,9.2e-07,9.4e-07,9.1e-07,9.4e-07,988082852476.0,2024-10-06 23:59:59.999,915506.51438026,6342,475587315922.0,442147.22917523,0
2024-10-07,9.4e-07,9.5e-07,9.2e-07,9.3e-07,1795889256570.0,2024-10-07 23:59:59.999,1680095.34974222,8567,887836824468.0,833976.47184576,0
2024-10-08,9.2e-07,9.3e-07,9e-07,9.2e-07,899348724092.0,2024-10-08 23:59:59.999,825558.00305829,6200,457150659473.0,420752.11188670,0
2024-10-09,9.3e-07,9.4e-07,8.9e-07,9.1e-07,1701143334528.0,2024-10-09 23:59:59.999,1559067.46200713,7429,736537184472.0,677814.14040437,0
2024-10-10,9.1e-07,9.1e-07,8.8e-07,8.9e-07,957153392041.0,2024-10-10 23:59:59.999,857200.51876360,6892,387392551944.0,348361.88927041,0
2024-10-11,8.9e-07,9.3e-07,8.9e-07,9.1e-07,1296844583299.0,2024-10-11 23:59:59.999,1179201.23692556,6867,739236138865.0,673707.36078144,0
2024-10-12,9.2e-07,9.3e-07,9.1e-07,9.2e-07,1010021773212.0,2024-10-12 23:59:59.999,929803.28790397,6060,615684636573.0,567942.69046081,0
2024-10-13,9.3e-07,9.3e-07,8.9e-07,9e-07,761925261976.0,2024-10-13 23:59:59.999,692198.26845212,5689,214677674063.0,195509.36627286,0
