Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,1.775,1.88,1.772,1.847,4422852.47,2024-09-19 23:59:59.999,8064153.09147000,63210,2132529.48000000,3890289.56718000,0
2024-09-20,1.847,1.898,1.815,1.853,4212902.99,2024-09-20 23:59:59.999,7844830.43450000,69971,2181218.60000000,4061322.38389000,0
2024-09-21,1.853,2.024,1.834,2.0,7136869.07,2024-09-21 23:59:59.999,13975888.33463000,116075,3578066.94000000,7004744.14785000,0
2024-09-22,2.0,2.018,1.895,1.945,4937812.21,2024-09-22 23:59:59.999,9571929.73563000,86128,2370540.30000000,4594014.17644000,0
2024-09-23,1.945,2.085,1.913,2.039,6326876.47,2024-09-23 23:59:59.999,12709590.45861000,111886,3159703.04000000,6349591.02610000,0
2024-09-24,2.039,2.09,1.99,2.054,5910710.79,2024-09-24 23:59:59.999,12082099.50968000,106372,2840670.44000000,5808511.38718000,0
2024-09-25,2.055,2.084,1.996,2.01,4036820.05,2024-09-25 23:59:59.999,8253398.82453000,76134,1870341.17000000,3825744.95610000,0
2024-09-26,2.01,2.145,1.96,2.11,6607975.57,2024-09-26 23:59:59.999,13643104.87979000,101834,3380308.95000000,6982469.48149000,0
2024-09-27,2.111,2.27,2.106,2.198,8477735.17,2024-09-27 23:59:59.999,18661531.55092000,160950,4172983.52000000,9182615.14603000,0
2024-09-28,2.199,2.265,2.112,2.145,4552657.66,2024-09-28 23:59:59.999,9892643.62527000,90131,2165295.62000000,4708004.56896000,0
2024-09-29,2.145,2.168,2.091,2.129,2934611.06,2024-09-29 23:59:59.999,6251376.36707000,66301,1326560.28000000,2826554.88856000,0
2024-09-30,2.129,2.136,2.002,2.016,4355272.6,2024-09-30 23:59:59.999,9014424.17351000,101411,2061041.72000000,4263660.05238000,0
2024-10-01,2.016,2.083,1.833,1.887,6209346.94,2024-10-01 23:59:59.999,12098355.23270000,123335,3184501.49000000,6206387.02962000,0
2024-10-02,1.886,1.944,1.8,1.828,5700788.44,2024-10-02 23:59:59.999,10657153.37424000,89804,2729064.22000000,5098999.03194000,0
2024-10-03,1.828,1.856,1.733,1.796,5090685.2,2024-10-03 23:59:59.999,9113023.01348000,84417,2527606.23000000,4531631.85169000,0
2024-10-04,1.796,1.877,1.788,1.86,2143767.16,2024-10-04 23:59:59.999,3947435.41497000,49872,1044754.48000000,1924627.20507000,0
2024-10-05,1.861,1.897,1.843,1.869,2020000.3,2024-10-05 23:59:59.999,3780857.80479000,39274,864781.65000000,1618576.54450000,0
2024-10-06,1.869,1.897,1.851,1.885,2125496.68,2024-10-06 23:59:59.999,3981837.39274000,41351,1023785.13000000,1918874.31061000,0
2024-10-07,1.885,1.943,1.865,1.867,3686235.29,2024-10-07 23:59:59.999,7036600.12100000,60812,1816250.50000000,3465063.00354000,0
2024-10-08,1.867,1.91,1.837,1.885,3477277.02,2024-10-08 23:59:59.999,6512122.02136000,58049,1719242.09000000,3220908.91516000,0
2024-10-09,1.884,1.913,1.809,1.834,2998527.33,2024-10-09 23:59:59.999,5609066.18446000,55545,1389277.41000000,2597121.08967000,0
2024-10-10,1.834,1.861,1.732,1.805,3471848.11,2024-10-10 23:59:59.999,6250710.08215000,53122,1628187.06000000,2926404.52567000,0
2024-10-11,1.805,1.854,1.797,1.843,2118528.39,2024-10-11 23:59:59.999,3855665.51667000,45120,1030458.81000000,1876318.55733000,0
2024-10-12,1.842,1.888,1.838,1.863,1775807.34,2024-10-12 23:59:59.999,3316574.94723000,41671,829124.73000000,1548625.46595000,0
2024-10-13,1.863,1.871,1.781,1.828,2391362.4,2024-10-13 23:59:59.999,4363087.71024000,48759,1254900.50000000,2289874.10727000,0
2024-10-14,1.829,1.93,1.804,1.917,3164832.72,2024-10-14 23:59:59.999,5944779.33614000,60266,1462774.38000000,2750794.74053000,0
2024-10-15,1.918,1.928,1.806,1.877,6418555.19,2024-10-15 23:59:59.999,11964323.32486000,105463,3087479.26000000,5751853.85159000,0
2024-10-16,1.876,1.883,1.837,1.859,2977457.61,2024-10-16 23:59:59.999,5535812.88846000,46851,1418174.79000000,2636411.02226000,0
2024-10-17,1.858,1.874,1.777,1.811,2608218.72,2024-10-17 23:59:59.999,4744547.28232000,42400,1323565.87000000,2409555.85973000,0
2024-10-18,1.81,1.869,1.804,1.863,2222812.09,2024-10-18 23:59:59.999,4095481.19137000,34601,1006343.04000000,1852696.27115000,0
2024-10-19,1.863,1.889,1.836,1.864,2060678.94,2024-10-19 23:59:59.999,3842118.14729000,34281,998682.23000000,1862353.54213000,0
2024-10-20,1.865,1.984,1.838,1.983,5134053.2,2024-10-20 23:59:59.999,9859277.12316000,66774,2516609.18000000,4834182.56902000,0
