Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.6768,0.6829,0.6222,0.6333,10139024.7,2024-11-17 23:59:59.999,6615677.51692000,57485,4911459.50000000,3202947.22265000,0
2024-11-18,0.6335,0.7138,0.6248,0.7111,22038889.7,2024-11-18 23:59:59.999,14961977.16231000,75518,11731300.80000000,7987189.23307000,0
2024-11-19,0.711,0.72,0.6801,0.7029,18002441.7,2024-11-19 23:59:59.999,12601123.45600000,63619,8334353.80000000,5835430.75492000,0
2024-11-20,0.7029,0.7032,0.6344,0.6535,10104014.3,2024-11-20 23:59:59.999,6732249.48635000,57694,4782861.90000000,3182863.28173000,0
2024-11-21,0.653,0.7216,0.634,0.7087,13220908.3,2024-11-21 23:59:59.999,9091078.58982000,65956,6643581.90000000,4568742.66637000,0
2024-11-22,0.7087,0.7445,0.6913,0.7435,11367865.4,2024-11-22 23:59:59.999,8160707.25561000,45780,5657014.90000000,4063199.51340000,0
2024-11-23,0.7436,0.8325,0.7326,0.7999,21865366.8,2024-11-23 23:59:59.999,17170802.14599000,84726,11259620.50000000,8848621.38558000,0
2024-11-24,0.7999,0.85,0.7586,0.8313,27868579.1,2024-11-24 23:59:59.999,22724961.42508000,104986,14011319.10000000,11435694.10231000,0
2024-11-25,0.8322,0.8668,0.788,0.8105,14649353.4,2024-11-25 23:59:59.999,12144649.28837000,69352,7365392.20000000,6112728.16107000,0
2024-11-26,0.8105,0.8823,0.7715,0.8397,24035690.9,2024-11-26 23:59:59.999,20096666.43964000,119089,12573895.70000000,10532705.89003000,0
2024-11-27,0.8387,0.8775,0.812,0.8713,15591491.7,2024-11-27 23:59:59.999,13280770.41642000,65808,7600172.50000000,6470080.31065000,0
2024-11-28,0.8714,0.8719,0.8011,0.8258,16389304.0,2024-11-28 23:59:59.999,13538083.96592000,62709,7960322.20000000,6567666.26887000,0
2024-11-29,0.8261,0.8752,0.7997,0.8634,12256874.6,2024-11-29 23:59:59.999,10162737.34467000,54003,6323906.60000000,5244837.37533000,0
