Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1603,0.1613,0.1479,0.1517,82319363.0,2024-11-17 23:59:59.999,12687512.11520000,75705,39477784.00000000,6084093.66300000,0
2024-11-18,0.1518,0.161,0.1494,0.1598,73542606.0,2024-11-18 23:59:59.999,11474555.43460000,62460,36043061.00000000,5630726.29620000,0
2024-11-19,0.1598,0.16,0.1484,0.1522,61226694.0,2024-11-19 23:59:59.999,9471808.76140000,55519,30024923.00000000,4646235.77030000,0
2024-11-20,0.1523,0.1525,0.1379,0.1399,70270345.0,2024-11-20 23:59:59.999,10248268.06800000,60511,30466721.00000000,4439176.71210000,0
2024-11-21,0.1399,0.1587,0.1355,0.158,94416584.0,2024-11-21 23:59:59.999,14076047.51280000,79688,45908290.00000000,6842615.64250000,0
2024-11-22,0.158,0.1619,0.1491,0.1619,81972882.0,2024-11-22 23:59:59.999,12678912.14670000,83105,42014436.00000000,6507758.70330000,0
2024-11-23,0.1619,0.1847,0.161,0.1799,188169580.0,2024-11-23 23:59:59.999,32224720.28710000,183072,97251057.00000000,16676691.28520000,0
2024-11-24,0.18,0.1988,0.1656,0.1855,191557079.0,2024-11-24 23:59:59.999,34702793.76650000,174796,93418836.00000000,16955332.97700000,0
2024-11-25,0.1855,0.192,0.1726,0.1774,124494830.0,2024-11-25 23:59:59.999,22710970.30070000,117687,60060253.00000000,10968451.70160000,0
2024-11-26,0.1773,0.1858,0.1636,0.1733,93858524.0,2024-11-26 23:59:59.999,16269788.60490000,99842,45833925.00000000,7956641.75650000,0
2024-11-27,0.1732,0.1897,0.1702,0.187,86626088.0,2024-11-27 23:59:59.999,15663878.63940000,84407,44425704.00000000,8047602.33160000,0
2024-11-28,0.187,0.1925,0.1801,0.1902,76444669.0,2024-11-28 23:59:59.999,14216448.04820000,84652,39092009.00000000,7278423.95330000,0
2024-11-29,0.1901,0.2008,0.184,0.1999,76191828.0,2024-11-29 23:59:59.999,14701630.39510000,84593,39884513.00000000,7704634.30810000,0
2024-11-30,0.1998,0.2184,0.1946,0.212,121156593.0,2024-11-30 23:59:59.999,24945331.01870000,119398,58869883.00000000,12133268.84250000,0
2024-12-01,0.212,0.2364,0.2035,0.2284,174400655.0,2024-12-01 23:59:59.999,38600250.85780000,180816,89388871.00000000,19818568.04120000,0
