Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.0751,0.0753,0.0678,0.0691,168052987.0,2024-11-17 23:59:59.999,12009740.51600000,42253,81737151.00000000,5839116.21030000,0
2024-11-18,0.0691,0.0901,0.0685,0.0793,696412806.0,2024-11-18 23:59:59.999,55409820.70734000,169143,347153118.00000000,27623103.07654000,0
2024-11-19,0.0793,0.0864,0.0741,0.0759,510512965.0,2024-11-19 23:59:59.999,40092237.70680000,156346,264858959.00000000,20812927.65010000,0
2024-11-20,0.0759,0.0759,0.0703,0.0716,198908528.0,2024-11-20 23:59:59.999,14553537.13700000,85255,91486314.00000000,6696855.87340000,0
2024-11-21,0.0716,0.0756,0.0695,0.0746,217577667.0,2024-11-21 23:59:59.999,15917018.67570000,96679,103814876.00000000,7599483.36560000,0
2024-11-22,0.0746,0.0789,0.0731,0.0787,266143966.0,2024-11-22 23:59:59.999,20195048.95050000,104171,122157180.00000000,9265567.30920000,0
2024-11-23,0.0787,0.0894,0.0775,0.0866,491703405.0,2024-11-23 23:59:59.999,41382886.55600000,199124,237228284.00000000,19953220.50240000,0
2024-11-24,0.0866,0.1016,0.0856,0.0979,807471012.0,2024-11-24 23:59:59.999,75770069.81294000,356267,415286162.00000000,39091089.68314000,0
2024-11-25,0.098,0.1001,0.0888,0.0909,377580554.0,2024-11-25 23:59:59.999,35466687.78610000,131552,176883369.00000000,16619734.45310000,0
2024-11-26,0.0909,0.0962,0.0855,0.0902,408325089.0,2024-11-26 23:59:59.999,36467819.44510000,165973,211315490.00000000,18849563.92020000,0
2024-11-27,0.0901,0.0948,0.0873,0.0935,242296902.0,2024-11-27 23:59:59.999,22119271.43290000,89174,118440274.00000000,10817283.36600000,0
2024-11-28,0.0935,0.0945,0.0892,0.0941,184895962.0,2024-11-28 23:59:59.999,16941610.32440000,70399,92159329.00000000,8442956.08960000,0
2024-11-29,0.0941,0.1046,0.0916,0.1024,247598516.0,2024-11-29 23:59:59.999,24200475.43712000,124345,124871591.00000000,12195685.82842000,0
2024-11-30,0.1024,0.1055,0.0982,0.1033,239369079.0,2024-11-30 23:59:59.999,24372413.30954000,132819,113239312.00000000,11532284.78844000,0
2024-12-01,0.1032,0.1093,0.1,0.1064,301861092.0,2024-12-01 23:59:59.999,31880211.07428000,179439,160712914.00000000,16990262.98138000,0
