Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.013456,0.013755,0.012572,0.012867,667884031.0,2024-11-17 23:59:59.999,8719262.57228600,77790,310737604.00000000,4059494.20324000,0
2024-11-18,0.012871,0.01373,0.012751,0.01367,904444684.0,2024-11-18 23:59:59.999,12074437.90008300,78970,405855101.00000000,5418164.11699400,0
2024-11-19,0.013666,0.013823,0.012767,0.013121,618734597.0,2024-11-19 23:59:59.999,8245623.82880400,60224,319840803.00000000,4262527.10974800,0
2024-11-20,0.013123,0.013123,0.012217,0.01254,645489601.0,2024-11-20 23:59:59.999,8202209.58142900,59859,314835652.00000000,3998675.15874700,0
2024-11-21,0.012549,0.013728,0.012144,0.013377,1066826580.0,2024-11-21 23:59:59.999,13953131.11348100,92701,490750469.00000000,6403757.58427600,0
2024-11-22,0.013379,0.013424,0.012656,0.013352,739468042.0,2024-11-22 23:59:59.999,9647755.46756900,67164,366221569.00000000,4777196.99747700,0
2024-11-23,0.013348,0.014777,0.01328,0.013984,1947523820.0,2024-11-23 23:59:59.999,27217512.43448000,173392,947377208.00000000,13258593.20793600,0
2024-11-24,0.013988,0.014824,0.012945,0.014174,1626737472.0,2024-11-24 23:59:59.999,22659661.81995200,164453,756875825.00000000,10528021.74258200,0
2024-11-25,0.014181,0.016257,0.01381,0.014732,3335119167.0,2024-11-25 23:59:59.999,50845453.37365800,324674,1619009130.00000000,24706154.55052900,0
2024-11-26,0.014728,0.016064,0.0139,0.014405,1757974367.0,2024-11-26 23:59:59.999,25946243.01399100,160652,860803412.00000000,12734236.10070400,0
2024-11-27,0.014401,0.015399,0.014071,0.015202,993882738.0,2024-11-27 23:59:59.999,14680258.30439000,85874,487292115.00000000,7196569.69556800,0
2024-11-28,0.015202,0.015797,0.014641,0.01547,1045349322.0,2024-11-28 23:59:59.999,15869080.22638600,92449,529737676.00000000,8040988.10558400,0
2024-11-29,0.015476,0.015697,0.014802,0.015634,828652798.0,2024-11-29 23:59:59.999,12622454.36888500,64308,404143018.00000000,6160641.47870100,0
2024-11-30,0.015632,0.016598,0.015252,0.016361,1261873914.0,2024-11-30 23:59:59.999,20227548.73801800,95767,604189398.00000000,9696103.39271500,0
2024-12-01,0.016359,0.018,0.015989,0.017531,1656377070.0,2024-12-01 23:59:59.999,27901970.53124600,142837,851994841.00000000,14387151.32939000,0
2024-12-02,0.017521,0.017765,0.0149,0.01741,2316269555.0,2024-12-02 23:59:59.999,38390276.97265600,197975,1108188662.00000000,18419143.90274000,0
2024-12-03,0.017416,0.018462,0.015683,0.018049,2492080961.0,2024-12-03 23:59:59.999,42938639.34975000,272613,1206788279.00000000,20853139.70078900,0
