Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,52.34,56.06,50.56,51.55,119774.842,2024-11-17 23:59:59.999,6304429.12444000,52368,62286.25400000,3277199.14933000,0
2024-11-18,51.56,57.24,51.36,56.29,119987.669,2024-11-18 23:59:59.999,6479867.21222000,59604,53688.84200000,2906134.47757000,0
2024-11-19,56.3,57.94,52.41,53.55,74540.167,2024-11-19 23:59:59.999,4081463.08468000,34732,37184.76900000,2036178.86222000,0
2024-11-20,53.54,55.42,51.15,52.89,66000.008,2024-11-20 23:59:59.999,3504175.66925000,30838,32899.78600000,1746281.43769000,0
2024-11-21,52.91,55.91,51.75,53.86,77666.79,2024-11-21 23:59:59.999,4204816.97170000,36658,39733.35100000,2153769.43842000,0
2024-11-22,53.87,65.71,52.35,64.61,153793.589,2024-11-22 23:59:59.999,8769339.43030000,66000,75075.82100000,4303117.29277000,0
2024-11-23,64.64,68.66,58.84,63.95,316083.417,2024-11-23 23:59:59.999,20029560.09604000,154617,149939.71200000,9510331.17990000,0
2024-11-24,63.95,72.85,62.24,67.12,178714.32,2024-11-24 23:59:59.999,12027181.27424000,106554,86443.40700000,5812574.87945000,0
2024-11-25,67.14,70.62,64.82,67.38,198876.13,2024-11-25 23:59:59.999,13574711.29132000,122856,95235.67800000,6492605.85048000,0
2024-11-26,67.34,70.64,61.88,66.23,137666.096,2024-11-26 23:59:59.999,8903750.32511000,70765,60813.85300000,3941666.22070000,0
2024-11-27,66.25,74.01,64.95,73.59,83626.429,2024-11-27 23:59:59.999,5820121.26775000,42752,41598.47200000,2897136.69279000,0
2024-11-28,73.55,75.28,67.68,72.74,87970.094,2024-11-28 23:59:59.999,6301182.77134000,46675,39708.02100000,2843961.38321000,0
2024-11-29,72.67,72.86,70.11,70.67,59720.922,2024-11-29 23:59:59.999,4255141.78074000,29820,31441.18200000,2240522.66498000,0
2024-11-30,70.67,73.71,70.1,71.9,64752.062,2024-11-30 23:59:59.999,4639422.57245000,33644,30532.44200000,2188015.22934000,0
2024-12-01,71.89,73.42,69.9,72.26,53747.76,2024-12-01 23:59:59.999,3861168.26097000,31337,27865.31000000,2002065.57222000,0
2024-12-02,72.26,84.54,72.12,83.85,265934.934,2024-12-02 23:59:59.999,20731311.56719000,148500,128518.90900000,10030302.02130000,0
2024-12-03,83.85,94.28,80.09,87.34,295855.441,2024-12-03 23:59:59.999,25803222.82588000,195030,142061.82800000,12403827.34350000,0
2024-12-04,87.34,144.0,86.61,120.28,1123482.439,2024-12-04 23:59:59.999,135980174.82604000,919309,573979.53100000,69521705.97418000,0
2024-12-05,120.2,124.93,109.52,114.15,696802.609,2024-12-05 23:59:59.999,81004206.77683000,482688,315229.69100000,36744194.03211000,0
2024-12-06,114.15,125.77,113.25,117.99,264779.101,2024-12-06 23:59:59.999,31429524.71037000,209330,130280.02300000,15473186.72421000,0
2024-12-07,117.99,121.95,115.52,119.54,169774.565,2024-12-07 23:59:59.999,20164367.99946000,123438,80149.92800000,9519443.96136000,0
2024-12-08,119.53,124.27,116.32,118.62,177781.143,2024-12-08 23:59:59.999,21277509.27919000,123561,85826.23600000,10282157.93540000,0
2024-12-09,118.68,118.69,81.06,97.85,253538.428,2024-12-09 23:59:59.999,26393374.04915000,158338,124471.61200000,12968621.57930000,0
2024-12-10,97.81,103.87,87.36,95.55,222038.549,2024-12-10 23:59:59.999,21461186.64766000,115769,105948.24400000,10249023.68222000,0
2024-12-11,95.58,104.91,91.78,103.43,125577.378,2024-12-11 23:59:59.999,12418948.37020000,74621,59866.55900000,5925370.41576000,0
2024-12-12,103.51,121.95,101.9,112.53,300102.176,2024-12-12 23:59:59.999,34103790.01797000,164963,145723.88000000,16578697.91310000,0
2024-12-13,112.46,114.01,107.3,110.74,101866.705,2024-12-13 23:59:59.999,11226062.32529000,58064,50180.43700000,5535940.19879000,0
