Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.10611,0.11469,0.10523,0.10886,57911645.0,2024-09-19 23:59:59.999,6351863.28612000,55035,29065576.00000000,3186179.24606000,0
2024-09-20,0.10887,0.13248,0.1082,0.12471,175843956.0,2024-09-20 23:59:59.999,21800673.55630000,186223,87739586.00000000,10869475.31832000,0
2024-09-21,0.12473,0.13116,0.12206,0.12553,60979253.0,2024-09-21 23:59:59.999,7651032.73374000,67797,29891392.00000000,3754998.26979000,0
2024-09-22,0.12551,0.12554,0.11659,0.12088,42181234.0,2024-09-22 23:59:59.999,5159779.15593000,46718,20591457.00000000,2519859.31489000,0
2024-09-23,0.12088,0.12868,0.11756,0.12734,47185078.0,2024-09-23 23:59:59.999,5777876.90337000,54523,22183232.00000000,2719532.08270000,0
2024-09-24,0.12775,0.13197,0.12238,0.12504,47064951.0,2024-09-24 23:59:59.999,5977919.13772000,58416,20262768.00000000,2576782.39151000,0
2024-09-25,0.125,0.12848,0.12053,0.12141,33005930.0,2024-09-25 23:59:59.999,4093995.34679000,42486,15292430.00000000,1898853.11822000,0
2024-09-26,0.12139,0.1274,0.12075,0.12444,43078302.0,2024-09-26 23:59:59.999,5323211.46110000,52238,20157340.00000000,2492163.29726000,0
2024-09-27,0.12448,0.12863,0.12193,0.12454,34781560.0,2024-09-27 23:59:59.999,4337636.37044000,45372,16151945.00000000,2013199.60663000,0
2024-09-28,0.12463,0.12945,0.11645,0.11849,31800209.0,2024-09-28 23:59:59.999,3890721.41042000,45227,15095010.00000000,1852467.84307000,0
2024-09-29,0.11849,0.12887,0.11538,0.12499,39447834.0,2024-09-29 23:59:59.999,4839693.05669000,54133,18521302.00000000,2270195.33493000,0
2024-09-30,0.12496,0.12602,0.11568,0.11617,43323833.0,2024-09-30 23:59:59.999,5285834.80495000,71273,20545938.00000000,2506460.60033000,0
2024-10-01,0.11614,0.12194,0.09669,0.10112,79461848.0,2024-10-01 23:59:59.999,8565103.06831000,106954,38109491.00000000,4103510.42699000,0
2024-10-02,0.10111,0.10697,0.09418,0.09882,52051122.0,2024-10-02 23:59:59.999,5276098.86839000,58858,25292815.00000000,2567316.25027000,0
2024-10-03,0.09874,0.10106,0.09277,0.09616,30910909.0,2024-10-03 23:59:59.999,2993050.01755000,44714,14857914.00000000,1440660.68645000,0
2024-10-04,0.0962,0.10048,0.09537,0.09985,28462291.0,2024-10-04 23:59:59.999,2797121.34911000,39389,12449572.00000000,1223803.07983000,0
2024-10-05,0.09985,0.10096,0.09449,0.0971,16516734.0,2024-10-05 23:59:59.999,1621915.07173000,18477,8566764.00000000,842324.14946000,0
2024-10-06,0.09715,0.10214,0.09621,0.1018,20518986.0,2024-10-06 23:59:59.999,2037465.14995000,18720,10099464.00000000,1004136.26659000,0
2024-10-07,0.10186,0.10764,0.10061,0.10085,41734525.0,2024-10-07 23:59:59.999,4341433.96321000,35973,21332008.00000000,2219897.47599000,0
2024-10-08,0.10098,0.10351,0.09938,0.1005,34729712.0,2024-10-08 23:59:59.999,3510754.89489000,34671,16958439.00000000,1714892.20393000,0
2024-10-09,0.10045,0.10299,0.09506,0.09607,29155976.0,2024-10-09 23:59:59.999,2879961.56180000,29533,13412123.00000000,1324731.76105000,0
2024-10-10,0.09609,0.09807,0.0927,0.09718,23323184.0,2024-10-10 23:59:59.999,2227318.82666000,22521,10943480.00000000,1045172.00797000,0
2024-10-11,0.09717,0.10037,0.09625,0.09934,16518178.0,2024-10-11 23:59:59.999,1631210.84807000,15222,8081831.00000000,797888.65504000,0
2024-10-12,0.09936,0.10323,0.09841,0.10188,21735149.0,2024-10-12 23:59:59.999,2207040.66003000,16397,10680000.00000000,1085249.60158000,0
2024-10-13,0.10184,0.10259,0.09485,0.10032,32573611.0,2024-10-13 23:59:59.999,3221761.01952000,23613,15295867.00000000,1513215.67928000,0
2024-10-14,0.10033,0.1071,0.0989,0.10675,38067357.0,2024-10-14 23:59:59.999,3987630.15154000,31122,17779451.00000000,1863308.80290000,0
2024-10-15,0.10676,0.10813,0.09931,0.10335,35679228.0,2024-10-15 23:59:59.999,3704390.90215000,33192,17264651.00000000,1791386.02598000,0
2024-10-16,0.10337,0.10339,0.09714,0.09806,27791866.0,2024-10-16 23:59:59.999,2773998.41580000,27472,13800834.00000000,1378122.53990000,0
2024-10-17,0.09801,0.09943,0.09382,0.09645,24112630.0,2024-10-17 23:59:59.999,2319471.87711000,22944,11623989.00000000,1118323.28870000,0
2024-10-18,0.0966,0.10008,0.09606,0.09957,22058624.0,2024-10-18 23:59:59.999,2166288.55968000,18617,10382265.00000000,1019352.24800000,0
