Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,2.1,2.107,1.965,2.004,810530.707,2024-11-17 23:59:59.999,1646667.53672400,15860,425350.06700000,864675.46556000,0
2024-11-18,2.005,2.353,1.97,2.146,1684703.712,2024-11-18 23:59:59.999,3589081.72566000,28467,929637.54800000,1983576.05399500,0
2024-11-19,2.148,3.897,2.114,2.852,18789288.131,2024-11-19 23:59:59.999,56800114.71133900,365962,9343027.23000000,28224643.64807700,0
2024-11-20,2.852,2.898,2.291,2.492,5555842.456,2024-11-20 23:59:59.999,13951289.88143200,91928,2682118.26900000,6720780.43651700,0
2024-11-21,2.487,2.88,2.299,2.758,3851151.926,2024-11-21 23:59:59.999,10106428.95377900,61443,1906934.80500000,5007466.79741500,0
2024-11-22,2.759,2.815,2.567,2.754,1348941.122,2024-11-22 23:59:59.999,3634735.59337200,25034,662014.58600000,1786205.06032000,0
2024-11-23,2.754,3.55,2.701,3.087,4966404.862,2024-11-23 23:59:59.999,15938635.16053800,96838,2596046.62200000,8319921.65988800,0
2024-11-24,3.083,3.357,2.964,3.184,1471879.153,2024-11-24 23:59:59.999,4621451.38046200,34067,704677.24300000,2213986.66338300,0
2024-11-25,3.187,3.544,3.061,3.094,2076217.113,2024-11-25 23:59:59.999,6898633.60971600,51841,995907.82800000,3308291.75968100,0
2024-11-26,3.093,3.319,2.857,3.244,1114429.106,2024-11-26 23:59:59.999,3439523.24641200,29548,549872.65600000,1696803.20339100,0
2024-11-27,3.242,3.27,2.969,3.177,1130057.539,2024-11-27 23:59:59.999,3522243.83123600,24364,611648.97600000,1907084.06513600,0
2024-11-28,3.17,3.17,2.913,2.986,479247.348,2024-11-28 23:59:59.999,1444457.42744800,13902,232020.27300000,698978.80562800,0
2024-11-29,2.988,3.126,2.916,3.097,713317.124,2024-11-29 23:59:59.999,2147025.21567700,19336,311601.17200000,940554.32013500,0
2024-11-30,3.107,3.823,3.055,3.736,2893943.388,2024-11-30 23:59:59.999,9871476.94649700,70281,1456850.79600000,4965175.17286200,0
