Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,24.72,25.5,24.72,25.07,58551.809,2024-09-19 23:59:59.999,1465169.16808000,12228,30583.52600000,765600.46251000,0
2024-09-20,25.06,25.45,24.57,25.16,53852.365,2024-09-20 23:59:59.999,1347080.15877000,11670,27199.88800000,680306.75522000,0
2024-09-21,25.17,25.57,24.9,25.47,35191.534,2024-09-21 23:59:59.999,888062.21615000,8577,17360.92000000,438317.63588000,0
2024-09-22,25.46,25.51,24.38,24.92,38347.598,2024-09-22 23:59:59.999,954251.41612000,8760,19951.73700000,496623.76841000,0
2024-09-23,24.93,25.42,24.64,25.11,49781.999,2024-09-23 23:59:59.999,1249278.41136000,10855,25221.62900000,633077.61045000,0
2024-09-24,25.1,25.97,24.9,25.83,55603.011,2024-09-24 23:59:59.999,1417731.56432000,12708,28440.34100000,725671.30921000,0
2024-09-25,25.84,26.18,25.44,25.55,41398.682,2024-09-25 23:59:59.999,1068814.64301000,11880,19728.62700000,509553.72274000,0
2024-09-26,25.55,26.22,25.28,26.0,57741.384,2024-09-26 23:59:59.999,1496628.14884000,15591,27409.50700000,710894.16252000,0
2024-09-27,25.99,26.45,25.77,26.0,80410.327,2024-09-27 23:59:59.999,2104671.23568000,19861,38930.99300000,1019340.35967000,0
2024-09-28,26.0,26.78,25.27,25.71,124179.146,2024-09-28 23:59:59.999,3238184.07649000,27858,66836.15200000,1745593.34678000,0
2024-09-29,25.73,25.81,25.17,25.54,48255.999,2024-09-29 23:59:59.999,1231740.43015000,11796,23045.29500000,588637.62901000,0
2024-09-30,25.55,25.64,24.19,24.43,57816.466,2024-09-30 23:59:59.999,1444713.88756000,11914,25674.37300000,641699.38547000,0
2024-10-01,24.4,24.9,22.18,22.57,276886.496,2024-10-01 23:59:59.999,6401176.99078000,50360,127984.07900000,2973354.52525000,0
2024-10-02,22.57,23.57,22.44,22.89,90211.493,2024-10-02 23:59:59.999,2081359.81054000,16753,45415.30900000,1046030.40986000,0
2024-10-03,22.89,23.34,22.15,23.07,63978.955,2024-10-03 23:59:59.999,1457507.92815000,11326,30269.20700000,689600.78106000,0
2024-10-04,23.05,23.72,22.91,23.65,55731.315,2024-10-04 23:59:59.999,1298048.04954000,9395,30245.54500000,705402.52424000,0
2024-10-05,23.65,24.08,23.5,23.85,36781.351,2024-10-05 23:59:59.999,874730.94658000,7421,19818.68400000,471486.17672000,0
2024-10-06,23.82,24.43,23.72,24.25,41067.638,2024-10-06 23:59:59.999,990511.76688000,8171,20159.38200000,486135.33674000,0
2024-10-07,24.26,24.54,23.63,23.7,50709.754,2024-10-07 23:59:59.999,1227896.93412000,9797,24538.77400000,594528.57743000,0
2024-10-08,23.68,24.06,23.06,23.2,58722.893,2024-10-08 23:59:59.999,1373224.56273000,11501,26328.68300000,615443.45481000,0
2024-10-09,23.19,23.39,22.57,22.7,44291.429,2024-10-09 23:59:59.999,1021067.58861000,9784,20994.51600000,484571.67741000,0
2024-10-10,22.71,23.0,22.35,22.99,57303.088,2024-10-10 23:59:59.999,1300914.50984000,11499,28175.26800000,640168.93573000,0
2024-10-11,22.99,23.9,22.95,23.62,75691.038,2024-10-11 23:59:59.999,1783773.57757000,13495,36362.91900000,857842.17710000,0
2024-10-12,23.62,24.17,23.57,24.01,36588.835,2024-10-12 23:59:59.999,875817.67127000,9135,18823.09300000,450683.88824000,0
2024-10-13,24.01,24.27,23.29,23.75,52914.265,2024-10-13 23:59:59.999,1256761.78580000,10490,25153.98800000,597168.88646000,0
2024-10-14,23.77,24.5,23.41,24.45,64064.832,2024-10-14 23:59:59.999,1545914.68806000,13613,31434.54900000,758589.41039000,0
2024-10-15,24.46,24.62,23.56,24.19,67799.286,2024-10-15 23:59:59.999,1643717.98876000,12744,34538.56400000,837436.71663000,0
2024-10-16,24.19,24.39,23.9,24.04,46576.078,2024-10-16 23:59:59.999,1124582.14458000,9921,21671.69700000,523477.27589000,0
2024-10-17,24.05,24.22,23.42,23.71,44495.354,2024-10-17 23:59:59.999,1055684.82339000,9758,20733.84400000,491974.61236000,0
2024-10-18,23.71,24.23,23.5,23.72,70111.754,2024-10-18 23:59:59.999,1662229.89498000,12308,40200.47900000,952825.56457000,0
