Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,13.81,14.67,12.72,12.94,141201.254,2024-11-17 23:59:59.999,1945468.33321000,31893,70856.43600000,980489.41951000,0
2024-11-18,12.94,13.98,12.88,13.95,59557.142,2024-11-18 23:59:59.999,798704.05704000,23314,28519.22600000,382388.01594000,0
2024-11-19,13.93,14.49,13.46,13.78,101403.399,2024-11-19 23:59:59.999,1427631.47613000,23229,53042.37200000,749150.70948000,0
2024-11-20,13.8,13.93,13.0,13.27,57362.578,2024-11-20 23:59:59.999,776301.94862000,19695,26262.27600000,355595.02684000,0
2024-11-21,13.26,14.11,12.94,13.9,54687.61,2024-11-21 23:59:59.999,748665.52274000,18406,27941.85400000,382239.51372000,0
2024-11-22,13.9,14.2,13.44,13.97,41531.476,2024-11-22 23:59:59.999,575255.47320000,15523,20287.86700000,281182.35726000,0
2024-11-23,13.98,15.53,13.83,15.07,128220.768,2024-11-23 23:59:59.999,1900983.00507000,31578,62823.38500000,931241.04563000,0
2024-11-24,15.1,16.82,14.28,15.6,128188.13,2024-11-24 23:59:59.999,1990025.72711000,38281,66286.07000000,1031036.40048000,0
2024-11-25,15.59,16.25,15.26,15.76,72408.6,2024-11-25 23:59:59.999,1145612.74264000,25430,35160.85700000,556883.83423000,0
2024-11-26,15.77,16.64,15.47,16.04,65717.403,2024-11-26 23:59:59.999,1053500.59242000,25293,30789.48000000,494162.61841000,0
2024-11-27,16.04,17.06,15.77,17.04,63202.879,2024-11-27 23:59:59.999,1049683.39050000,22126,35062.23100000,582544.95075000,0
2024-11-28,17.03,17.04,15.79,16.4,55930.608,2024-11-28 23:59:59.999,912122.82813000,22447,29080.38800000,474555.80854000,0
2024-11-29,16.4,16.68,15.77,16.41,51815.322,2024-11-29 23:59:59.999,840541.43908000,21224,27776.75900000,450045.84093000,0
2024-11-30,16.42,17.62,16.01,17.52,64836.302,2024-11-30 23:59:59.999,1090438.48333000,25840,35352.58000000,596409.89629000,0
2024-12-01,17.53,17.74,16.48,17.07,78280.836,2024-12-01 23:59:59.999,1331304.48148000,26710,38638.54200000,657248.15873000,0
2024-12-02,17.09,20.64,16.9,19.5,529790.952,2024-12-02 23:59:59.999,10087695.05975000,118830,261472.87500000,4971309.29546000,0
2024-12-03,19.49,21.79,18.33,21.55,187639.015,2024-12-03 23:59:59.999,3738288.74190000,68096,98390.77000000,1959668.06143000,0
2024-12-04,21.55,22.45,20.0,21.65,137826.425,2024-12-04 23:59:59.999,2931640.02045000,51361,62741.41700000,1337877.58412000,0
2024-12-05,21.65,22.84,20.69,21.76,95084.314,2024-12-05 23:59:59.999,2096144.02853000,49247,44738.10700000,987499.68517000,0
2024-12-06,21.76,24.1,21.62,22.17,121443.474,2024-12-06 23:59:59.999,2790061.73073000,56729,61732.35900000,1418918.91034000,0
2024-12-07,22.17,22.83,21.65,21.94,60947.576,2024-12-07 23:59:59.999,1354647.54017000,30302,30817.97800000,685840.25251000,0
2024-12-08,21.93,25.41,21.31,24.59,209421.536,2024-12-08 23:59:59.999,4987582.90738000,70742,106138.78700000,2536040.29752000,0
2024-12-09,24.6,25.27,17.39,19.82,179374.215,2024-12-09 23:59:59.999,3925541.94393000,78174,86891.19100000,1901446.87338000,0
2024-12-10,19.83,21.39,18.0,19.71,100202.581,2024-12-10 23:59:59.999,1967893.32108000,53406,44716.83100000,879371.26180000,0
2024-12-11,19.69,21.9,18.71,20.44,85178.635,2024-12-11 23:59:59.999,1723363.05760000,39955,44143.59800000,892823.39536000,0
2024-12-12,20.46,22.43,20.26,21.94,65139.695,2024-12-12 23:59:59.999,1383712.15728000,40220,32842.39600000,696177.03742000,0
2024-12-13,21.96,22.27,20.98,21.72,52326.663,2024-12-13 23:59:59.999,1134958.33958000,38031,26242.25600000,569805.31374000,0
2024-12-14,21.72,22.14,20.51,21.03,58628.143,2024-12-14 23:59:59.999,1260219.47420000,35532,25446.62900000,547741.32922000,0
2024-12-15,21.04,21.88,20.59,21.84,43398.037,2024-12-15 23:59:59.999,930008.66789000,31778,22676.33400000,486582.60900000,0
2024-12-16,21.82,22.08,20.54,20.79,51630.934,2024-12-16 23:59:59.999,1095378.91359000,31311,25782.27600000,547922.34587000,0
2024-12-17,20.75,21.12,19.05,19.24,49052.131,2024-12-17 23:59:59.999,993196.20886000,19460,25486.31100000,515988.36238000,0
2024-12-18,19.23,19.55,17.02,17.12,83745.715,2024-12-18 23:59:59.999,1540856.41279000,25074,42181.11000000,775202.97530000,0
2024-12-19,17.15,17.48,15.41,16.1,63878.796,2024-12-19 23:59:59.999,1063036.73209000,22350,30124.34400000,501588.07679000,0
2024-12-20,16.08,16.5,13.55,16.23,79736.644,2024-12-20 23:59:59.999,1218691.04193000,28766,40941.36100000,629910.75675000,0
2024-12-21,16.23,17.39,15.79,16.25,53252.343,2024-12-21 23:59:59.999,877424.29032000,20462,25814.88500000,425359.77580000,0
2024-12-22,16.24,17.0,15.64,16.21,42300.519,2024-12-22 23:59:59.999,692797.47479000,19019,20634.62400000,338126.61717000,0
2024-12-23,16.21,17.28,15.0,17.02,56159.601,2024-12-23 23:59:59.999,922359.45470000,23708,26195.16800000,431160.70450000,0
2024-12-24,17.02,18.52,16.9,18.15,44535.675,2024-12-24 23:59:59.999,792092.66079000,20718,23119.00000000,411355.65583000,0
2024-12-25,18.15,18.57,17.81,18.12,40491.369,2024-12-25 23:59:59.999,734321.97515000,20431,20965.02900000,380497.30549000,0
2024-12-26,18.15,18.26,16.56,16.88,42932.738,2024-12-26 23:59:59.999,739850.17473000,20056,20510.06200000,352984.84912000,0
2024-12-27,16.89,17.47,15.53,15.81,104248.055,2024-12-27 23:59:59.999,1694638.04024000,33851,51678.26000000,838634.04633000,0
2024-12-28,15.79,17.07,15.67,17.05,38318.804,2024-12-28 23:59:59.999,627453.87966000,16539,18656.47200000,304428.49707000,0
2024-12-29,17.05,17.62,16.26,16.48,47981.136,2024-12-29 23:59:59.999,812567.19547000,18156,21264.69000000,359805.07245000,0
2024-12-30,16.48,16.85,14.99,15.54,77627.681,2024-12-30 23:59:59.999,1223807.10436000,23293,37143.46900000,586538.79289000,0
2024-12-31,15.54,16.25,15.02,15.21,52222.745,2024-12-31 23:59:59.999,815041.32509000,15851,24422.38600000,381544.79413000,0
2025-01-01,15.23,15.46,14.26,15.17,58708.826,2025-01-01 23:59:59.999,872189.77557000,17034,30561.51500000,454728.78422000,0
2025-01-02,15.18,15.94,15.05,15.59,59428.659,2025-01-02 23:59:59.999,921274.24794000,17643,30958.98800000,479297.70096000,0
2025-01-03,15.6,16.62,15.31,16.5,36511.537,2025-01-03 23:59:59.999,583684.84310000,13973,19507.93200000,312293.71233000,0
2025-01-04,16.49,16.75,16.05,16.39,32844.089,2025-01-04 23:59:59.999,539911.57515000,12475,15738.75400000,258995.03812000,0
2025-01-05,16.37,16.64,16.04,16.48,26595.045,2025-01-05 23:59:59.999,435907.39803000,9273,14360.37200000,235570.04697000,0
