Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,2.082,2.344,1.972,2.088,2157154.37,2024-11-17 23:59:59.999,4682277.45330000,42469,1087967.94000000,2367800.06204000,0
2024-11-18,2.087,2.207,1.975,2.197,742039.1,2024-11-18 23:59:59.999,1567456.30295000,26624,356510.06000000,754293.92060000,0
2024-11-19,2.196,2.204,2.1,2.151,502744.26,2024-11-19 23:59:59.999,1087463.82255000,28793,251046.84000000,543479.45527000,0
2024-11-20,2.15,2.202,2.0,2.056,496083.06,2024-11-20 23:59:59.999,1049928.04607000,23968,240113.17000000,507946.92512000,0
2024-11-21,2.056,2.218,2.02,2.139,549193.6,2024-11-21 23:59:59.999,1169292.69052000,25640,277348.43000000,590231.12057000,0
2024-11-22,2.139,2.257,2.1,2.257,585165.91,2024-11-22 23:59:59.999,1283070.94695000,23360,300359.60000000,658660.91647000,0
2024-11-23,2.257,2.451,2.234,2.377,725291.28,2024-11-23 23:59:59.999,1708985.53880000,26905,412118.27000000,970659.33147000,0
2024-11-24,2.376,2.511,2.245,2.465,616104.13,2024-11-24 23:59:59.999,1471052.92486000,24718,323403.19000000,772343.14623000,0
2024-11-25,2.467,2.569,2.371,2.542,1221498.7,2024-11-25 23:59:59.999,3035828.97008000,32438,596088.48000000,1482585.64363000,0
2024-11-26,2.542,2.678,2.257,2.32,980338.61,2024-11-26 23:59:59.999,2382099.57166000,36918,443847.49000000,1075379.77382000,0
2024-11-27,2.32,2.473,2.279,2.447,501499.9,2024-11-27 23:59:59.999,1198075.96657000,20737,252382.12000000,602363.19804000,0
2024-11-28,2.447,2.454,2.3,2.349,863756.62,2024-11-28 23:59:59.999,2031020.55670000,19424,392173.23000000,922212.12732000,0
2024-11-29,2.349,2.869,2.292,2.753,3064927.41,2024-11-29 23:59:59.999,7906046.83227000,67194,1714695.59000000,4397727.46350000,0
2024-11-30,2.753,3.55,2.703,2.869,12429843.25,2024-11-30 23:59:59.999,39503221.83110000,280024,6077272.51000000,19370574.28396000,0
2024-12-01,2.871,3.023,2.621,2.906,2649284.58,2024-12-01 23:59:59.999,7569030.49936000,57287,1271075.49000000,3638857.62247000,0
2024-12-02,2.906,3.5,2.476,3.128,4550590.44,2024-12-02 23:59:59.999,13400740.31519000,114033,2211202.73000000,6600632.85850000,0
2024-12-03,3.129,3.825,2.95,3.454,3293713.62,2024-12-03 23:59:59.999,11115091.75028000,84899,1789295.10000000,6061137.66930000,0
2024-12-04,3.454,3.99,3.266,3.419,3254042.1,2024-12-04 23:59:59.999,11633366.98938000,76965,1513734.81000000,5438135.40156000,0
2024-12-05,3.419,3.615,3.11,3.288,6694656.04,2024-12-05 23:59:59.999,22452802.33252000,192351,3261955.42000000,10963777.49292000,0
2024-12-06,3.288,3.47,3.211,3.335,2239288.02,2024-12-06 23:59:59.999,7473336.37737000,75175,1081834.81000000,3610727.24320000,0
2024-12-07,3.335,3.535,3.268,3.451,1338043.79,2024-12-07 23:59:59.999,4611318.27547000,37833,730452.35000000,2520529.71697000,0
2024-12-08,3.452,3.564,3.307,3.364,3192115.43,2024-12-08 23:59:59.999,10772055.90063000,117983,1557064.01000000,5256653.59301000,0
2024-12-09,3.364,3.367,2.7,2.97,13766639.71,2024-12-09 23:59:59.999,43816853.53479000,426953,6838916.57000000,21773791.22682000,0
2024-12-10,2.971,3.475,2.699,3.0,10568654.33,2024-12-10 23:59:59.999,31623189.80616000,420506,5281695.10000000,15818410.81146000,0
2024-12-11,3.001,3.53,2.991,3.216,17684461.73,2024-12-11 23:59:59.999,57408546.60564000,618719,8784883.91000000,28522393.15980000,0
2024-12-12,3.217,3.35,3.083,3.105,14095489.6,2024-12-12 23:59:59.999,45274067.74499000,293235,6952885.86000000,22337034.41402000,0
2024-12-13,3.105,4.544,3.003,3.723,22943027.29,2024-12-13 23:59:59.999,84138317.68137000,511778,11648385.58000000,42783195.13017000,0
2024-12-14,3.721,4.15,3.235,3.342,8634754.46,2024-12-14 23:59:59.999,31320746.53144000,205483,3997951.18000000,14556376.47933000,0
2024-12-15,3.342,3.356,3.079,3.199,3403229.2,2024-12-15 23:59:59.999,10950285.78886000,78232,1586862.75000000,5109164.87841000,0
2024-12-16,3.198,3.649,3.18,3.186,5662360.21,2024-12-16 23:59:59.999,19108490.67994000,112604,2794214.89000000,9440955.26257000,0
2024-12-17,3.186,3.312,3.1,3.119,2352099.39,2024-12-17 23:59:59.999,7529550.18648000,49433,1120575.00000000,3588087.18925000,0
2024-12-18,3.12,3.204,2.9,2.932,2457504.03,2024-12-18 23:59:59.999,7514112.23139000,41738,1131966.58000000,3464078.65757000,0
2024-12-19,2.932,3.247,2.706,2.978,4368463.74,2024-12-19 23:59:59.999,13197308.92596000,68906,2172013.57000000,6564022.55787000,0
2024-12-20,2.981,3.25,2.609,3.021,4543027.1,2024-12-20 23:59:59.999,13290076.76920000,78216,2223161.21000000,6515388.18543000,0
2024-12-21,3.021,3.164,2.847,2.992,2970505.09,2024-12-21 23:59:59.999,8898619.11167000,55100,1427769.28000000,4274215.84675000,0
2024-12-22,2.993,3.175,2.883,2.96,2914985.29,2024-12-22 23:59:59.999,8794424.41248000,48469,1445982.18000000,4363467.98858000,0
2024-12-23,2.958,3.254,2.854,3.166,2555151.33,2024-12-23 23:59:59.999,7677604.13637000,46356,1290074.78000000,3879393.77626000,0
2024-12-24,3.165,3.5,3.108,3.284,2945174.98,2024-12-24 23:59:59.999,9726980.20057000,63929,1436923.80000000,4743491.66259000,0
2024-12-25,3.284,3.315,3.113,3.159,1496738.17,2024-12-25 23:59:59.999,4809667.35286000,32237,734630.67000000,2362544.17537000,0
2024-12-26,3.16,3.188,2.945,3.01,1090455.64,2024-12-26 23:59:59.999,3303305.39979000,24605,499508.78000000,1513506.30543000,0
2024-12-27,3.01,3.108,2.919,2.985,1095096.46,2024-12-27 23:59:59.999,3301894.04539000,25928,519197.48000000,1564950.52221000,0
2024-12-28,2.984,3.073,2.874,3.054,1009603.21,2024-12-28 23:59:59.999,2990432.31369000,24124,427070.31000000,1264860.51689000,0
2024-12-29,3.054,3.089,2.905,2.95,744514.65,2024-12-29 23:59:59.999,2239628.84404000,20035,372298.59000000,1120487.49169000,0
2024-12-30,2.95,3.017,2.726,2.86,1329844.06,2024-12-30 23:59:59.999,3814729.57002000,30401,652545.79000000,1871069.14200000,0
2024-12-31,2.859,2.906,2.78,2.829,724389.87,2024-12-31 23:59:59.999,2054429.54244000,21150,385999.74000000,1094747.95790000,0
2025-01-01,2.829,2.886,2.776,2.875,702708.49,2025-01-01 23:59:59.999,1998340.10120000,17733,349249.39000000,993088.51317000,0
2025-01-02,2.876,2.978,2.872,2.946,852175.36,2025-01-02 23:59:59.999,2497361.42628000,20339,389110.01000000,1140661.32825000,0
