Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.001097,0.001104,0.00101,0.001026,2846390996.0,2024-11-17 23:59:59.999,3029197.80932700,21834,1302390162.00000000,1388328.74291600,0
2024-11-18,0.001026,0.001236,0.001019,0.001183,5548681811.0,2024-11-18 23:59:59.999,6335340.35856800,43351,2889387290.00000000,3300090.59569000,0
2024-11-19,0.001184,0.001184,0.001065,0.001105,3479923962.0,2024-11-19 23:59:59.999,3881206.45862300,26679,1569135145.00000000,1746297.57787200,0
2024-11-20,0.001106,0.001126,0.001018,0.001046,2541874888.0,2024-11-20 23:59:59.999,2739361.21992700,17537,1318035641.00000000,1423175.70553500,0
2024-11-21,0.001045,0.001157,0.001018,0.001123,2982470109.0,2024-11-21 23:59:59.999,3292391.55864900,21579,1419637511.00000000,1563705.80345800,0
2024-11-22,0.001123,0.001174,0.001087,0.001174,2239207766.0,2024-11-22 23:59:59.999,2518107.74102000,20463,1060971991.00000000,1194248.06406900,0
2024-11-23,0.001174,0.001332,0.001163,0.001276,4684468398.0,2024-11-23 23:59:59.999,5898977.26895500,37113,2327619960.00000000,2930662.18639600,0
2024-11-24,0.001276,0.001445,0.001255,0.001436,8349875357.0,2024-11-24 23:59:59.999,11383818.66950100,58372,4316180781.00000000,5884544.60241000,0
2024-11-25,0.001437,0.001487,0.00128,0.001303,5905263965.0,2024-11-25 23:59:59.999,8148999.26827600,47306,2788525290.00000000,3856931.67975300,0
2024-11-26,0.001304,0.00138,0.001225,0.001292,3376389615.0,2024-11-26 23:59:59.999,4371235.79963800,29496,1591001060.00000000,2067880.99158800,0
2024-11-27,0.001288,0.001434,0.001257,0.001417,3002230182.0,2024-11-27 23:59:59.999,4066193.67199200,24045,1540473841.00000000,2087176.55837500,0
2024-11-28,0.001418,0.001447,0.001338,0.001379,2530470808.0,2024-11-28 23:59:59.999,3514539.61744900,20868,1247789051.00000000,1732944.08830100,0
2024-11-29,0.001379,0.001455,0.001345,0.001449,2259121816.0,2024-11-29 23:59:59.999,3188636.25247300,20259,1073031754.00000000,1513437.08877900,0
2024-11-30,0.001448,0.001605,0.001421,0.001558,4480038727.0,2024-11-30 23:59:59.999,6835135.68944300,40592,2364757209.00000000,3615645.91109800,0
2024-12-01,0.001558,0.001609,0.001499,0.001598,3076663866.0,2024-12-01 23:59:59.999,4795888.53128600,29473,1587172558.00000000,2475335.74558700,0
2024-12-02,0.001599,0.001723,0.001467,0.001705,5343854119.0,2024-12-02 23:59:59.999,8485690.23887000,59598,2721264375.00000000,4335614.63067500,0
2024-12-03,0.001706,0.001963,0.001694,0.00193,10534112726.0,2024-12-03 23:59:59.999,19518888.01647200,138062,5309569295.00000000,9836681.18338500,0
2024-12-04,0.001931,0.001966,0.001831,0.001899,5659708626.0,2024-12-04 23:59:59.999,10786182.56558400,69088,2747363446.00000000,5236647.65801100,0
2024-12-05,0.0019,0.002046,0.001807,0.00191,5136668146.0,2024-12-05 23:59:59.999,10023828.35402300,76471,2446505274.00000000,4778376.84134400,0
2024-12-06,0.001911,0.00205,0.001892,0.002035,4113663148.0,2024-12-06 23:59:59.999,8169213.49662700,54957,2100062173.00000000,4172360.99416800,0
