Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,7.938,8.578,7.917,8.421,61731.49,2024-09-19 23:59:59.999,511890.05905000,25412,32783.72000000,271707.36442000,0
2024-09-20,8.421,8.744,8.285,8.725,43532.41,2024-09-20 23:59:59.999,373795.88869000,22947,23037.83000000,197948.83942000,0
2024-09-21,8.741,8.901,8.621,8.894,32437.91,2024-09-21 23:59:59.999,283755.17841000,16819,16775.78000000,146859.89410000,0
2024-09-22,8.895,8.921,8.448,8.691,39563.49,2024-09-22 23:59:59.999,342568.59802000,22076,19608.49000000,169828.58930000,0
2024-09-23,8.684,8.888,8.587,8.876,37184.29,2024-09-23 23:59:59.999,327338.19214000,20300,19844.73000000,174772.20110000,0
2024-09-24,8.876,8.948,8.656,8.948,31732.18,2024-09-24 23:59:59.999,280051.69205000,14523,17061.71000000,150696.77879000,0
2024-09-25,8.942,8.962,8.665,8.706,24672.74,2024-09-25 23:59:59.999,217928.28393000,12582,12328.75000000,108987.31789000,0
2024-09-26,8.7,8.9,8.55,8.861,38926.98,2024-09-26 23:59:59.999,341645.43401000,19933,16932.72000000,148703.00875000,0
2024-09-27,8.843,9.412,8.797,9.13,63112.26,2024-09-27 23:59:59.999,574112.50314000,27442,31963.36000000,290830.78673000,0
2024-09-28,9.132,9.369,8.692,8.782,37534.78,2024-09-28 23:59:59.999,338067.20697000,17257,14410.90000000,129929.69278000,0
2024-09-29,8.782,9.114,8.693,9.038,26688.93,2024-09-29 23:59:59.999,236523.11805000,13643,13576.37000000,120573.64316000,0
2024-09-30,9.024,9.045,8.369,8.466,35927.02,2024-09-30 23:59:59.999,310794.46148000,16223,17689.63000000,152789.04257000,0
2024-10-01,8.465,8.762,7.653,7.685,53970.75,2024-10-01 23:59:59.999,441250.95110000,18841,26647.40000000,217733.08784000,0
2024-10-02,7.692,7.93,7.461,7.543,34401.78,2024-10-02 23:59:59.999,265649.32995000,12975,18109.40000000,139759.51946000,0
2024-10-03,7.544,7.972,7.347,7.526,37905.79,2024-10-03 23:59:59.999,287688.02566000,15508,19782.27000000,150262.80997000,0
2024-10-04,7.521,7.798,7.516,7.742,23059.02,2024-10-04 23:59:59.999,176481.13536000,11890,12102.84000000,92640.35206000,0
2024-10-05,7.741,7.938,7.641,7.802,19717.43,2024-10-05 23:59:59.999,153746.90765000,11224,10324.71000000,80490.81436000,0
2024-10-06,7.796,8.293,7.747,8.288,36934.42,2024-10-06 23:59:59.999,294425.35270000,17828,17862.84000000,142408.97575000,0
2024-10-07,8.283,8.497,8.159,8.245,60853.09,2024-10-07 23:59:59.999,507465.76929000,38193,26797.19000000,223643.73870000,0
2024-10-08,8.241,8.474,8.1,8.118,62055.64,2024-10-08 23:59:59.999,514280.72706000,35588,30888.74000000,256188.76775000,0
2024-10-09,8.118,8.305,7.795,7.974,63663.24,2024-10-09 23:59:59.999,515857.32790000,39904,31782.70000000,257744.57974000,0
2024-10-10,7.97,8.137,7.77,8.007,50528.75,2024-10-10 23:59:59.999,402592.35080000,34981,28458.33000000,226814.21082000,0
2024-10-11,8.004,8.463,7.964,8.357,48468.62,2024-10-11 23:59:59.999,398170.28640000,31097,23997.56000000,197143.86834000,0
2024-10-12,8.357,8.612,8.323,8.491,43056.98,2024-10-12 23:59:59.999,365803.64806000,24480,21365.81000000,181655.36971000,0
2024-10-13,8.495,8.713,8.261,8.64,66080.87,2024-10-13 23:59:59.999,560795.72878000,34034,33670.59000000,286047.41961000,0
2024-10-14,8.641,8.891,8.498,8.86,62188.37,2024-10-14 23:59:59.999,541187.78225000,31432,33250.95000000,289458.16591000,0
2024-10-15,8.863,8.958,8.485,8.704,45911.81,2024-10-15 23:59:59.999,402253.30114000,22847,23039.99000000,201897.34053000,0
2024-10-16,8.704,8.778,8.523,8.656,36210.32,2024-10-16 23:59:59.999,313456.62830000,25328,17679.95000000,153060.18695000,0
2024-10-17,8.653,8.729,8.286,8.413,34657.85,2024-10-17 23:59:59.999,294471.68116000,25112,16450.26000000,139884.56679000,0
2024-10-18,8.414,8.539,8.337,8.484,23354.47,2024-10-18 23:59:59.999,197341.45322000,13170,11384.28000000,96208.94654000,0
2024-10-19,8.485,8.608,8.399,8.519,17780.66,2024-10-19 23:59:59.999,151185.89214000,7352,9200.95000000,78167.93765000,0
2024-10-20,8.513,8.884,8.45,8.882,30672.39,2024-10-20 23:59:59.999,267657.95167000,13513,16681.70000000,145630.50014000,0
