Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.00661,0.00697,0.00658,0.00686,81886119.7,2024-09-19 23:59:59.999,555412.87614600,8539,38477401.60000000,261171.15840000,0
2024-09-20,0.00688,0.007,0.0067,0.00695,73629754.2,2024-09-20 23:59:59.999,507458.71360700,7862,35923190.40000000,248172.83977800,0
2024-09-21,0.00695,0.007,0.0068,0.007,43835715.2,2024-09-21 23:59:59.999,303226.79823800,5153,23988796.30000000,166024.19522600,0
2024-09-22,0.00699,0.007,0.00668,0.00684,49809070.3,2024-09-22 23:59:59.999,340498.73419500,5313,19559931.90000000,133969.33108100,0
2024-09-23,0.00684,0.00701,0.00678,0.00687,69933980.8,2024-09-23 23:59:59.999,482267.41500000,6436,33608001.40000000,232210.70765100,0
2024-09-24,0.00687,0.007,0.0068,0.00698,61823927.3,2024-09-24 23:59:59.999,427876.72224200,4997,33720172.40000000,233874.47209100,0
2024-09-25,0.00698,0.00705,0.00693,0.00695,53110031.5,2024-09-25 23:59:59.999,371043.75481800,4662,19253342.50000000,134657.28055200,0
2024-09-26,0.00695,0.00718,0.00693,0.0071,78968517.0,2024-09-26 23:59:59.999,557848.56429300,6814,35776425.60000000,253528.42803100,0
2024-09-27,0.00709,0.0073,0.00704,0.00724,91589718.3,2024-09-27 23:59:59.999,658477.52536400,7902,46529689.70000000,334713.62703400,0
2024-09-28,0.00723,0.0073,0.00702,0.00716,56271979.1,2024-09-28 23:59:59.999,401334.79462100,5463,27363643.70000000,195309.75759700,0
2024-09-29,0.00716,0.00728,0.00705,0.00714,52053141.0,2024-09-29 23:59:59.999,373778.66267600,4762,28133511.70000000,202136.06316500,0
2024-09-30,0.00714,0.00716,0.00695,0.00702,64898815.6,2024-09-30 23:59:59.999,458355.82881400,5236,31655430.50000000,223762.80782500,0
2024-10-01,0.007,0.00723,0.00631,0.00641,132824101.9,2024-10-01 23:59:59.999,897284.55801600,11987,60776307.90000000,412530.13180200,0
2024-10-02,0.00642,0.0066,0.00612,0.00618,95671215.0,2024-10-02 23:59:59.999,610854.62519200,8871,45399494.00000000,290025.86286300,0
2024-10-03,0.00618,0.00631,0.006,0.00614,77528368.3,2024-10-03 23:59:59.999,477259.83190000,7377,37628027.10000000,232115.58441100,0
2024-10-04,0.00614,0.0064,0.0061,0.00637,46193252.8,2024-10-04 23:59:59.999,288690.11382700,4580,25679772.70000000,160650.07647300,0
2024-10-05,0.00638,0.00658,0.00635,0.00655,42169686.6,2024-10-05 23:59:59.999,273051.14821200,3996,22699445.40000000,147073.30188300,0
2024-10-06,0.00655,0.00683,0.00651,0.00671,139334243.2,2024-10-06 23:59:59.999,930172.29764200,10036,80384635.10000000,537898.21035200,0
2024-10-07,0.00673,0.00687,0.00665,0.00667,76404371.8,2024-10-07 23:59:59.999,515864.41996500,6298,33119866.30000000,224171.37865000,0
2024-10-08,0.00667,0.0068,0.00655,0.0066,61779983.8,2024-10-08 23:59:59.999,413801.38072600,4531,21797562.20000000,146188.48598300,0
2024-10-09,0.0066,0.00669,0.00638,0.00647,60956501.0,2024-10-09 23:59:59.999,397685.64664900,6099,29509896.50000000,192693.94452500,0
2024-10-10,0.00646,0.00649,0.00621,0.00637,59401619.2,2024-10-10 23:59:59.999,376005.01867000,6067,27689415.00000000,175361.56408100,0
2024-10-11,0.00639,0.00666,0.00633,0.00662,51518873.9,2024-10-11 23:59:59.999,334571.15226600,5437,26038192.40000000,169233.75554000,0
2024-10-12,0.00661,0.0068,0.00658,0.00674,45209099.8,2024-10-12 23:59:59.999,302267.78997500,4648,21786885.00000000,145983.24340100,0
2024-10-13,0.00674,0.00678,0.00649,0.00674,46007263.2,2024-10-13 23:59:59.999,306686.54338600,4819,26738852.90000000,178589.31739600,0
2024-10-14,0.00674,0.00693,0.00666,0.00691,80322552.7,2024-10-14 23:59:59.999,547550.08351000,4904,47165447.10000000,322232.16400800,0
2024-10-15,0.00691,0.00695,0.00665,0.00678,64236830.0,2024-10-15 23:59:59.999,436562.59675000,6121,27852958.30000000,189551.63082000,0
2024-10-16,0.00678,0.00698,0.00674,0.00678,61859505.3,2024-10-16 23:59:59.999,422242.72087200,5181,30025895.10000000,205517.38668100,0
2024-10-17,0.00678,0.00683,0.00656,0.00664,56776967.1,2024-10-17 23:59:59.999,380078.45693100,4246,29549593.00000000,197801.31748600,0
2024-10-18,0.00663,0.00681,0.00658,0.0068,31524563.8,2024-10-18 23:59:59.999,210857.23245200,3570,14892103.80000000,99712.50977200,0
2024-10-19,0.00679,0.00686,0.00674,0.00682,42827964.6,2024-10-19 23:59:59.999,291181.40400100,3569,20600481.00000000,140156.66885600,0
2024-10-20,0.00682,0.00712,0.00676,0.00709,75946526.5,2024-10-20 23:59:59.999,530190.21510200,5895,48797367.20000000,341019.00258500,0
2024-10-21,0.00711,0.00715,0.0068,0.00687,68033949.6,2024-10-21 23:59:59.999,473269.74022400,4966,26607405.40000000,186330.45512300,0
2024-10-22,0.00687,0.00702,0.00675,0.00697,59446229.5,2024-10-22 23:59:59.999,408905.14026100,4330,28007068.00000000,192972.16574800,0
2024-10-23,0.00697,0.007,0.00635,0.00635,135670345.1,2024-10-23 23:59:59.999,898474.36182100,8185,56512577.60000000,374099.46457200,0
2024-10-24,0.00635,0.00645,0.00619,0.00628,128551428.6,2024-10-24 23:59:59.999,809363.35632400,7725,79673384.20000000,502399.20953500,0
2024-10-25,0.00629,0.0063,0.0059,0.00595,155613779.5,2024-10-25 23:59:59.999,957550.29712400,7667,75317421.40000000,464013.97030100,0
2024-10-26,0.00595,0.00614,0.00551,0.00607,68947354.3,2024-10-26 23:59:59.999,410810.75907500,5858,31634403.30000000,189039.86399600,0
2024-10-27,0.00606,0.00628,0.00604,0.00617,49785682.9,2024-10-27 23:59:59.999,307404.62777500,3956,23290630.20000000,143962.74447000,0
2024-10-28,0.00619,0.0063,0.0058,0.0061,102676750.4,2024-10-28 23:59:59.999,622146.41500000,10001,46966802.50000000,285305.04337200,0
2024-10-29,0.0061,0.00626,0.00608,0.00618,106611467.6,2024-10-29 23:59:59.999,659715.81684000,10573,47447327.60000000,294117.06475400,0
2024-10-30,0.0062,0.00632,0.006,0.00613,107280850.6,2024-10-30 23:59:59.999,663449.15410500,7602,58737710.20000000,364262.17557400,0
2024-10-31,0.00611,0.00614,0.00579,0.00588,86657590.7,2024-10-31 23:59:59.999,514632.78115900,6536,43296434.30000000,257178.09629700,0
2024-11-01,0.00588,0.00598,0.00566,0.00584,70511710.5,2024-11-01 23:59:59.999,409867.41435200,5707,34128707.80000000,198663.02395100,0
2024-11-02,0.00584,0.00592,0.00563,0.00565,48324931.9,2024-11-02 23:59:59.999,278799.45986400,3904,19160043.40000000,110666.77196800,0
2024-11-03,0.00566,0.00568,0.00514,0.00525,195807042.5,2024-11-03 23:59:59.999,1043730.41929600,11616,95071350.80000000,506993.92044300,0
2024-11-04,0.00525,0.00537,0.005,0.00512,116129481.4,2024-11-04 23:59:59.999,600110.48887300,6891,56752266.00000000,293695.46762700,0
2024-11-05,0.00512,0.00564,0.00512,0.00539,173174072.6,2024-11-05 23:59:59.999,937815.91286100,8997,92259025.30000000,501014.70860100,0
2024-11-06,0.0054,0.00605,0.00539,0.00602,207494877.8,2024-11-06 23:59:59.999,1202503.16296400,13030,107339998.70000000,624132.03985600,0
2024-11-07,0.00602,0.00633,0.00594,0.00625,109979222.7,2024-11-07 23:59:59.999,673175.93666100,7997,50977734.00000000,312826.08753700,0
2024-11-08,0.00625,0.00633,0.00607,0.00629,74981913.9,2024-11-08 23:59:59.999,463943.59691300,6814,37782603.60000000,234125.13397200,0
2024-11-09,0.00629,0.00669,0.0062,0.00664,130175965.2,2024-11-09 23:59:59.999,836257.18256800,10457,69624103.50000000,447172.69858200,0
2024-11-10,0.00665,0.00749,0.00654,0.00707,292014594.7,2024-11-10 23:59:59.999,2059360.36579200,23166,154457056.70000000,1093886.00424500,0
2024-11-11,0.00707,0.0074,0.00688,0.00739,159944954.2,2024-11-11 23:59:59.999,1141575.99969500,16419,76593535.10000000,547431.52102100,0
2024-11-12,0.00739,0.00743,0.00656,0.00683,247446953.5,2024-11-12 23:59:59.999,1723627.11659400,19301,112288625.80000000,782840.68722400,0
2024-11-13,0.00683,0.00857,0.00639,0.00752,627113955.3,2024-11-13 23:59:59.999,4600147.20950600,50386,330994621.30000000,2429807.44986000,0
2024-11-14,0.00752,0.00784,0.00667,0.00695,208189428.0,2024-11-14 23:59:59.999,1480540.47570300,20899,95359710.30000000,679035.61664900,0
