Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.1088,0.1288,0.1084,0.1205,69925302.9,2024-09-19 23:59:59.999,8387306.65668000,41775,34991819.70000000,4202257.63434000,0
2024-09-20,0.1204,0.159,0.1201,0.1445,346430067.5,2024-09-20 23:59:59.999,49746782.39514000,221637,173995712.20000000,24988277.91967000,0
2024-09-21,0.1445,0.1604,0.137,0.1448,175472414.8,2024-09-21 23:59:59.999,26176839.34580000,122752,85517174.40000000,12762045.66670000,0
2024-09-22,0.1449,0.1485,0.1355,0.1454,64093603.5,2024-09-22 23:59:59.999,9175255.90503000,41776,30466153.90000000,4365702.69002000,0
2024-09-23,0.1456,0.151,0.1367,0.145,70086805.0,2024-09-23 23:59:59.999,9987428.25385000,44018,33263021.70000000,4745204.45756000,0
2024-09-24,0.1451,0.1605,0.1392,0.1518,102667948.9,2024-09-24 23:59:59.999,15407438.32549000,69442,50878995.40000000,7647601.81358000,0
2024-09-25,0.1519,0.1542,0.1418,0.1433,52268879.7,2024-09-25 23:59:59.999,7802479.18635000,37706,23508622.70000000,3515998.48175000,0
2024-09-26,0.1433,0.1449,0.137,0.1389,49920964.4,2024-09-26 23:59:59.999,7028642.65573000,33861,24421113.40000000,3441629.24824000,0
2024-09-27,0.1389,0.1437,0.1374,0.1414,36870757.5,2024-09-27 23:59:59.999,5182336.36763000,25451,18634528.50000000,2621754.93883000,0
2024-09-28,0.1414,0.1443,0.1301,0.133,29916560.0,2024-09-28 23:59:59.999,4051573.40988000,20823,13267598.40000000,1797110.28174000,0
2024-09-29,0.133,0.1373,0.1303,0.1343,24013475.2,2024-09-29 23:59:59.999,3213612.95017000,19263,11233190.90000000,1504202.56115000,0
2024-09-30,0.1343,0.135,0.1238,0.125,24647787.1,2024-09-30 23:59:59.999,3200430.93260000,19077,11414415.20000000,1481747.88758000,0
2024-10-01,0.125,0.1319,0.1067,0.1154,46024039.8,2024-10-01 23:59:59.999,5473542.48496000,32704,22166849.00000000,2640129.94100000,0
2024-10-02,0.1154,0.1206,0.1112,0.1156,30512926.8,2024-10-02 23:59:59.999,3567449.68236000,19360,14997877.70000000,1754828.01033000,0
2024-10-03,0.1156,0.1183,0.1115,0.1167,20058525.0,2024-10-03 23:59:59.999,2299515.43877000,13351,9901325.80000000,1136549.63299000,0
2024-10-04,0.1166,0.1189,0.1144,0.1183,14810759.0,2024-10-04 23:59:59.999,1738140.61194000,10530,7458849.00000000,876136.85486000,0
2024-10-05,0.1183,0.121,0.1151,0.1184,12746856.5,2024-10-05 23:59:59.999,1512616.30008000,8374,6077321.20000000,721689.74283000,0
2024-10-06,0.1185,0.1235,0.116,0.1231,10836302.3,2024-10-06 23:59:59.999,1298893.53087000,7463,5442539.20000000,652773.45383000,0
2024-10-07,0.1231,0.1252,0.1191,0.1196,20495527.6,2024-10-07 23:59:59.999,2509761.31036000,13178,8832323.40000000,1082833.06770000,0
2024-10-08,0.1197,0.1224,0.1145,0.1175,22704862.9,2024-10-08 23:59:59.999,2684019.38180000,14071,11055886.50000000,1308460.32480000,0
2024-10-09,0.1175,0.1193,0.1117,0.1126,17257664.3,2024-10-09 23:59:59.999,1996767.00804000,11403,7545641.00000000,873684.07958000,0
2024-10-10,0.1124,0.1147,0.109,0.1133,11700838.0,2024-10-10 23:59:59.999,1313075.75119000,8159,5377910.50000000,604178.40779000,0
2024-10-11,0.1134,0.1238,0.1134,0.1219,17290698.4,2024-10-11 23:59:59.999,2060383.42571000,11183,9337906.00000000,1113996.24293000,0
2024-10-12,0.1218,0.1273,0.1216,0.1231,13406816.0,2024-10-12 23:59:59.999,1662426.33497000,8604,7004380.50000000,868548.66553000,0
2024-10-13,0.1232,0.1238,0.1161,0.1224,10570495.8,2024-10-13 23:59:59.999,1272415.90786000,7610,5107188.80000000,614804.94326000,0
2024-10-14,0.1224,0.1284,0.1198,0.1259,23457948.7,2024-10-14 23:59:59.999,2915046.46658000,14935,11002630.70000000,1368828.95235000,0
2024-10-15,0.126,0.1271,0.1163,0.1215,30182852.7,2024-10-15 23:59:59.999,3675840.54022000,19356,14542178.80000000,1770922.02280000,0
2024-10-16,0.1215,0.1229,0.115,0.1158,21805602.7,2024-10-16 23:59:59.999,2578439.54226000,15124,10268372.40000000,1214464.67074000,0
2024-10-17,0.1159,0.127,0.1131,0.1237,56101562.7,2024-10-17 23:59:59.999,6720816.41006000,35571,28413787.70000000,3407896.59591000,0
2024-10-18,0.1238,0.1258,0.116,0.12,30769587.7,2024-10-18 23:59:59.999,3719820.03127000,20895,13603405.00000000,1646068.26683000,0
2024-10-19,0.12,0.1218,0.1168,0.1187,10906812.3,2024-10-19 23:59:59.999,1299026.93207000,7623,5126704.50000000,610695.46484000,0
2024-10-20,0.1188,0.146,0.1166,0.1316,97387375.8,2024-10-20 23:59:59.999,12793039.31669000,66022,48980605.90000000,6441361.63375000,0
2024-10-21,0.1317,0.135,0.1227,0.1252,31482297.3,2024-10-21 23:59:59.999,4042532.62960000,22989,13993888.30000000,1798349.45418000,0
2024-10-22,0.1253,0.1262,0.121,0.1228,18451302.4,2024-10-22 23:59:59.999,2281887.79018000,13357,7889939.40000000,975617.03594000,0
2024-10-23,0.1231,0.1232,0.1136,0.1175,15752856.2,2024-10-23 23:59:59.999,1864544.36455000,11838,6856873.70000000,812011.74065000,0
2024-10-24,0.1175,0.1221,0.1157,0.1196,15041247.5,2024-10-24 23:59:59.999,1796363.73501000,12045,7146127.10000000,854297.54767000,0
2024-10-25,0.1196,0.1207,0.1034,0.1093,17021151.3,2024-10-25 23:59:59.999,1939813.27964000,14939,7655461.10000000,873200.73056000,0
2024-10-26,0.1091,0.1116,0.1057,0.1096,14388709.1,2024-10-26 23:59:59.999,1569728.60921000,11674,7124995.20000000,777078.84328000,0
2024-10-27,0.1097,0.1133,0.1078,0.1116,13017138.8,2024-10-27 23:59:59.999,1434279.74841000,9618,6889296.60000000,760555.14079000,0
2024-10-28,0.1115,0.1145,0.108,0.1126,15361599.7,2024-10-28 23:59:59.999,1704030.56065000,11131,7289918.20000000,809720.25151000,0
2024-10-29,0.1125,0.1183,0.1121,0.1158,16700438.8,2024-10-29 23:59:59.999,1916153.30766000,10096,7795599.90000000,894866.68756000,0
2024-10-30,0.1159,0.1174,0.1126,0.1144,11673601.3,2024-10-30 23:59:59.999,1341908.40881000,8222,5284634.50000000,608334.95090000,0
2024-10-31,0.1143,0.1148,0.1068,0.1076,13372366.7,2024-10-31 23:59:59.999,1479610.65102000,8672,6442250.40000000,713796.90784000,0
2024-11-01,0.1075,0.1111,0.1045,0.1062,13728262.7,2024-11-01 23:59:59.999,1478403.59561000,8846,6582247.70000000,709399.89425000,0
2024-11-02,0.1062,0.1078,0.1025,0.1035,11356337.3,2024-11-02 23:59:59.999,1190957.23060000,7658,5277713.60000000,554807.75816000,0
2024-11-03,0.1035,0.1046,0.0968,0.1011,14384345.5,2024-11-03 23:59:59.999,1447931.27197000,9838,6479585.20000000,653913.17507000,0
2024-11-04,0.101,0.1029,0.0956,0.0982,11999455.1,2024-11-04 23:59:59.999,1198690.67234000,8808,5931962.00000000,593253.19578000,0
2024-11-05,0.0982,0.1047,0.0982,0.1039,13958269.7,2024-11-05 23:59:59.999,1425357.45023000,8537,6941063.70000000,709827.43299000,0
2024-11-06,0.1039,0.1151,0.1039,0.114,30044449.5,2024-11-06 23:59:59.999,3292765.40763000,18796,15049619.50000000,1652022.08773000,0
2024-11-07,0.1141,0.1182,0.11,0.114,24857569.0,2024-11-07 23:59:59.999,2820542.37802000,15832,12251545.30000000,1391654.78565000,0
2024-11-08,0.114,0.1149,0.1084,0.1125,21241952.4,2024-11-08 23:59:59.999,2365279.06661000,13382,10983509.10000000,1222956.48366000,0
2024-11-09,0.1124,0.1198,0.1113,0.1193,33244004.1,2024-11-09 23:59:59.999,3841528.75292000,19203,18150970.80000000,2098484.49280000,0
2024-11-10,0.1192,0.13,0.1173,0.1242,59861280.1,2024-11-10 23:59:59.999,7434522.81667000,39607,29673938.70000000,3686900.44042000,0
2024-11-11,0.1242,0.1285,0.1176,0.128,42269828.3,2024-11-11 23:59:59.999,5202589.43778000,30239,21536517.00000000,2656214.06916000,0
2024-11-12,0.1281,0.1333,0.1167,0.1242,55326994.1,2024-11-12 23:59:59.999,6851573.39723000,40413,26307023.80000000,3270658.23850000,0
2024-11-13,0.1241,0.1261,0.1117,0.1164,39731736.4,2024-11-13 23:59:59.999,4654819.34413000,31131,18734389.30000000,2195374.57950000,0
2024-11-14,0.1164,0.125,0.1117,0.119,58892030.2,2024-11-14 23:59:59.999,6974779.80652000,49045,29342285.00000000,3479940.13937000,0
2024-11-15,0.1189,0.1218,0.1137,0.1208,30263018.7,2024-11-15 23:59:59.999,3581363.66347000,23889,14614845.60000000,1732252.29000000,0
2024-11-16,0.1209,0.1285,0.1194,0.1274,29505877.1,2024-11-16 23:59:59.999,3663608.54351000,25568,14560478.20000000,1810629.99657000,0
2024-11-17,0.1275,0.1307,0.1183,0.1203,38548621.8,2024-11-17 23:59:59.999,4819410.77598000,34163,16248105.90000000,2035175.56115000,0
2024-11-18,0.12,0.1325,0.1187,0.1324,37407000.8,2024-11-18 23:59:59.999,4719772.22007000,33471,18042736.90000000,2280117.34488000,0
2024-11-19,0.1323,0.1328,0.1222,0.1261,24458725.6,2024-11-19 23:59:59.999,3128633.15187000,22657,11902050.60000000,1523909.28872000,0
2024-11-20,0.126,0.1265,0.115,0.1175,25138364.1,2024-11-20 23:59:59.999,3068885.25600000,21252,11893921.60000000,1453495.88393000,0
