Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.10384,0.10713,0.10343,0.10499,676116886.0,2024-09-19 23:59:59.999,70952774.98708000,610383,342309213.00000000,35923205.75497000,0
2024-09-20,0.10498,0.10749,0.1036,0.10555,633811834.0,2024-09-20 23:59:59.999,66923521.21183000,600794,299034782.00000000,31580482.89671000,0
2024-09-21,0.10555,0.11049,0.10404,0.10993,543908991.0,2024-09-21 23:59:59.999,58384918.48800000,421809,272415468.00000000,29236600.94450000,0
2024-09-22,0.10994,0.10998,0.10378,0.10633,432001443.0,2024-09-22 23:59:59.999,46169285.85295000,444259,203587505.00000000,21747960.34925000,0
2024-09-23,0.10632,0.10919,0.1041,0.10807,646437650.0,2024-09-23 23:59:59.999,69295249.62630000,652168,310682214.00000000,33296653.53117000,0
2024-09-24,0.10807,0.11066,0.10676,0.10979,747792653.0,2024-09-24 23:59:59.999,81130709.17684000,661879,349004280.00000000,37894600.72945000,0
2024-09-25,0.10977,0.11115,0.10801,0.10849,722241605.0,2024-09-25 23:59:59.999,79089490.80738000,611197,340102484.00000000,37252795.35292000,0
2024-09-26,0.10851,0.1207,0.10698,0.11818,1639288337.0,2024-09-26 23:59:59.999,188552421.41087000,1135145,793211323.00000000,91299186.70889000,0
2024-09-27,0.11817,0.12873,0.11698,0.12351,1623183646.0,2024-09-27 23:59:59.999,200490248.60687000,1322769,839128950.00000000,103692660.70981000,0
2024-09-28,0.12352,0.1321,0.1201,0.12806,1709881942.0,2024-09-28 23:59:59.999,217079366.19034000,1303246,847787740.00000000,107657703.78407000,0
2024-09-29,0.12807,0.13044,0.12435,0.12438,919118406.0,2024-09-29 23:59:59.999,116820746.38565000,955008,450595562.00000000,57287645.24816000,0
2024-09-30,0.12438,0.12466,0.11325,0.11421,1091853755.0,2024-09-30 23:59:59.999,131049952.02245000,856460,497880210.00000000,59719232.45420000,0
2024-10-01,0.11421,0.11935,0.1026,0.10685,1779737388.0,2024-10-01 23:59:59.999,196843323.55122000,801553,878641237.00000000,97150955.21866000,0
2024-10-02,0.10686,0.10951,0.10223,0.10462,1041484705.0,2024-10-02 23:59:59.999,110503318.66610000,406965,514188173.00000000,54538814.64526000,0
2024-10-03,0.10462,0.1068,0.10108,0.10507,990157071.0,2024-10-03 23:59:59.999,102861284.10270000,377607,467437061.00000000,48560850.73453000,0
2024-10-04,0.10506,0.11059,0.10475,0.10924,814968617.0,2024-10-04 23:59:59.999,88200223.83915000,269050,364166432.00000000,39431824.84494000,0
2024-10-05,0.10924,0.11025,0.10747,0.1094,398463760.0,2024-10-05 23:59:59.999,43444855.41382000,156882,185631700.00000000,20242651.11522000,0
2024-10-06,0.10941,0.11291,0.10839,0.11159,470748830.0,2024-10-06 23:59:59.999,52075342.22264000,211012,218959391.00000000,24215353.84462000,0
2024-10-07,0.11159,0.11547,0.10823,0.10841,1181346500.0,2024-10-07 23:59:59.999,132719098.40515000,475322,601228810.00000000,67608240.16286000,0
2024-10-08,0.10841,0.10986,0.10523,0.10709,680791688.0,2024-10-08 23:59:59.999,73260279.94915000,305731,340890653.00000000,36688572.71582000,0
2024-10-09,0.10709,0.11153,0.10608,0.10794,791794301.0,2024-10-09 23:59:59.999,86440098.29864000,321227,377348140.00000000,41196704.22494000,0
2024-10-10,0.10795,0.10865,0.10311,0.10603,713401352.0,2024-10-10 23:59:59.999,75480373.87441000,308053,322649514.00000000,34154157.29658000,0
2024-10-11,0.10603,0.11144,0.10566,0.11077,595969049.0,2024-10-11 23:59:59.999,65149605.37940000,235788,306306589.00000000,33515707.36282000,0
2024-10-12,0.11077,0.11219,0.10933,0.11138,415506248.0,2024-10-12 23:59:59.999,46198872.11619000,190256,193656596.00000000,21534167.63880000,0
2024-10-13,0.11138,0.11211,0.10864,0.1114,478777808.0,2024-10-13 23:59:59.999,53079710.16742000,226723,235812832.00000000,26142235.74253000,0
2024-10-14,0.1114,0.11771,0.10931,0.11669,1252447368.0,2024-10-14 23:59:59.999,142573579.35614000,413972,648328502.00000000,73777619.16633000,0
2024-10-15,0.11669,0.11932,0.11016,0.11748,1635590225.0,2024-10-15 23:59:59.999,188363244.84756000,643091,800861738.00000000,92263695.23589000,0
2024-10-16,0.11748,0.12999,0.1158,0.12573,3073408118.0,2024-10-16 23:59:59.999,382348743.03303000,865497,1473782481.00000000,183309511.25985000,0
2024-10-17,0.12574,0.131,0.12048,0.12967,1921830268.0,2024-10-17 23:59:59.999,239921133.28091000,571717,969201716.00000000,121046076.78256000,0
2024-10-18,0.12967,0.14083,0.12952,0.13716,2574606384.0,2024-10-18 23:59:59.999,349018617.59602000,848719,1253641141.00000000,169928651.15249000,0
