Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,4.177,4.352,4.177,4.255,4658192.56,2024-09-19 23:59:59.999,19817235.20155000,64863,2178485.68000000,9262543.92627000,0
2024-09-20,4.255,4.404,4.19,4.34,4540903.46,2024-09-20 23:59:59.999,19590156.37523000,55748,2318134.56000000,10011756.39755000,0
2024-09-21,4.339,4.477,4.282,4.462,2465166.54,2024-09-21 23:59:59.999,10802753.21114000,35201,1185147.43000000,5192551.23226000,0
2024-09-22,4.46,4.483,4.234,4.311,2410272.28,2024-09-22 23:59:59.999,10500125.54048000,37253,1048031.75000000,4567696.20899000,0
2024-09-23,4.31,4.462,4.233,4.458,3549403.67,2024-09-23 23:59:59.999,15572255.46289000,59614,1723667.44000000,7566842.61342000,0
2024-09-24,4.458,4.684,4.401,4.635,4816662.23,2024-09-24 23:59:59.999,21852476.87401000,71793,2231481.85000000,10124952.98568000,0
2024-09-25,4.636,4.773,4.59,4.637,3965799.79,2024-09-25 23:59:59.999,18568345.42913000,76184,1950010.71000000,9129192.72577000,0
2024-09-26,4.637,4.878,4.564,4.814,3813731.87,2024-09-26 23:59:59.999,18144226.17780000,73685,1762258.07000000,8388560.60372000,0
2024-09-27,4.814,4.964,4.809,4.882,4302233.12,2024-09-27 23:59:59.999,21054523.50476000,68675,1884592.30000000,9228034.37419000,0
2024-09-28,4.883,4.93,4.746,4.794,2346081.15,2024-09-28 23:59:59.999,11323964.67363000,44101,1009865.16000000,4874839.72068000,0
2024-09-29,4.794,4.858,4.682,4.767,2288995.53,2024-09-29 23:59:59.999,10921605.08779000,49414,1089780.66000000,5201560.09456000,0
2024-09-30,4.767,4.771,4.399,4.432,4303691.53,2024-09-30 23:59:59.999,19804776.77364000,83551,2056858.54000000,9462975.04160000,0
2024-10-01,4.432,4.563,4.051,4.154,8519076.94,2024-10-01 23:59:59.999,36807460.52113000,136213,4394384.58000000,19009272.08992000,0
2024-10-02,4.154,4.27,4.004,4.102,4868593.35,2024-10-02 23:59:59.999,20216542.77875000,109613,2458963.30000000,10216605.91659000,0
2024-10-03,4.102,4.173,3.989,4.129,4867140.66,2024-10-03 23:59:59.999,19828943.46369000,93879,1966602.68000000,8013340.66888000,0
2024-10-04,4.129,4.212,4.106,4.194,3025511.57,2024-10-04 23:59:59.999,12597674.72679000,65274,1480880.30000000,6166717.19056000,0
2024-10-05,4.194,4.234,4.075,4.139,1785207.19,2024-10-05 23:59:59.999,7436986.80122000,36880,816700.84000000,3404366.69144000,0
2024-10-06,4.139,4.195,4.097,4.191,1577602.61,2024-10-06 23:59:59.999,6557940.23410000,31733,755681.21000000,3142060.42345000,0
2024-10-07,4.19,4.272,4.126,4.131,3779052.3,2024-10-07 23:59:59.999,15901823.96343000,67923,1732641.74000000,7290928.34497000,0
2024-10-08,4.13,4.184,4.045,4.104,3238080.04,2024-10-08 23:59:59.999,13334540.83259000,57741,1481165.84000000,6099990.25798000,0
