Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1896,0.1923,0.1737,0.1776,19960439.0,2024-11-17 23:59:59.999,3639645.49580000,38915,8738695.00000000,1596144.91230000,0
2024-11-18,0.1777,0.2045,0.176,0.2009,44602103.0,2024-11-18 23:59:59.999,8600115.90030000,73625,22172739.00000000,4278620.61050000,0
2024-11-19,0.2009,0.2061,0.1848,0.1899,19790382.0,2024-11-19 23:59:59.999,3854793.59190000,39954,9832770.00000000,1916584.15360000,0
2024-11-20,0.19,0.19,0.1733,0.177,21128888.0,2024-11-20 23:59:59.999,3865511.55720000,36043,9453034.00000000,1726692.37180000,0
2024-11-21,0.177,0.1923,0.1703,0.1907,16340872.0,2024-11-21 23:59:59.999,2996603.21090000,30954,8367659.00000000,1532724.01950000,0
2024-11-22,0.1909,0.1985,0.1855,0.1981,15122324.0,2024-11-22 23:59:59.999,2893470.12910000,33522,7075580.00000000,1354154.64840000,0
2024-11-23,0.1983,0.2162,0.1944,0.2128,26130320.0,2024-11-23 23:59:59.999,5388520.84720000,56801,12524405.00000000,2588155.34850000,0
2024-11-24,0.2127,0.23,0.2044,0.2268,31826358.0,2024-11-24 23:59:59.999,6967064.77830000,68356,16135043.00000000,3533661.97570000,0
2024-11-25,0.2268,0.2331,0.214,0.2211,23769659.0,2024-11-25 23:59:59.999,5337904.33940000,61835,11631565.00000000,2613116.55200000,0
2024-11-26,0.221,0.2329,0.2052,0.2251,31463375.0,2024-11-26 23:59:59.999,6892092.34970000,77464,15771010.00000000,3458545.59700000,0
2024-11-27,0.225,0.239,0.2189,0.2337,29889705.0,2024-11-27 23:59:59.999,6907868.53720000,69169,14888979.00000000,3443336.42360000,0
2024-11-28,0.2335,0.2431,0.225,0.2371,16933281.0,2024-11-28 23:59:59.999,3944744.37910000,41662,8371141.00000000,1952138.72230000,0
2024-11-29,0.2372,0.2588,0.2312,0.2565,18712874.0,2024-11-29 23:59:59.999,4615581.97990000,42778,9495807.00000000,2344543.16770000,0
2024-11-30,0.2565,0.2795,0.2508,0.2751,19957411.0,2024-11-30 23:59:59.999,5306148.57200000,46700,9952747.00000000,2649689.59890000,0
2024-12-01,0.2752,0.3011,0.2653,0.2826,24478916.0,2024-12-01 23:59:59.999,7051497.89070000,56817,11238942.00000000,3235901.73350000,0
2024-12-02,0.2824,0.2939,0.2644,0.2928,20399712.0,2024-12-02 23:59:59.999,5698914.39870000,53602,9412610.00000000,2631906.51660000,0
2024-12-03,0.2928,0.3385,0.2879,0.3195,49426113.0,2024-12-03 23:59:59.999,15635037.09980000,112044,24470750.00000000,7739575.07440000,0
