Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,26.2,27.82,26.16,27.31,140303.43,2024-09-19 23:59:59.999,3802185.24050000,22807,73223.39000000,1981716.94260000,0
2024-09-20,27.31,28.39,27.19,27.9,132235.95,2024-09-20 23:59:59.999,3678801.05950000,19526,68160.68000000,1897043.57750000,0
2024-09-21,27.92,29.0,27.61,28.9,83965.01,2024-09-21 23:59:59.999,2382572.37750000,14351,42696.48000000,1211091.02480000,0
2024-09-22,28.92,28.96,27.25,28.16,84224.88,2024-09-22 23:59:59.999,2361155.41420000,14348,43718.40000000,1225414.18260000,0
2024-09-23,28.17,29.2,27.58,28.88,125791.78,2024-09-23 23:59:59.999,3597392.58680000,19665,62151.32000000,1778169.13310000,0
2024-09-24,28.9,29.18,27.88,29.04,107495.89,2024-09-24 23:59:59.999,3067900.18420000,24395,55738.05000000,1590920.07660000,0
2024-09-25,29.06,29.55,28.68,28.97,113445.89,2024-09-25 23:59:59.999,3305359.00380000,19785,55970.70000000,1631410.06320000,0
2024-09-26,28.97,30.0,28.44,29.74,123292.61,2024-09-26 23:59:59.999,3638639.20830000,23284,63049.38000000,1862885.34210000,0
2024-09-27,29.74,30.5,29.4,30.18,118221.2,2024-09-27 23:59:59.999,3555331.27380000,20698,57298.05000000,1724259.74240000,0
2024-09-28,30.18,30.44,28.78,29.29,96903.83,2024-09-28 23:59:59.999,2862269.05670000,16799,43657.97000000,1288723.95460000,0
2024-09-29,29.28,30.16,28.35,29.38,158031.76,2024-09-29 23:59:59.999,4603220.79340000,29877,87258.45000000,2540290.05870000,0
2024-09-30,29.39,29.53,27.18,27.41,130556.23,2024-09-30 23:59:59.999,3705360.32240000,26645,58947.36000000,1673790.23390000,0
2024-10-01,27.41,28.33,23.96,25.25,270578.83,2024-10-01 23:59:59.999,7071655.65210000,41595,122479.89000000,3205535.09390000,0
2024-10-02,25.25,26.15,23.96,24.65,168312.27,2024-10-02 23:59:59.999,4219448.76380000,26618,82692.55000000,2079058.56250000,0
2024-10-03,24.62,25.3,23.77,24.61,181799.88,2024-10-03 23:59:59.999,4447804.30400000,26849,87587.90000000,2147278.14860000,0
2024-10-04,24.62,25.31,24.38,25.24,87648.02,2024-10-04 23:59:59.999,2184954.57850000,14251,48306.18000000,1205030.06980000,0
2024-10-05,25.23,25.41,24.72,25.16,50280.96,2024-10-05 23:59:59.999,1263537.94700000,9434,24690.65000000,620570.62260000,0
2024-10-06,25.13,26.22,24.88,25.69,111405.88,2024-10-06 23:59:59.999,2860422.51960000,19534,53759.06000000,1381569.65980000,0
2024-10-07,25.68,26.31,25.1,25.37,150355.02,2024-10-07 23:59:59.999,3879191.11300000,22463,71094.00000000,1835737.12360000,0
2024-10-08,25.37,25.75,24.81,25.5,128946.94,2024-10-08 23:59:59.999,3259763.69570000,21654,67712.37000000,1713500.75100000,0
2024-10-09,25.51,25.82,24.5,24.64,102615.36,2024-10-09 23:59:59.999,2581427.55780000,18883,48209.35000000,1213359.20410000,0
2024-10-10,24.65,25.0,24.0,24.85,116306.53,2024-10-10 23:59:59.999,2854910.87710000,19542,58746.20000000,1443408.87340000,0
2024-10-11,24.85,26.13,24.68,26.1,135103.24,2024-10-11 23:59:59.999,3454374.80460000,23717,75440.38000000,1926317.32180000,0
2024-10-12,26.11,27.92,26.1,27.4,164265.77,2024-10-12 23:59:59.999,4443491.12860000,34926,79139.79000000,2143200.84180000,0
