Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,2.495,2.538,2.339,2.401,6817082.65,2024-11-17 23:59:59.999,16600150.94688000,71211,3217767.73000000,7845025.77404000,0
2024-11-18,2.403,2.714,2.273,2.688,17091939.49,2024-11-18 23:59:59.999,42271085.91887000,170447,8698807.18000000,21488361.51040000,0
2024-11-19,2.688,2.699,2.356,2.417,9370095.61,2024-11-19 23:59:59.999,23191637.95460000,105536,4621776.61000000,11452408.94635000,0
2024-11-20,2.416,2.422,2.18,2.222,8044477.79,2024-11-20 23:59:59.999,18566214.84004000,90061,4074861.74000000,9392857.43171000,0
2024-11-21,2.221,2.827,2.142,2.609,24593783.48,2024-11-21 23:59:59.999,61392987.62442000,237044,12507458.73000000,31245629.54209000,0
2024-11-22,2.609,2.746,2.433,2.596,11126129.19,2024-11-22 23:59:59.999,28393369.50503000,117535,5701680.09000000,14557647.25826000,0
2024-11-23,2.596,2.864,2.515,2.777,16265033.58,2024-11-23 23:59:59.999,43628638.54162000,166774,8138365.04000000,21864182.62223000,0
2024-11-24,2.771,3.109,2.53,2.935,16225208.25,2024-11-24 23:59:59.999,45408106.99445000,188417,7787970.56000000,21749237.15899000,0
2024-11-25,2.935,3.369,2.889,3.169,22731107.07,2024-11-25 23:59:59.999,70724475.33541000,283272,11549123.72000000,35950636.35978000,0
2024-11-26,3.167,3.41,2.892,3.375,18736327.2,2024-11-26 23:59:59.999,59537219.31284000,245214,10175596.42000000,32428111.72394000,0
2024-11-27,3.375,4.148,3.275,3.85,30196222.49,2024-11-27 23:59:59.999,110728419.25755000,364902,15286122.47000000,55988925.06648000,0
2024-11-28,3.85,3.93,3.554,3.633,10610286.95,2024-11-28 23:59:59.999,39724822.28787000,151758,5099706.29000000,19093523.20638000,0
2024-11-29,3.634,3.701,3.5,3.569,6837303.4,2024-11-29 23:59:59.999,24571065.73282000,91155,3311744.51000000,11912341.25196000,0
2024-11-30,3.567,3.967,3.542,3.625,14076384.89,2024-11-30 23:59:59.999,52541865.55094000,173498,7761678.16000000,28930846.42568000,0
2024-12-01,3.626,4.135,3.591,3.837,14511112.85,2024-12-01 23:59:59.999,56185598.64762000,199756,7316908.56000000,28369275.02226000,0
2024-12-02,3.836,3.923,3.348,3.858,13789833.74,2024-12-02 23:59:59.999,51101444.16106000,180249,6700401.06000000,24844750.04959000,0
2024-12-03,3.858,3.989,3.534,3.958,13220573.11,2024-12-03 23:59:59.999,50692437.63300000,243739,6730499.18000000,25859965.52190000,0
2024-12-04,3.958,4.346,3.791,3.853,24891918.56,2024-12-04 23:59:59.999,99709237.16227000,327162,13548417.67000000,54310319.50507000,0
2024-12-05,3.852,3.996,3.6,3.817,12531310.08,2024-12-05 23:59:59.999,48137064.04994000,156763,6165887.71000000,23708436.04580000,0
2024-12-06,3.819,5.075,3.793,4.734,30919414.61,2024-12-06 23:59:59.999,139881817.77588000,431173,16643512.90000000,75429113.77068000,0
2024-12-07,4.734,5.022,4.347,4.461,13964513.65,2024-12-07 23:59:59.999,64634192.71710000,181334,6610039.51000000,30667852.46933000,0
2024-12-08,4.46,4.98,4.365,4.776,11421233.14,2024-12-08 23:59:59.999,53132637.45051000,168233,5740223.85000000,26706266.04026000,0
2024-12-09,4.777,4.95,3.818,4.563,22322449.2,2024-12-09 23:59:59.999,101783480.29150000,361446,10632409.84000000,48558429.67592000,0
2024-12-10,4.563,4.858,4.057,4.287,24530342.42,2024-12-10 23:59:59.999,109544246.71401000,340877,11661371.97000000,52067029.88731000,0
2024-12-11,4.289,5.298,4.163,5.125,21947999.35,2024-12-11 23:59:59.999,105274293.84084000,338034,10900768.90000000,52408071.51727000,0
2024-12-12,5.124,5.394,4.825,4.909,16108899.25,2024-12-12 23:59:59.999,82662685.48484000,257981,8255694.31000000,42410867.72714000,0
2024-12-13,4.905,5.2,4.739,4.905,8503772.75,2024-12-13 23:59:59.999,42125509.93652000,139645,4236825.87000000,21005148.33248000,0
2024-12-14,4.904,4.997,4.481,4.633,6633647.98,2024-12-14 23:59:59.999,31226224.77441000,111642,3068590.63000000,14458618.69785000,0
2024-12-15,4.633,5.072,4.52,5.022,8337684.86,2024-12-15 23:59:59.999,40070578.50132000,143530,4270850.29000000,20541676.30421000,0
2024-12-16,5.022,5.599,4.873,5.496,14982479.03,2024-12-16 23:59:59.999,77849788.05323000,275285,7756327.00000000,40345496.26285000,0
2024-12-17,5.496,5.659,5.009,5.07,10364034.87,2024-12-17 23:59:59.999,55307610.37510000,187986,4923955.36000000,26333859.49430000,0
2024-12-18,5.07,5.389,4.6,4.964,15110534.9,2024-12-18 23:59:59.999,76941948.47433000,270878,7570558.04000000,38602241.91076000,0
2024-12-19,4.965,5.095,4.138,4.226,20251078.06,2024-12-19 23:59:59.999,93470523.38672000,324960,9430341.67000000,43579378.78513000,0
2024-12-20,4.225,4.328,3.508,4.185,24111322.73,2024-12-20 23:59:59.999,94437490.66013000,301923,11127943.49000000,43639546.70492000,0
2024-12-21,4.183,4.487,3.66,3.768,12415160.56,2024-12-21 23:59:59.999,49687515.79340000,178864,5726661.66000000,22934392.14821000,0
2024-12-22,3.768,3.846,3.533,3.609,8699407.44,2024-12-22 23:59:59.999,32190238.67920000,143036,4401660.16000000,16303374.38701000,0
2024-12-23,3.608,4.026,3.52,3.903,10071203.82,2024-12-23 23:59:59.999,37760388.61217000,151735,5304898.92000000,19909477.50302000,0
2024-12-24,3.901,4.051,3.721,3.975,7742209.14,2024-12-24 23:59:59.999,30025404.10139000,101354,3825996.17000000,14839916.17057000,0
2024-12-25,3.975,3.975,3.681,3.762,6607794.03,2024-12-25 23:59:59.999,25163159.99223000,88057,3161714.46000000,12047217.07379000,0
2024-12-26,3.76,3.806,3.293,3.335,13083102.25,2024-12-26 23:59:59.999,45553474.15309000,172566,5756116.37000000,19994717.84309000,0
2024-12-27,3.335,3.615,3.313,3.4,9569669.4,2024-12-27 23:59:59.999,33173906.30169000,111222,4575420.16000000,15876724.75662000,0
2024-12-28,3.399,3.589,3.318,3.577,4742954.74,2024-12-28 23:59:59.999,16175900.95077000,59132,2349409.81000000,8024576.74304000,0
2024-12-29,3.58,3.591,3.281,3.323,3682315.07,2024-12-29 23:59:59.999,12574082.29857000,58720,1648697.56000000,5633094.16602000,0
2024-12-30,3.323,3.789,3.303,3.672,14106874.13,2024-12-30 23:59:59.999,50437781.92851000,158387,6829473.75000000,24426063.09212000,0
2024-12-31,3.674,3.852,3.467,3.519,9548626.92,2024-12-31 23:59:59.999,34844905.16534000,102252,4588634.25000000,16789746.27424000,0
2025-01-01,3.52,3.7,3.392,3.633,6345893.54,2025-01-01 23:59:59.999,22625231.13720000,81887,3203239.37000000,11426789.98857000,0
2025-01-02,3.633,3.947,3.61,3.752,6917391.97,2025-01-02 23:59:59.999,26019339.18260000,93525,3387969.05000000,12752139.83136000,0
2025-01-03,3.753,4.128,3.575,4.036,7831152.58,2025-01-03 23:59:59.999,30190266.23308000,105826,3821168.56000000,14721548.24747000,0
2025-01-04,4.037,4.204,3.89,4.051,6793111.53,2025-01-04 23:59:59.999,27425231.15562000,100436,3351719.09000000,13549903.85746000,0
2025-01-05,4.053,4.225,3.926,4.119,5488491.54,2025-01-05 23:59:59.999,22213925.63454000,80471,2603938.91000000,10549082.60326000,0
2025-01-06,4.12,4.274,3.983,4.055,6735540.7,2025-01-06 23:59:59.999,27652456.31654000,89495,3335556.19000000,13695107.23291000,0
2025-01-07,4.054,4.055,3.558,3.567,9384888.46,2025-01-07 23:59:59.999,35799502.61692000,142510,4335104.75000000,16564831.45761000,0
2025-01-08,3.568,3.653,3.244,3.421,13902936.89,2025-01-08 23:59:59.999,47470781.20366000,139146,6348104.50000000,21691637.10406000,0
2025-01-09,3.419,3.471,3.139,3.201,7540293.75,2025-01-09 23:59:59.999,24805550.67363000,97482,3565312.51000000,11737717.11529000,0
2025-01-10,3.201,3.352,3.064,3.118,8034814.41,2025-01-10 23:59:59.999,25740926.93721000,95295,3821367.63000000,12260783.09723000,0
2025-01-11,3.118,3.196,2.992,3.102,4770559.69,2025-01-11 23:59:59.999,14745221.11079000,57153,2497081.04000000,7726145.79005000,0
