Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.5539,0.6074,0.5443,0.554,166903192.6,2024-11-17 23:59:59.999,95642105.93955400,303749,83178538.50000000,47683471.07847900,0
2024-11-18,0.554,0.6329,0.546,0.5796,198544687.25,2024-11-18 23:59:59.999,115380860.24676700,319274,95501726.73000000,55525068.15128700,0
2024-11-19,0.5796,0.581,0.5282,0.5343,103702276.6,2024-11-19 23:59:59.999,57328647.06678600,156023,49716555.42000000,27495272.69369700,0
2024-11-20,0.5345,0.547,0.5013,0.5158,113176018.69,2024-11-20 23:59:59.999,59483545.68457800,159829,54789017.51000000,28834221.86882300,0
2024-11-21,0.5159,0.606,0.4964,0.5922,161845124.95,2024-11-21 23:59:59.999,90330654.88064400,261397,81266545.55000000,45389597.63836600,0
2024-11-22,0.5922,0.6305,0.5735,0.5957,143273647.42,2024-11-22 23:59:59.999,85926087.46511400,252190,70607014.38000000,42390536.59577700,0
2024-11-23,0.5959,0.6835,0.588,0.6679,176359684.09,2024-11-23 23:59:59.999,113365778.01696700,377625,90029878.57000000,57937535.46582900,0
2024-11-24,0.668,0.6878,0.5844,0.6808,147231999.29,2024-11-24 23:59:59.999,93578820.72298100,288349,73233970.11000000,46618426.81194000,0
2024-11-25,0.6809,0.7184,0.6108,0.6309,140985778.12,2024-11-25 23:59:59.999,92807138.29656600,351649,71015231.36000000,46783865.82551200,0
2024-11-26,0.6311,0.6498,0.5558,0.6006,183870121.96,2024-11-26 23:59:59.999,109551628.70819300,340422,91133114.11000000,54298474.92244900,0
2024-11-27,0.6006,0.74,0.5913,0.7083,183991080.78,2024-11-27 23:59:59.999,121962669.76729100,364033,94090356.37000000,62452931.60310800,0
2024-11-28,0.7083,0.7622,0.681,0.7074,177349787.29,2024-11-28 23:59:59.999,127483655.56191400,410932,91131449.30000000,65585381.15240900,0
2024-11-29,0.7076,0.7961,0.6869,0.7905,130450975.6,2024-11-29 23:59:59.999,97194727.15192200,339584,72299462.52000000,54002967.44075200,0
2024-11-30,0.7906,0.8598,0.77,0.8438,124108813.14,2024-11-30 23:59:59.999,99689549.93946100,408842,65663745.14000000,52804415.03162600,0
2024-12-01,0.8439,0.8888,0.8052,0.824,115138764.11,2024-12-01 23:59:59.999,96763882.43558700,372222,60603786.51000000,50990296.51118000,0
