Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1856,0.1856,0.1695,0.1734,29253389.0,2024-11-17 23:59:59.999,5200452.01895000,38927,14524597.80000000,2584821.90553000,0
2024-11-18,0.1734,0.2275,0.1722,0.2102,157862533.6,2024-11-18 23:59:59.999,32633194.55413000,202865,80201152.00000000,16573561.06698000,0
2024-11-19,0.2101,0.2173,0.1934,0.1995,47332713.5,2024-11-19 23:59:59.999,9752687.20042000,63584,21839831.20000000,4505592.01287000,0
2024-11-20,0.1994,0.2022,0.1849,0.1904,24853027.1,2024-11-20 23:59:59.999,4820066.02082000,42288,11902073.30000000,2311024.58421000,0
2024-11-21,0.1905,0.2035,0.1837,0.2005,27653185.9,2024-11-21 23:59:59.999,5388768.38675000,45960,12762025.20000000,2485835.64646000,0
2024-11-22,0.2004,0.2102,0.1918,0.2099,28059121.1,2024-11-22 23:59:59.999,5622374.34952000,44245,13401416.70000000,2685967.56162000,0
2024-11-23,0.2098,0.2423,0.2066,0.2397,62087886.6,2024-11-23 23:59:59.999,14125848.76144000,105560,31079513.10000000,7071742.80016000,0
2024-11-24,0.2397,0.3139,0.2372,0.303,228681569.7,2024-11-24 23:59:59.999,64132459.38453000,427076,114123811.60000000,32037176.98517000,0
2024-11-25,0.303,0.3051,0.268,0.2748,80657178.6,2024-11-25 23:59:59.999,22751694.73173000,159531,38160151.00000000,10768207.66869000,0
2024-11-26,0.2745,0.2897,0.2552,0.2687,49457013.8,2024-11-26 23:59:59.999,13491158.40002000,104770,24224111.70000000,6615369.42683000,0
2024-11-27,0.2687,0.2976,0.2606,0.286,30923268.2,2024-11-27 23:59:59.999,8528441.26433000,63773,15853850.00000000,4376857.48893000,0
2024-11-28,0.286,0.3043,0.2699,0.2951,36862463.7,2024-11-28 23:59:59.999,10619565.46272000,75224,18274196.10000000,5270376.79020000,0
2024-11-29,0.295,0.3058,0.2799,0.303,30968899.6,2024-11-29 23:59:59.999,9051283.78934000,69438,15357511.70000000,4493586.50382000,0
2024-11-30,0.303,0.357,0.2951,0.3294,59656736.8,2024-11-30 23:59:59.999,19431868.66076000,136750,30081559.40000000,9791228.41417000,0
