Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,18.37,19.32,17.34,17.67,1366093.12,2024-11-17 23:59:59.999,24934580.61090000,112744,706489.84000000,12943861.62710000,0
2024-11-18,17.68,19.23,17.58,19.19,1216377.64,2024-11-18 23:59:59.999,22231144.74660000,94911,605091.20000000,11075515.23670000,0
2024-11-19,19.19,19.43,17.75,18.28,941328.11,2024-11-19 23:59:59.999,17295992.01020000,69529,453109.24000000,8330814.63470000,0
2024-11-20,18.28,18.46,16.95,17.35,924498.76,2024-11-20 23:59:59.999,16381257.59590000,66491,445412.05000000,7891278.50400000,0
2024-11-21,17.35,19.61,16.77,19.02,2506239.74,2024-11-21 23:59:59.999,46960932.51530000,164934,1262374.92000000,23650728.56530000,0
2024-11-22,19.03,19.99,18.5,19.75,1885913.73,2024-11-22 23:59:59.999,36414250.60310000,138565,940206.74000000,18181760.47450000,0
2024-11-23,19.76,21.46,19.31,20.62,2743226.03,2024-11-23 23:59:59.999,55916267.50890000,231437,1375082.07000000,28062073.50180000,0
2024-11-24,20.63,21.57,18.82,20.26,2129041.83,2024-11-24 23:59:59.999,43064334.33700000,197765,1017362.77000000,20582477.79520000,0
2024-11-25,20.27,26.11,19.57,23.78,6641022.1,2024-11-25 23:59:59.999,156338877.17850000,514755,3566796.89000000,83982955.18420000,0
2024-11-26,23.78,24.1,21.49,22.47,2938035.27,2024-11-26 23:59:59.999,67064304.25960000,164794,1421271.99000000,32486715.41970000,0
2024-11-27,22.46,34.26,21.9,34.08,7189296.81,2024-11-27 23:59:59.999,198618610.27830000,468108,3990642.10000000,110825508.41180000,0
2024-11-28,34.08,38.98,31.83,34.51,9914821.45,2024-11-28 23:59:59.999,346645729.02550000,952709,4981237.84000000,174346647.14750000,0
2024-11-29,34.51,35.21,32.77,33.03,2318623.51,2024-11-29 23:59:59.999,78119613.87280000,227713,1102636.24000000,37183703.64520000,0
2024-11-30,33.02,47.47,32.09,40.22,12515949.25,2024-11-30 23:59:59.999,514614765.49590000,1442966,6281309.45000000,258890500.63440000,0
2024-12-01,40.22,43.04,39.29,41.27,3164031.67,2024-12-01 23:59:59.999,130014478.87150000,363732,1643432.06000000,67610984.42110000,0
2024-12-02,41.28,46.39,38.0,41.73,4215918.98,2024-12-02 23:59:59.999,176398865.89220000,438626,2089230.06000000,87572643.74510000,0
