Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.6734,0.6834,0.6045,0.6166,34174692.6,2024-11-17 23:59:59.999,21819664.06245000,107987,16553218.00000000,10561089.68634000,0
2024-11-18,0.6166,0.6924,0.6148,0.6791,31432427.3,2024-11-18 23:59:59.999,20666279.03715000,108453,15593088.10000000,10269785.47338000,0
2024-11-19,0.679,0.6833,0.6336,0.6517,17805607.7,2024-11-19 23:59:59.999,11666379.31625000,54622,8262576.90000000,5413817.17963000,0
2024-11-20,0.6517,0.6651,0.6095,0.6236,19879422.8,2024-11-20 23:59:59.999,12672379.63681000,69249,10124841.00000000,6458107.45491000,0
2024-11-21,0.6241,0.6695,0.6071,0.6678,26311575.3,2024-11-21 23:59:59.999,17021197.83783000,91044,13018083.30000000,8413020.74758000,0
2024-11-22,0.6681,0.7538,0.6571,0.744,65072794.9,2024-11-22 23:59:59.999,46074651.20612000,202987,32432355.40000000,22964103.46819000,0
2024-11-23,0.7442,0.8193,0.7435,0.7639,67720879.3,2024-11-23 23:59:59.999,52609073.07920000,234197,33056643.00000000,25686724.39248000,0
2024-11-24,0.7641,0.921,0.7583,0.8505,84676698.0,2024-11-24 23:59:59.999,70814674.23513000,312668,41904303.90000000,35113938.78604000,0
2024-11-25,0.8506,0.8576,0.782,0.8012,36655293.4,2024-11-25 23:59:59.999,30170937.39436000,145240,16872073.70000000,13900242.99055000,0
2024-11-26,0.8013,0.8461,0.7594,0.7961,38424054.4,2024-11-26 23:59:59.999,30800235.17051000,165476,19270247.90000000,15437797.07396000,0
2024-11-27,0.7961,0.8362,0.7708,0.8298,24664277.3,2024-11-27 23:59:59.999,19820374.01771000,88679,12064844.10000000,9698432.54853000,0
2024-11-28,0.8296,0.8301,0.7852,0.8145,16712798.8,2024-11-28 23:59:59.999,13444203.20603000,63357,8214836.80000000,6607978.56794000,0
2024-11-29,0.8148,0.981,0.7899,0.9546,57523682.8,2024-11-29 23:59:59.999,51509915.06390000,190049,29534445.20000000,26448858.21695000,0
2024-11-30,0.9547,0.9988,0.9212,0.9395,67954832.8,2024-11-30 23:59:59.999,65038144.05925000,254890,33798420.90000000,32383916.56148000,0
2024-12-01,0.9393,1.1278,0.9114,1.1031,76189509.1,2024-12-01 23:59:59.999,78428119.73673000,306055,37952313.30000000,39152873.50172000,0
2024-12-02,1.1038,1.1988,1.0625,1.1135,131611477.7,2024-12-02 23:59:59.999,148811475.29752000,509714,67303190.90000000,76106376.77587000,0
2024-12-03,1.1135,1.3024,1.014,1.2953,144601376.7,2024-12-03 23:59:59.999,165652616.63244000,581783,75381687.20000000,86509968.85234000,0
2024-12-04,1.296,1.5406,1.2881,1.3284,183737569.6,2024-12-04 23:59:59.999,259275273.53036000,810511,92898692.90000000,131105683.19939000,0
2024-12-05,1.3282,1.5181,1.267,1.3537,96011160.8,2024-12-05 23:59:59.999,131536848.46587000,515728,48985827.00000000,67158665.20192000,0
2024-12-06,1.3537,1.3949,1.2847,1.3676,48090908.9,2024-12-06 23:59:59.999,64587629.55722000,235712,23680032.70000000,31800349.38251000,0
2024-12-07,1.3675,1.3844,1.2966,1.3444,30471259.5,2024-12-07 23:59:59.999,40882367.03241000,135675,14077481.90000000,18898753.64279000,0
2024-12-08,1.3449,1.3701,1.2779,1.3193,25706283.4,2024-12-08 23:59:59.999,33859395.60856000,120849,11974291.00000000,15774873.73536000,0
2024-12-09,1.3193,1.3194,0.918,1.0554,83212898.2,2024-12-09 23:59:59.999,95342510.10214000,415357,39976943.60000000,45648953.38420000,0
2024-12-10,1.0554,1.0806,0.9172,1.0424,69637437.8,2024-12-10 23:59:59.999,70453842.66626000,341062,32866958.40000000,33243268.03915000,0
2024-12-11,1.0424,1.1121,0.9887,1.0906,42647701.4,2024-12-11 23:59:59.999,45012170.20734000,197357,20907594.00000000,22069517.35995000,0
2024-12-12,1.0907,1.1574,1.078,1.0991,38456683.9,2024-12-12 23:59:59.999,42937260.68834000,207370,19049162.90000000,21277141.05939000,0
2024-12-13,1.0993,1.1191,1.0514,1.1086,23662783.0,2024-12-13 23:59:59.999,25620695.35276000,143353,11261857.00000000,12199644.96528000,0
2024-12-14,1.1086,1.1123,1.0153,1.0415,17743013.4,2024-12-14 23:59:59.999,18851085.69098000,84513,8966019.40000000,9527045.16978000,0
2024-12-15,1.0419,1.1008,1.0127,1.0819,19465273.5,2024-12-15 23:59:59.999,20642968.94779000,97092,9513964.80000000,10085741.63676000,0
2024-12-16,1.082,1.1064,1.0155,1.0359,25006111.1,2024-12-16 23:59:59.999,26387919.72925000,129593,12292476.30000000,12979272.35984000,0
2024-12-17,1.036,1.0914,1.0154,1.0306,30867024.2,2024-12-17 23:59:59.999,32386263.63977000,139518,16011020.20000000,16801147.41041000,0
2024-12-18,1.0306,1.042,0.8856,0.9008,44072026.2,2024-12-18 23:59:59.999,42705564.16282000,242458,22477962.50000000,21805479.44624000,0
2024-12-19,0.9007,0.9269,0.8024,0.8182,49876676.2,2024-12-19 23:59:59.999,43250998.96378000,267171,24532099.50000000,21287111.57882000,0
2024-12-20,0.8184,0.8597,0.703,0.8408,56645601.4,2024-12-20 23:59:59.999,44136510.50204000,222426,27629711.20000000,21542115.14944000,0
2024-12-21,0.841,0.8886,0.7784,0.7904,30222535.7,2024-12-21 23:59:59.999,25198586.13115000,109230,14777868.20000000,12341469.52544000,0
2024-12-22,0.7913,0.815,0.7618,0.785,21882011.0,2024-12-22 23:59:59.999,17310510.75031000,87729,10942817.70000000,8667729.80034000,0
2024-12-23,0.7851,0.8567,0.7619,0.8454,23238956.9,2024-12-23 23:59:59.999,18690846.95811000,91995,11470480.60000000,9238879.51921000,0
2024-12-24,0.8453,0.8903,0.8228,0.8701,16083835.4,2024-12-24 23:59:59.999,13758582.11951000,76980,8300482.90000000,7100625.37814000,0
2024-12-25,0.8702,0.8779,0.8308,0.8443,11417302.8,2024-12-25 23:59:59.999,9754346.69517000,51654,5732384.90000000,4897168.20105000,0
2024-12-26,0.8439,0.8526,0.7723,0.7824,15660391.4,2024-12-26 23:59:59.999,12504934.95780000,55791,7728331.10000000,6165699.88385000,0
2024-12-27,0.7826,0.8249,0.7752,0.7848,12419608.7,2024-12-27 23:59:59.999,9891577.60889000,62547,6577778.30000000,5241635.02773000,0
2024-12-28,0.785,0.8133,0.7757,0.8085,8950223.1,2024-12-28 23:59:59.999,7082936.45740000,36565,4242683.30000000,3359201.39726000,0
2024-12-29,0.8085,0.8176,0.7672,0.7765,10468429.4,2024-12-29 23:59:59.999,8354179.02778000,38370,5419092.40000000,4329784.99404000,0
2024-12-30,0.7765,0.8056,0.7475,0.7736,14552454.4,2024-12-30 23:59:59.999,11307485.02500000,68388,7013235.40000000,5457189.39357000,0
2024-12-31,0.7741,0.8054,0.7505,0.7748,14708790.0,2024-12-31 23:59:59.999,11485954.28368000,60549,7851971.70000000,6138847.69137000,0
2025-01-01,0.7748,0.8218,0.7585,0.8123,11909900.7,2025-01-01 23:59:59.999,9418344.09162000,58948,5898649.30000000,4671413.34194000,0
2025-01-02,0.8123,0.8361,0.8102,0.8209,12844150.3,2025-01-02 23:59:59.999,10572311.44588000,63844,6851050.20000000,5640066.33178000,0
2025-01-03,0.821,0.96,0.8134,0.9259,43602960.0,2025-01-03 23:59:59.999,39375925.51111000,184240,21428846.00000000,19282276.05233000,0
2025-01-04,0.9259,0.954,0.8884,0.9009,20810520.9,2025-01-04 23:59:59.999,19121874.93431000,94916,11262664.00000000,10350302.59438000,0
2025-01-05,0.9009,0.9077,0.8805,0.9017,11110921.2,2025-01-05 23:59:59.999,9956787.71856000,49041,5829389.70000000,5224078.16395000,0
2025-01-06,0.9018,0.9415,0.8886,0.9175,14721221.4,2025-01-06 23:59:59.999,13489550.08541000,61777,7621969.10000000,6983395.35350000,0
2025-01-07,0.9174,0.9316,0.8156,0.8206,25481784.8,2025-01-07 23:59:59.999,22390496.62464000,112253,12180054.10000000,10700583.31172000,0
2025-01-08,0.8207,0.8338,0.7501,0.7945,21287571.1,2025-01-08 23:59:59.999,16907950.40809000,92012,10556852.10000000,8404577.42631000,0
2025-01-09,0.7943,0.8061,0.7591,0.7821,19043036.2,2025-01-09 23:59:59.999,14970387.87396000,77231,9217226.80000000,7252462.98772000,0
2025-01-10,0.7822,0.8172,0.7768,0.7977,17607383.4,2025-01-10 23:59:59.999,14036613.33978000,70209,9017294.90000000,7196428.57156000,0
2025-01-11,0.7978,0.8209,0.782,0.8051,8311068.5,2025-01-11 23:59:59.999,6608614.01478000,35771,4036419.10000000,3210075.88769000,0
2025-01-12,0.8052,0.8114,0.7785,0.7873,8047215.2,2025-01-12 23:59:59.999,6419447.04598000,35175,3859933.80000000,3081327.61770000,0
2025-01-13,0.7881,0.8088,0.7088,0.7638,24115426.9,2025-01-13 23:59:59.999,18082271.60789000,89723,11319220.80000000,8482074.82876000,0
2025-01-14,0.7639,0.8002,0.7596,0.7945,9906162.9,2025-01-14 23:59:59.999,7739055.98892000,38114,5096186.20000000,3980964.56515000,0
2025-01-15,0.7944,0.8765,0.7913,0.8696,25420033.7,2025-01-15 23:59:59.999,21014817.69941000,99596,12656238.80000000,10462672.52697000,0
2025-01-16,0.8703,0.9745,0.8415,0.9258,43787696.6,2025-01-16 23:59:59.999,39838947.02263000,189588,22533955.80000000,20520152.12525000,0
