Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,26.73,30.42,25.13,25.84,4552805.28,2024-11-17 23:59:59.999,125971446.86620000,377105,2340276.17000000,65018075.65060000,0
2024-11-18,25.84,27.44,25.55,27.04,1852758.43,2024-11-18 23:59:59.999,49213568.35850000,200345,909553.50000000,24187987.08980000,0
2024-11-19,27.06,27.68,25.51,26.16,1006810.43,2024-11-19 23:59:59.999,26575776.90730000,86111,477791.19000000,12613994.87780000,0
2024-11-20,26.16,26.69,24.69,25.37,1423677.3,2024-11-20 23:59:59.999,36571565.81050000,94625,641048.00000000,16489753.71670000,0
2024-11-21,25.38,28.85,24.62,27.34,3008022.58,2024-11-21 23:59:59.999,81068971.62470000,184895,1512340.60000000,40799833.02310000,0
2024-11-22,27.34,28.71,26.79,28.52,1855962.54,2024-11-22 23:59:59.999,51679253.06150000,127606,957029.13000000,26663574.11200000,0
2024-11-23,28.51,31.34,28.33,29.64,3287884.91,2024-11-23 23:59:59.999,98123287.49770000,222281,1578627.74000000,47134756.86370000,0
2024-11-24,29.64,30.64,27.17,28.84,2467370.69,2024-11-24 23:59:59.999,70825065.82350000,240829,1230403.43000000,35262710.88040000,0
2024-11-25,28.85,31.98,27.68,29.77,3463240.97,2024-11-25 23:59:59.999,105887598.44110000,381441,1592731.40000000,48694288.75360000,0
2024-11-26,29.76,30.42,27.38,28.33,1919899.44,2024-11-26 23:59:59.999,54861821.86860000,219163,1050999.53000000,29999079.64570000,0
2024-11-27,28.33,33.31,27.81,32.9,3368245.67,2024-11-27 23:59:59.999,101993168.05770000,331937,1989904.70000000,60238464.74070000,0
2024-11-28,32.89,33.54,31.31,31.91,2704378.94,2024-11-28 23:59:59.999,87114549.01890000,235238,1356384.22000000,43743505.90520000,0
2024-11-29,31.92,32.4,31.03,31.94,1204914.85,2024-11-29 23:59:59.999,38198687.49560000,115378,590311.65000000,18731753.96860000,0
2024-11-30,31.93,34.0,31.65,32.7,2261051.14,2024-11-30 23:59:59.999,74546645.97350000,201062,1165087.91000000,38415044.91100000,0
2024-12-01,32.7,33.68,31.63,33.32,1412248.71,2024-12-01 23:59:59.999,46078901.41340000,151529,682294.71000000,22279092.92260000,0
2024-12-02,33.31,34.62,31.11,33.87,4329869.94,2024-12-02 23:59:59.999,143272612.94490000,568860,1960824.42000000,64903320.23110000,0
2024-12-03,33.86,35.35,30.95,34.72,4849496.39,2024-12-03 23:59:59.999,161071081.95480000,464235,2265776.18000000,75318022.95950000,0
2024-12-04,34.72,38.9,34.5,37.7,5508558.25,2024-12-04 23:59:59.999,203002605.34020000,493198,2695692.88000000,99416897.28320000,0
2024-12-05,37.7,38.04,34.75,35.61,3644399.42,2024-12-05 23:59:59.999,133093724.69760000,459780,1852292.62000000,67645509.82610000,0
2024-12-06,35.61,39.97,34.2,38.27,4325750.86,2024-12-06 23:59:59.999,161811114.23020000,447183,2099527.90000000,78623167.28880000,0
2024-12-07,38.28,38.69,36.78,37.2,1481301.56,2024-12-07 23:59:59.999,55564294.18770000,180425,716086.93000000,26867181.34250000,0
2024-12-08,37.2,37.6,35.78,37.08,1063961.58,2024-12-08 23:59:59.999,39057023.22820000,130937,485852.53000000,17835843.67760000,0
2024-12-09,37.09,37.1,28.0,31.35,3712717.25,2024-12-09 23:59:59.999,122847018.72590000,450153,1734940.69000000,57477517.65520000,0
2024-12-10,31.36,32.26,27.95,30.19,3478020.78,2024-12-10 23:59:59.999,105012671.42940000,319543,1763113.73000000,53279207.86290000,0
2024-12-11,30.19,34.08,28.85,33.49,3131160.62,2024-12-11 23:59:59.999,100605056.80730000,246957,1547990.32000000,49767158.00750000,0
2024-12-12,33.5,35.27,33.27,33.82,3098156.28,2024-12-12 23:59:59.999,106497770.47310000,229264,1479722.35000000,50881711.40300000,0
2024-12-13,33.83,34.83,33.05,34.01,1803772.1,2024-12-13 23:59:59.999,61326485.26450000,140631,842523.51000000,28649034.97120000,0
2024-12-14,34.01,34.29,31.83,32.56,1001187.38,2024-12-14 23:59:59.999,33023940.41620000,95047,478174.88000000,15780030.62090000,0
2024-12-15,32.57,33.94,32.16,33.79,1184230.85,2024-12-15 23:59:59.999,39024122.96160000,116723,552728.49000000,18208506.01200000,0
2024-12-16,33.79,35.16,32.07,33.21,2168543.28,2024-12-16 23:59:59.999,73000535.50520000,202995,1080938.85000000,36396209.07630000,0
2024-12-17,33.21,34.02,32.04,32.5,1534359.18,2024-12-17 23:59:59.999,50782334.61240000,151463,683379.70000000,22631041.84910000,0
2024-12-18,32.51,32.66,29.14,29.4,2091819.29,2024-12-18 23:59:59.999,65126989.99790000,187337,955213.08000000,29704897.48860000,0
2024-12-19,29.39,29.98,25.97,26.72,2717174.4,2024-12-19 23:59:59.999,76307492.32860000,209068,1334575.27000000,37469919.23880000,0
2024-12-20,26.72,27.61,23.49,27.44,3381166.9,2024-12-20 23:59:59.999,87118572.43670000,240267,1619640.47000000,41651080.68320000,0
2024-12-21,27.44,28.56,25.67,26.03,1172832.27,2024-12-21 23:59:59.999,31693281.43390000,95419,544801.31000000,14724931.78780000,0
2024-12-22,26.04,26.72,25.27,25.98,790266.94,2024-12-22 23:59:59.999,20575946.51390000,71621,387375.88000000,10088523.20390000,0
2024-12-23,25.98,27.98,25.42,27.55,1097294.42,2024-12-23 23:59:59.999,29160706.58180000,92899,552952.19000000,14708883.99000000,0
2024-12-24,27.55,28.44,26.72,27.94,1001541.06,2024-12-24 23:59:59.999,27657190.29550000,73886,476778.10000000,13172789.91730000,0
2024-12-25,27.93,28.29,26.92,27.32,746479.56,2024-12-25 23:59:59.999,20559400.88610000,57723,336017.57000000,9260673.44890000,0
2024-12-26,27.32,27.51,25.51,25.87,740845.9,2024-12-26 23:59:59.999,19488941.55700000,54393,358348.96000000,9416397.67920000,0
2024-12-27,25.87,27.21,25.75,25.99,773728.38,2024-12-27 23:59:59.999,20395702.95150000,79995,386534.49000000,10188555.47340000,0
2024-12-28,26.0,26.75,25.75,26.57,377957.99,2024-12-28 23:59:59.999,9911404.80940000,34927,181388.96000000,4757536.48840000,0
2024-12-29,26.58,26.71,25.27,25.54,414876.73,2024-12-29 23:59:59.999,10818302.80840000,35727,186768.29000000,4869815.33360000,0
2024-12-30,25.54,26.34,24.81,25.44,711462.72,2024-12-30 23:59:59.999,18158738.91640000,61203,338734.46000000,8646720.44770000,0
2024-12-31,25.43,26.03,24.79,25.06,578396.27,2024-12-31 23:59:59.999,14673040.19530000,50641,279430.91000000,7094753.38460000,0
2025-01-01,25.05,26.03,24.64,25.81,847731.0,2025-01-01 23:59:59.999,21530602.48790000,58383,406791.99000000,10340050.81860000,0
2025-01-02,25.81,27.09,25.81,26.9,853979.61,2025-01-02 23:59:59.999,22723983.14180000,69397,414119.33000000,11021433.77160000,0
2025-01-03,26.91,28.5,26.61,28.44,891550.57,2025-01-03 23:59:59.999,24687553.90030000,72217,444472.08000000,12307697.01110000,0
2025-01-04,28.45,28.84,27.86,28.36,800348.49,2025-01-04 23:59:59.999,22671181.67600000,57317,364036.02000000,10313219.93370000,0
2025-01-05,28.36,28.6,27.41,28.13,471220.56,2025-01-05 23:59:59.999,13172776.71190000,38651,199424.14000000,5574266.90770000,0
2025-01-06,28.14,29.24,27.72,28.67,735930.81,2025-01-06 23:59:59.999,20940838.85050000,68959,367437.98000000,10458417.38190000,0
2025-01-07,28.67,28.8,25.79,25.9,1294358.75,2025-01-07 23:59:59.999,35351085.39390000,122235,626401.03000000,17135282.77120000,0
2025-01-08,25.9,26.3,24.23,25.26,1079868.12,2025-01-08 23:59:59.999,27305677.63440000,89511,566058.71000000,14307820.56420000,0
2025-01-09,25.27,25.6,24.31,24.88,895408.41,2025-01-09 23:59:59.999,22417585.92700000,69154,472846.65000000,11851686.61340000,0
2025-01-10,24.87,25.92,24.81,25.66,670077.01,2025-01-10 23:59:59.999,17045784.97560000,70050,309827.36000000,7882700.16840000,0
2025-01-11,25.66,25.95,25.14,25.55,379158.58,2025-01-11 23:59:59.999,9645953.09690000,35254,189314.36000000,4817282.94150000,0
