Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.679,1.692,1.511,1.548,16342821.6,2024-11-17 23:59:59.999,26182610.17080000,118891,7458402.30000000,11922628.45190000,0
2024-11-18,1.548,1.708,1.535,1.691,20506685.4,2024-11-18 23:59:59.999,33432628.93520000,124738,10474107.90000000,17105725.68400000,0
2024-11-19,1.691,1.711,1.539,1.584,17703650.2,2024-11-19 23:59:59.999,28735246.92430000,115696,8914395.20000000,14498171.26620000,0
2024-11-20,1.584,1.606,1.451,1.479,12365358.3,2024-11-20 23:59:59.999,18884239.42350000,99032,6178698.40000000,9447779.66130000,0
2024-11-21,1.479,2.034,1.417,1.91,57263501.9,2024-11-21 23:59:59.999,103260329.20190000,339336,29426620.20000000,52990669.79310000,0
2024-11-22,1.909,1.946,1.761,1.871,40285756.0,2024-11-22 23:59:59.999,74054245.94960000,203983,19551394.40000000,35991704.52100000,0
2024-11-23,1.871,2.187,1.844,2.097,50594954.1,2024-11-23 23:59:59.999,102694572.72240000,253964,25542644.20000000,51796371.14190000,0
2024-11-24,2.099,2.252,1.877,2.204,42159025.4,2024-11-24 23:59:59.999,87140168.70370000,258603,20546006.90000000,42511664.54350000,0
2024-11-25,2.208,2.354,2.047,2.247,43512700.9,2024-11-25 23:59:59.999,95443752.74910000,279006,21858592.40000000,48063423.33080000,0
2024-11-26,2.246,2.275,1.989,2.165,30348968.2,2024-11-26 23:59:59.999,64077909.67510000,194481,14684855.10000000,30987484.70600000,0
2024-11-27,2.165,2.587,2.101,2.534,37599531.0,2024-11-27 23:59:59.999,86910100.25300000,249350,19442812.00000000,45062626.13620000,0
2024-11-28,2.534,2.691,2.313,2.381,27148855.2,2024-11-28 23:59:59.999,66624669.26290000,205513,12997375.60000000,31952216.59380000,0
2024-11-29,2.382,2.403,2.293,2.348,18759876.6,2024-11-29 23:59:59.999,43978001.52620000,148965,8930492.60000000,20941185.32660000,0
2024-11-30,2.349,2.608,2.33,2.556,28565849.1,2024-11-30 23:59:59.999,71155261.74250000,252667,14391095.90000000,35858116.23520000,0
2024-12-01,2.556,2.632,2.462,2.533,18396430.7,2024-12-01 23:59:59.999,46764303.61600000,184874,8395468.00000000,21373390.86340000,0
2024-12-02,2.532,2.672,2.312,2.655,32536187.5,2024-12-02 23:59:59.999,81854561.60020000,319855,15068404.10000000,38012835.59760000,0
2024-12-03,2.656,2.687,2.391,2.62,24598989.0,2024-12-03 23:59:59.999,62968642.65630000,225939,11996658.20000000,30722495.40130000,0
2024-12-04,2.62,2.898,2.61,2.717,34641270.4,2024-12-04 23:59:59.999,95168705.63180000,350107,18134098.10000000,49869736.52130000,0
2024-12-05,2.717,2.811,2.546,2.66,26593915.0,2024-12-05 23:59:59.999,71916856.17870000,270187,13221034.40000000,35771802.33280000,0
