Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,45.64,83.0,43.64,60.1,789178.355,2024-11-17 23:59:59.999,48594332.27482000,588680,401401.48300000,24760010.03048000,0
2024-11-18,60.1,72.12,53.4,55.36,451296.684,2024-11-18 23:59:59.999,26906316.70723000,319286,218238.17300000,13063657.12864000,0
2024-11-19,55.34,55.52,49.76,51.98,78574.13,2024-11-19 23:59:59.999,4071911.57257000,57538,35826.94300000,1855518.41809000,0
2024-11-20,51.97,56.0,48.17,49.38,125227.441,2024-11-20 23:59:59.999,6554838.84888000,75013,64110.99500000,3365507.49266000,0
2024-11-21,49.35,52.47,47.68,51.55,49908.751,2024-11-21 23:59:59.999,2528321.66732000,45061,22657.68200000,1147166.65700000,0
2024-11-22,51.56,53.05,49.38,51.23,57122.073,2024-11-22 23:59:59.999,2920384.60917000,53784,27940.45900000,1429328.70009000,0
2024-11-23,51.21,54.93,50.05,53.42,58298.24,2024-11-23 23:59:59.999,3080464.91747000,60666,29440.25000000,1556390.31062000,0
2024-11-24,53.44,56.15,50.4,54.49,44230.483,2024-11-24 23:59:59.999,2353690.57277000,67493,22190.46700000,1181175.89277000,0
2024-11-25,54.45,54.46,50.32,50.97,47869.459,2024-11-25 23:59:59.999,2498982.00928000,58958,21680.49700000,1132072.56341000,0
2024-11-26,50.97,53.26,49.0,51.39,36997.881,2024-11-26 23:59:59.999,1887215.28940000,49387,17792.76400000,908945.20305000,0
2024-11-27,51.35,53.53,50.02,53.04,59650.395,2024-11-27 23:59:59.999,3099051.68193000,42609,29251.28400000,1522895.55127000,0
2024-11-28,53.03,55.7,52.16,52.77,62539.932,2024-11-28 23:59:59.999,3361475.27720000,50149,30594.58500000,1646202.66463000,0
2024-11-29,52.75,54.38,52.0,53.61,35998.954,2024-11-29 23:59:59.999,1910108.04848000,29139,17258.10400000,916725.11612000,0
2024-11-30,53.59,55.61,52.39,54.35,48496.99,2024-11-30 23:59:59.999,2634931.36372000,34313,24321.82500000,1322866.02212000,0
2024-12-01,54.27,55.41,52.95,54.33,32680.371,2024-12-01 23:59:59.999,1774689.97811000,28933,15866.70300000,862809.04827000,0
2024-12-02,54.35,70.0,52.51,56.63,342600.536,2024-12-02 23:59:59.999,20761465.09835000,248965,173538.92800000,10522729.76233000,0
2024-12-03,56.57,61.91,55.53,59.3,126383.604,2024-12-03 23:59:59.999,7405163.89078000,102642,59533.24700000,3488530.39714000,0
2024-12-04,59.28,62.63,58.91,61.4,66276.219,2024-12-04 23:59:59.999,4033712.32453000,68466,32931.40500000,2006564.72031000,0
2024-12-05,61.39,61.94,57.71,58.32,40316.095,2024-12-05 23:59:59.999,2423939.89617000,42892,17935.81400000,1079229.91853000,0
2024-12-06,58.27,62.63,57.84,60.56,34224.748,2024-12-06 23:59:59.999,2072941.29575000,42066,17080.91800000,1035487.24521000,0
2024-12-07,60.67,62.92,60.0,61.35,27846.512,2024-12-07 23:59:59.999,1712959.61027000,35074,15012.98000000,924695.28555000,0
2024-12-08,61.4,72.5,61.14,67.24,218852.721,2024-12-08 23:59:59.999,14738994.56759000,179633,110547.69800000,7448529.27619000,0
2024-12-09,67.23,75.0,50.0,56.95,123580.923,2024-12-09 23:59:59.999,8046793.20913000,110548,59945.26900000,3933289.89012000,0
2024-12-10,56.86,57.84,50.0,53.85,60007.178,2024-12-10 23:59:59.999,3269193.33127000,70987,29119.78600000,1587101.42649000,0
2024-12-11,53.94,59.48,51.34,56.56,132874.451,2024-12-11 23:59:59.999,7370924.67842000,67360,67833.50000000,3754032.14590000,0
2024-12-12,56.56,61.45,55.8,61.25,53003.083,2024-12-12 23:59:59.999,3149419.33299000,44804,26743.10600000,1589864.72676000,0
2024-12-13,61.25,64.15,59.27,62.43,48621.804,2024-12-13 23:59:59.999,3012496.23793000,44444,24755.92800000,1536496.64633000,0
2024-12-14,62.38,62.46,56.71,58.43,24099.999,2024-12-14 23:59:59.999,1423634.12893000,24294,12518.28200000,739322.06500000,0
2024-12-15,58.38,60.59,57.09,59.8,20928.553,2024-12-15 23:59:59.999,1236661.62438000,22212,11629.74200000,687093.65902000,0
2024-12-16,59.85,60.91,56.67,57.14,24877.465,2024-12-16 23:59:59.999,1458345.37284000,23339,12501.11000000,734753.50848000,0
2024-12-17,57.07,58.79,54.12,54.83,16789.606,2024-12-17 23:59:59.999,953146.02865000,19447,8474.47200000,481215.19902000,0
2024-12-18,54.84,55.47,50.06,50.4,21446.444,2024-12-18 23:59:59.999,1137244.53436000,20922,9960.71100000,527852.28938000,0
2024-12-19,50.29,53.85,46.32,48.36,34745.677,2024-12-19 23:59:59.999,1750183.33293000,31526,17074.69300000,861441.30879000,0
2024-12-20,48.37,51.27,42.37,50.3,36484.953,2024-12-20 23:59:59.999,1707755.40839000,34007,17225.81300000,807607.01333000,0
2024-12-21,50.36,51.33,47.31,48.62,27116.423,2024-12-21 23:59:59.999,1336073.36333000,29973,13406.20400000,661025.78301000,0
2024-12-22,48.56,50.84,46.8,48.2,23972.402,2024-12-22 23:59:59.999,1179021.21061000,23003,11566.32400000,568605.75263000,0
2024-12-23,48.2,50.86,47.05,50.3,21257.567,2024-12-23 23:59:59.999,1035745.65255000,19640,11111.83100000,542000.76069000,0
2024-12-24,50.34,52.89,49.17,51.92,17878.279,2024-12-24 23:59:59.999,915775.30036000,14335,9430.06500000,483701.29355000,0
2024-12-25,51.91,52.52,51.13,52.08,13876.335,2024-12-25 23:59:59.999,720316.61555000,10897,6807.27800000,353790.86810000,0
2024-12-26,52.01,52.34,47.33,48.69,15362.083,2024-12-26 23:59:59.999,755040.31924000,13946,7948.06400000,389655.51945000,0
2024-12-27,48.69,50.97,48.06,48.73,15520.491,2024-12-27 23:59:59.999,764331.40960000,20472,7508.18200000,369865.66464000,0
2024-12-28,48.77,51.93,48.41,50.99,19770.897,2024-12-28 23:59:59.999,1000430.62508000,22438,9441.89600000,478368.48165000,0
2024-12-29,51.01,51.61,48.41,48.96,13915.586,2024-12-29 23:59:59.999,701447.59850000,18050,7246.53900000,366243.89850000,0
2024-12-30,48.94,51.02,46.12,47.27,23642.233,2024-12-30 23:59:59.999,1138825.06032000,27353,10924.75500000,526881.35069000,0
2024-12-31,47.28,48.37,46.16,46.41,10608.589,2024-12-31 23:59:59.999,500124.47274000,14322,5418.28300000,255714.67889000,0
2025-01-01,46.45,47.87,44.9,47.56,10404.607,2025-01-01 23:59:59.999,484663.20779000,11994,5460.02500000,254547.58160000,0
2025-01-02,47.57,49.72,47.47,49.65,14748.397,2025-01-02 23:59:59.999,720681.07422000,18613,8035.50700000,392470.13343000,0
2025-01-03,49.64,52.25,49.0,51.93,18422.843,2025-01-03 23:59:59.999,932344.74662000,23937,9675.37600000,489571.19684000,0
2025-01-04,51.92,52.95,50.0,50.86,17521.069,2025-01-04 23:59:59.999,902342.91044000,22548,8012.79100000,414263.72380000,0
2025-01-05,50.91,51.36,49.94,50.51,13781.772,2025-01-05 23:59:59.999,698315.30618000,13927,5885.62500000,298872.45229000,0
2025-01-06,50.57,52.78,49.91,51.0,9270.734,2025-01-06 23:59:59.999,476317.66412000,13632,4671.39000000,240257.24670000,0
2025-01-07,50.97,51.85,47.14,47.33,15478.923,2025-01-07 23:59:59.999,758646.88369000,19122,6666.66800000,328817.14331000,0
2025-01-08,47.29,49.13,44.01,46.41,37532.877,2025-01-08 23:59:59.999,1759260.17053000,32189,18651.05000000,877917.89547000,0
2025-01-09,46.27,46.66,44.16,45.54,11303.872,2025-01-09 23:59:59.999,514909.15669000,16023,5603.11300000,255666.35509000,0
2025-01-10,45.53,47.04,44.69,46.02,10545.147,2025-01-10 23:59:59.999,485984.01779000,12152,5982.82400000,275850.26007000,0
2025-01-11,45.96,46.54,45.33,45.7,8653.561,2025-01-11 23:59:59.999,397162.44494000,11079,4576.60400000,210135.78397000,0
2025-01-12,45.7,46.48,44.67,45.46,9885.011,2025-01-12 23:59:59.999,451054.41085000,13747,4975.96200000,226955.39036000,0
2025-01-13,45.46,46.43,39.96,43.11,18892.688,2025-01-13 23:59:59.999,802071.67471000,21191,8621.93000000,365425.42303000,0
2025-01-14,43.11,45.07,42.79,44.52,10040.053,2025-01-14 23:59:59.999,444285.49277000,13776,5106.60600000,226207.45792000,0
2025-01-15,44.52,46.79,43.51,46.48,12314.598,2025-01-15 23:59:59.999,557994.47076000,16027,6191.30800000,280576.46286000,0
2025-01-16,46.49,46.69,44.67,45.87,12010.38,2025-01-16 23:59:59.999,551010.39330000,15828,5922.43100000,272019.92447000,0
2025-01-17,45.89,48.1,45.85,47.82,12718.404,2025-01-17 23:59:59.999,602794.95168000,15862,5931.73900000,280795.72393000,0
2025-01-18,47.82,47.94,44.01,44.95,13496.867,2025-01-18 23:59:59.999,614578.58862000,19575,6283.74700000,285715.63099000,0
2025-01-19,44.97,45.86,39.98,40.82,23010.611,2025-01-19 23:59:59.999,987234.95762000,26762,11554.15200000,495547.46504000,0
2025-01-20,40.83,43.76,39.0,39.75,25580.97,2025-01-20 23:59:59.999,1051097.62050000,27893,12034.18600000,495568.73125000,0
2025-01-21,39.76,42.64,38.95,41.52,16583.083,2025-01-21 23:59:59.999,678972.76665000,19833,8751.79800000,358416.19019000,0
2025-01-22,41.51,42.35,40.67,41.07,9293.518,2025-01-22 23:59:59.999,385688.01486000,14606,4523.23600000,187766.29356000,0
2025-01-23,41.04,41.96,40.0,41.5,14506.146,2025-01-23 23:59:59.999,595057.76928000,16168,7898.89800000,324297.48577000,0
2025-01-24,41.53,41.75,39.91,40.24,9528.759,2025-01-24 23:59:59.999,389880.93295000,15478,4706.48900000,192779.30156000,0
2025-01-25,40.26,42.72,39.28,40.75,26014.112,2025-01-25 23:59:59.999,1070306.91896000,29134,12535.52200000,516445.54079000,0
2025-01-26,40.78,41.98,39.76,39.89,14207.588,2025-01-26 23:59:59.999,585044.69025000,18024,6634.83000000,273725.89118000,0
2025-01-27,39.88,40.33,37.06,39.95,14019.808,2025-01-27 23:59:59.999,543124.70231000,19867,6800.50600000,263835.23368000,0
2025-01-28,39.95,40.37,37.33,38.04,11067.66,2025-01-28 23:59:59.999,435056.55531000,16150,5525.95100000,217306.71178000,0
2025-01-29,38.06,40.31,37.74,39.0,13412.626,2025-01-29 23:59:59.999,523550.49812000,17426,6812.87900000,266204.68444000,0
2025-01-30,39.04,40.85,38.5,39.84,14596.572,2025-01-30 23:59:59.999,586764.07943000,18048,7884.01800000,317292.94723000,0
2025-01-31,39.79,41.15,39.18,39.8,8919.886,2025-01-31 23:59:59.999,358813.04017000,11880,5183.30100000,208655.75069000,0
2025-02-01,39.75,40.22,37.1,37.31,9623.375,2025-02-01 23:59:59.999,375475.19889000,12588,4898.80800000,191883.62891000,0
2025-02-02,37.34,38.08,32.61,33.8,19321.193,2025-02-02 23:59:59.999,690728.85384000,22648,9387.50400000,334941.48057000,0
2025-02-03,33.83,35.16,27.27,34.71,28582.098,2025-02-03 23:59:59.999,885417.77947000,27132,14364.20900000,444355.26342000,0
2025-02-04,34.72,35.0,32.02,33.58,16570.883,2025-02-04 23:59:59.999,552337.51621000,15236,8545.84100000,284719.95240000,0
2025-02-05,33.58,35.16,32.97,34.01,16982.141,2025-02-05 23:59:59.999,580328.74950000,15652,8470.21500000,290065.14134000,0
2025-02-06,33.98,34.56,31.92,32.01,9406.948,2025-02-06 23:59:59.999,314330.21714000,11418,4339.74500000,145001.50340000,0
2025-02-07,32.05,34.38,31.77,32.79,10680.781,2025-02-07 23:59:59.999,351703.47908000,12296,5830.88300000,192151.48060000,0
2025-02-08,32.79,35.28,32.01,34.37,25027.135,2025-02-08 23:59:59.999,842164.41177000,16191,12211.67100000,412753.87081000,0
2025-02-09,34.42,35.0,32.4,33.87,11266.909,2025-02-09 23:59:59.999,384076.70809000,12454,5855.45300000,200088.77084000,0
2025-02-10,33.82,36.92,32.58,35.63,51114.068,2025-02-10 23:59:59.999,1814608.26542000,27672,26073.71400000,927257.73934000,0
2025-02-11,35.64,37.23,33.43,34.06,36487.294,2025-02-11 23:59:59.999,1287513.04938000,19785,17294.30800000,611827.01046000,0
2025-02-12,34.06,38.09,33.59,36.56,58869.803,2025-02-12 23:59:59.999,2128676.74800000,29159,28125.41300000,1016114.70754000,0
2025-02-13,36.57,37.1,35.17,35.79,16605.422,2025-02-13 23:59:59.999,600075.15193000,19294,8157.10100000,295399.93205000,0
2025-02-14,35.82,37.6,35.47,37.24,18140.873,2025-02-14 23:59:59.999,660882.78127000,21266,9466.88800000,345478.10246000,0
2025-02-15,37.23,37.57,35.84,36.01,11720.221,2025-02-15 23:59:59.999,430941.40485000,16411,5391.99800000,198478.90338000,0
2025-02-16,36.01,37.36,35.5,36.44,10384.481,2025-02-16 23:59:59.999,378557.61505000,17285,5705.10600000,208018.37122000,0
2025-02-17,36.39,37.21,34.92,35.72,14049.148,2025-02-17 23:59:59.999,508511.83956000,23110,7215.97600000,261672.25455000,0
2025-02-18,35.7,35.97,33.2,34.56,14886.346,2025-02-18 23:59:59.999,513109.10845000,28208,7814.56100000,269357.53385000,0
2025-02-19,34.56,35.43,34.25,34.74,11809.293,2025-02-19 23:59:59.999,411100.82089000,23914,5622.62000000,195880.42028000,0
2025-02-20,34.73,35.73,34.52,35.39,11890.521,2025-02-20 23:59:59.999,417671.85025000,21242,5984.73900000,210304.90699000,0
2025-02-21,35.39,36.66,33.2,33.74,17539.654,2025-02-21 23:59:59.999,614541.25303000,28355,8811.37300000,308714.78427000,0
2025-02-22,33.8,35.68,33.59,35.3,11861.79,2025-02-22 23:59:59.999,412223.63116000,22673,5774.40900000,200816.22668000,0
2025-02-23,35.33,35.63,33.9,34.52,9121.224,2025-02-23 23:59:59.999,316763.39948000,14482,4558.69300000,158420.74936000,0
2025-02-24,34.52,34.6,30.0,30.39,12570.364,2025-02-24 23:59:59.999,406688.15728000,14202,6015.41000000,194609.72991000,0
2025-02-25,30.37,31.27,28.71,30.73,14062.694,2025-02-25 23:59:59.999,420104.32155000,19637,7511.73400000,224255.26671000,0
2025-02-26,30.76,31.93,29.86,31.16,13703.533,2025-02-26 23:59:59.999,425716.52340000,16682,6283.42900000,195035.25048000,0
2025-02-27,31.19,32.12,30.5,31.6,10392.545,2025-02-27 23:59:59.999,327696.30610000,13468,4847.07300000,152678.46745000,0
2025-02-28,31.6,31.77,28.83,31.63,14964.035,2025-02-28 23:59:59.999,451899.03638000,21392,8150.39200000,245842.19271000,0
2025-03-01,31.63,31.77,29.47,30.24,9887.159,2025-03-01 23:59:59.999,300302.68324000,12408,4691.48100000,142434.58391000,0
2025-03-02,30.27,32.89,30.05,32.73,16696.513,2025-03-02 23:59:59.999,525398.48553000,17985,8863.40600000,278829.36641000,0
2025-03-03,32.72,32.81,27.95,28.7,14004.456,2025-03-03 23:59:59.999,428659.63456000,21177,6287.98000000,192939.37088000,0
2025-03-04,28.66,28.73,26.3,27.67,15463.834,2025-03-04 23:59:59.999,424606.09214000,16143,7179.40300000,196924.72588000,0
2025-03-05,27.65,28.76,27.31,28.55,10856.683,2025-03-05 23:59:59.999,304665.63443000,11192,5721.15100000,160685.37551000,0
2025-03-06,28.57,29.7,27.65,28.05,9154.504,2025-03-06 23:59:59.999,261816.72689000,11661,4162.71300000,118955.18641000,0
2025-03-07,28.05,28.95,26.92,28.13,15310.859,2025-03-07 23:59:59.999,429762.89158000,14418,7786.02000000,218706.92282000,0
2025-03-08,28.13,28.71,27.36,27.89,8694.898,2025-03-08 23:59:59.999,243035.06307000,9207,4192.40800000,117281.68357000,0
2025-03-09,27.88,28.03,25.48,25.93,11008.005,2025-03-09 23:59:59.999,294839.44327000,10778,4752.72500000,127398.36012000,0
2025-03-10,25.93,27.3,24.49,24.9,14709.34,2025-03-10 23:59:59.999,382160.95178000,11641,7089.64200000,184464.34128000,0
2025-03-11,24.88,26.81,23.8,26.16,14313.919,2025-03-11 23:59:59.999,366786.02591000,11534,7600.10300000,195052.48217000,0
2025-03-12,26.16,27.18,25.34,26.94,13117.262,2025-03-12 23:59:59.999,346585.66508000,13503,6659.97600000,176177.20985000,0
2025-03-13,26.95,27.61,26.06,27.03,12052.49,2025-03-13 23:59:59.999,323135.54170000,12812,6413.84500000,172252.41982000,0
2025-03-14,26.99,28.02,26.75,27.57,8049.286,2025-03-14 23:59:59.999,220709.59423000,9889,4242.84600000,116453.99741000,0
2025-03-15,27.59,28.43,27.31,28.3,7950.387,2025-03-15 23:59:59.999,221229.31715000,11440,4601.02000000,127988.23847000,0
2025-03-16,28.3,28.41,27.07,27.47,8826.47,2025-03-16 23:59:59.999,244838.45504000,12397,3980.23500000,110449.13385000,0
2025-03-17,27.44,28.81,27.3,28.51,11132.0,2025-03-17 23:59:59.999,313849.11042000,14112,5509.75500000,155434.79646000,0
2025-03-18,28.54,28.6,27.2,28.41,10906.326,2025-03-18 23:59:59.999,304399.53098000,15922,5839.65800000,163073.49326000,0
2025-03-19,28.4,28.98,28.08,28.93,11032.504,2025-03-19 23:59:59.999,314469.72251000,14551,5432.25200000,154925.09026000,0
2025-03-20,28.92,30.18,28.24,29.06,29096.432,2025-03-20 23:59:59.999,844017.04137000,20896,15724.63400000,457727.83285000,0
2025-03-21,29.06,50.5,28.82,34.2,629166.053,2025-03-21 23:59:59.999,24067590.37034000,226101,307751.29500000,11806845.27826000,0
2025-03-22,34.19,37.25,31.16,31.63,170834.181,2025-03-22 23:59:59.999,5639644.37777000,58772,81488.90100000,2696977.37538000,0
2025-03-23,31.66,33.43,30.17,32.37,74887.8,2025-03-23 23:59:59.999,2371957.80920000,31182,36551.31100000,1158227.74156000,0
2025-03-24,32.37,39.34,31.25,31.76,232100.546,2025-03-24 23:59:59.999,8092247.69880000,120683,112810.49300000,3941502.67741000,0
2025-03-25,31.77,33.12,31.5,32.29,61209.928,2025-03-25 23:59:59.999,1974080.66063000,27689,29663.79900000,955907.68202000,0
2025-03-26,32.3,32.66,31.58,31.74,26511.67,2025-03-26 23:59:59.999,852289.66758000,14877,12942.19100000,416113.51203000,0
2025-03-27,31.74,35.6,31.53,31.55,112163.909,2025-03-27 23:59:59.999,3741231.29892000,55711,55133.18400000,1843361.03636000,0
2025-03-28,31.56,33.0,29.5,31.27,48364.483,2025-03-28 23:59:59.999,1505857.72802000,25541,23922.27400000,745219.15067000,0
2025-03-29,31.24,32.24,29.08,30.07,55047.195,2025-03-29 23:59:59.999,1695500.89282000,22979,26273.25000000,810740.03135000,0
2025-03-30,30.11,40.0,30.02,30.9,229137.812,2025-03-30 23:59:59.999,7786520.99115000,93307,113164.38700000,3849860.58669000,0
2025-03-31,30.92,31.97,29.75,30.08,51676.804,2025-03-31 23:59:59.999,1589541.44693000,25310,24088.88900000,741914.16641000,0
2025-04-01,30.08,31.85,29.0,29.86,37200.228,2025-04-01 23:59:59.999,1134841.14027000,16555,17345.67500000,529706.12306000,0
2025-04-02,29.86,30.84,28.6,28.89,24969.336,2025-04-02 23:59:59.999,744821.03845000,15083,12530.89000000,373768.27222000,0
2025-04-03,28.89,29.94,27.95,28.49,20623.059,2025-04-03 23:59:59.999,593985.37299000,14161,10211.14100000,294475.37524000,0
2025-04-04,28.49,29.22,27.69,27.81,17013.486,2025-04-04 23:59:59.999,481834.10658000,14303,8597.73000000,243980.18323000,0
2025-04-05,27.82,32.87,27.65,29.52,79705.119,2025-04-05 23:59:59.999,2371511.26641000,33215,40781.13400000,1215016.49317000,0
2025-04-06,29.53,30.12,25.06,26.56,50511.585,2025-04-06 23:59:59.999,1385535.35223000,33315,22142.62900000,602108.52844000,0
2025-04-07,26.49,27.35,23.95,26.46,31821.506,2025-04-07 23:59:59.999,819868.69856000,22328,14537.02700000,374983.62539000,0
2025-04-08,26.46,31.7,26.28,27.41,110371.777,2025-04-08 23:59:59.999,3200522.10669000,50271,53797.39000000,1560759.06519000,0
2025-04-09,27.41,29.77,26.11,29.38,35717.731,2025-04-09 23:59:59.999,997533.97418000,20587,16783.49800000,469207.61902000,0
2025-04-10,29.38,29.59,27.72,28.52,17196.607,2025-04-10 23:59:59.999,494598.20598000,14942,8945.06600000,257998.75018000,0
2025-04-11,28.49,29.99,28.46,28.94,18248.961,2025-04-11 23:59:59.999,534537.37164000,12745,9941.13400000,291253.27593000,0
2025-04-12,28.94,30.54,28.76,29.99,19066.562,2025-04-12 23:59:59.999,567270.47491000,13237,9981.03600000,296907.96685000,0
2025-04-13,30.04,30.39,27.5,27.86,21040.479,2025-04-13 23:59:59.999,615550.84243000,14969,9949.64900000,291668.90308000,0
2025-04-14,27.89,29.35,27.76,27.9,14254.554,2025-04-14 23:59:59.999,404362.44316000,11901,7802.73900000,221598.32060000,0
