Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.0008,1.0013,0.9989,1.0,754076753.0,2024-11-17 23:59:59.999,754228445.96990000,476292,344846256.00000000,344921998.22310000,0
2024-11-18,1.0,1.0002,0.9963,0.9971,950304812.0,2024-11-18 23:59:59.999,948872866.20380000,564369,433255454.00000000,432609910.76590000,0
2024-11-19,0.9972,0.9977,0.996,0.9965,904125163.0,2024-11-19 23:59:59.999,901428874.10400000,499391,427439632.00000000,426171246.83670000,0
2024-11-20,0.9965,0.9983,0.9961,0.9975,964126846.0,2024-11-20 23:59:59.999,961523029.60520000,470716,446657815.00000000,445456732.85620000,0
2024-11-21,0.9974,0.9983,0.9972,0.9978,1066767496.0,2024-11-21 23:59:59.999,1064431133.33960000,647356,507402390.00000000,506304516.82180000,0
2024-11-22,0.9979,0.9983,0.9973,0.9979,858970960.0,2024-11-22 23:59:59.999,857081917.16980000,711824,408605644.00000000,407723990.35570000,0
2024-11-23,0.9979,0.998,0.9969,0.9973,676195745.0,2024-11-23 23:59:59.999,674484064.05160000,661139,278214538.00000000,277522344.88360000,0
2024-11-24,0.9972,0.9976,0.9964,0.9972,694404509.0,2024-11-24 23:59:59.999,692324140.08440000,615659,354332602.00000000,353278514.69380000,0
2024-11-25,0.9972,0.9981,0.9971,0.9974,775824246.0,2024-11-25 23:59:59.999,773913259.15270000,660901,375556309.00000000,374639963.47360000,0
2024-11-26,0.9975,0.9981,0.997,0.9974,1000270748.0,2024-11-26 23:59:59.999,997671686.26620000,652324,555033178.00000000,553605407.81770000,0
2024-11-27,0.9974,0.999,0.9972,0.9983,838044633.0,2024-11-27 23:59:59.999,836447964.37430000,478598,410885931.00000000,410100948.99020000,0
2024-11-28,0.9984,0.999,0.9981,0.9988,653137150.0,2024-11-28 23:59:59.999,652184841.68020000,524625,323460603.00000000,323001017.89000000,0
2024-11-29,0.9987,0.999,0.998,0.9984,659179424.0,2024-11-29 23:59:59.999,658140236.85960000,539666,312037182.00000000,311555353.51940000,0
2024-11-30,0.9983,0.9985,0.9981,0.9985,535492714.0,2024-11-30 23:59:59.999,534586871.07390000,568915,261129342.00000000,260699140.89450000,0
2024-12-01,0.9984,0.9985,0.998,0.9982,619743480.0,2024-12-01 23:59:59.999,618681124.89240000,547053,297898237.00000000,297400732.36840000,0
2024-12-02,0.9981,0.9985,0.9969,0.9982,1088195504.0,2024-12-02 23:59:59.999,1085766921.51000000,743841,539999428.00000000,538800960.76950000,0
2024-12-03,0.9981,0.9984,0.9966,0.9982,1214397592.0,2024-12-03 23:59:59.999,1211954688.05930000,663386,573958469.00000000,572826282.51100000,0
2024-12-04,0.9981,0.9989,0.9974,0.998,1147250263.0,2024-12-04 23:59:59.999,1145143231.56040000,693064,547482558.00000000,546494530.81370000,0
2024-12-05,0.998,1.002,0.9902,0.9975,2001088574.0,2024-12-05 23:59:59.999,1997306751.04770000,914058,929669577.00000000,928034673.96510000,0
2024-12-06,0.9974,0.9987,0.9946,0.9977,1470031488.0,2024-12-06 23:59:59.999,1466882804.13550000,563226,697561425.00000000,696109879.82720000,0
2024-12-07,0.9978,0.9989,0.996,0.9981,932427499.0,2024-12-07 23:59:59.999,930580499.01390000,493788,458337384.00000000,457456638.35670000,0
2024-12-08,0.9981,0.9984,0.9972,0.9982,1068464040.0,2024-12-08 23:59:59.999,1066457168.49780000,381502,515357799.00000000,514410204.82320000,0
2024-12-09,0.9981,0.9994,0.9916,0.998,1827532128.0,2024-12-09 23:59:59.999,1823842841.69850000,771024,932834715.00000000,931039576.88820000,0
2024-12-10,0.9981,0.999,0.9977,0.9986,1047970437.0,2024-12-10 23:59:59.999,1046319176.78280000,596348,541261809.00000000,540424920.92890000,0
2024-12-11,0.9987,1.001,0.9984,1.0,862990859.0,2024-12-11 23:59:59.999,862605734.29860000,437316,454301761.00000000,454119759.84440000,0
2024-12-12,1.0001,1.0006,0.9994,0.9998,961057437.0,2024-12-12 23:59:59.999,961013618.20310000,445390,488179469.00000000,488178907.95480000,0
2024-12-13,0.9998,1.0038,0.9997,1.0035,1476533848.0,2024-12-13 23:59:59.999,1478745030.66980000,408093,781500121.00000000,782698186.25770000,0
2024-12-14,1.0035,1.005,1.0003,1.0006,1031663370.0,2024-12-14 23:59:59.999,1034479438.38490000,311132,509475699.00000000,510929609.03790000,0
2024-12-15,1.0005,1.0019,0.9981,0.9983,1218404669.0,2024-12-15 23:59:59.999,1218238209.05170000,319901,578311278.00000000,578280810.40350000,0
2024-12-16,0.9983,0.9992,0.9974,0.9982,1438458638.0,2024-12-16 23:59:59.999,1435850769.62040000,403522,714505565.00000000,713237546.73560000,0
2024-12-17,0.9983,0.999,0.9981,0.9985,922317081.0,2024-12-17 23:59:59.999,920943338.66270000,363094,468965701.00000000,468287506.54770000,0
2024-12-18,0.9985,0.9986,0.9977,0.9981,1018824718.0,2024-12-18 23:59:59.999,1017081191.36570000,460874,494221785.00000000,493396638.13050000,0
2024-12-19,0.9982,0.9985,0.9971,0.998,1005836339.0,2024-12-19 23:59:59.999,1003905340.90370000,521545,502590629.00000000,501645431.94830000,0
2024-12-20,0.9979,0.9984,0.9978,0.9983,955050820.0,2024-12-20 23:59:59.999,953221917.94050000,595983,502550750.00000000,501607864.93250000,0
2024-12-21,0.9982,0.9986,0.998,0.9981,438929911.0,2024-12-21 23:59:59.999,438157383.19830000,296639,210647754.00000000,210287729.78670000,0
2024-12-22,0.998,0.9985,0.9979,0.9983,421459706.0,2024-12-22 23:59:59.999,420704354.38610000,238439,206201144.00000000,205840894.17260000,0
2024-12-23,0.9983,1.025,0.9982,1.0035,1083679670.0,2024-12-23 23:59:59.999,1085378324.70010000,411798,589360599.00000000,590234216.15590000,0
2024-12-24,1.0035,1.0247,1.0021,1.0028,1101110106.0,2024-12-24 23:59:59.999,1104697015.95810000,365526,543704943.00000000,545503289.65580000,0
2024-12-25,1.0027,1.0136,1.0026,1.0035,562735058.0,2024-12-25 23:59:59.999,564658198.22510000,276971,288930927.00000000,289931214.28910000,0
2024-12-26,1.0036,1.0088,1.0009,1.0017,703822990.0,2024-12-26 23:59:59.999,705484931.28950000,272091,352627994.00000000,353458850.15800000,0
2024-12-27,1.0017,1.0026,1.0007,1.0016,670731980.0,2024-12-27 23:59:59.999,671721190.63870000,310335,348997597.00000000,349524676.23760000,0
2024-12-28,1.0016,1.0022,1.0005,1.0016,467059001.0,2024-12-28 23:59:59.999,467671140.72940000,215983,242590232.00000000,242919722.03140000,0
