Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,1.453,1.578,1.442,1.487,82768957.4,2024-09-19 23:59:59.999,125298850.40690000,583228,41728255.40000000,63185777.75620000,0
2024-09-20,1.488,1.649,1.467,1.631,72151326.3,2024-09-20 23:59:59.999,114073955.38320000,613223,37753787.10000000,59704969.41240000,0
2024-09-21,1.631,1.678,1.559,1.63,38503060.9,2024-09-21 23:59:59.999,62464948.45290000,314431,18244973.80000000,29626567.78720000,0
2024-09-22,1.63,1.644,1.546,1.613,40119028.6,2024-09-22 23:59:59.999,64003279.09090000,369483,18231748.20000000,29113792.33930000,0
2024-09-23,1.613,1.723,1.557,1.647,69678141.0,2024-09-23 23:59:59.999,115761527.81690000,657450,33621575.10000000,55883940.02720000,0
2024-09-24,1.647,1.736,1.603,1.702,59498622.9,2024-09-24 23:59:59.999,100419563.56540000,539718,29602500.40000000,49995356.12080000,0
2024-09-25,1.703,1.74,1.622,1.635,46812239.6,2024-09-25 23:59:59.999,78816224.51680000,444857,22512442.30000000,37941455.38690000,0
2024-09-26,1.636,1.699,1.603,1.63,51920556.3,2024-09-26 23:59:59.999,85979673.98450000,436923,25472689.80000000,42215249.63090000,0
2024-09-27,1.629,1.741,1.613,1.68,58425947.4,2024-09-27 23:59:59.999,97569026.99520000,526357,29396937.80000000,49125214.32620000,0
2024-09-28,1.68,1.697,1.545,1.601,40962660.6,2024-09-28 23:59:59.999,65845017.44520000,308073,19660737.80000000,31586628.64600000,0
2024-09-29,1.601,1.642,1.558,1.621,29694376.5,2024-09-29 23:59:59.999,47702509.65810000,319620,14607065.00000000,23465718.19870000,0
2024-09-30,1.621,1.645,1.501,1.524,50013669.9,2024-09-30 23:59:59.999,78758621.36340000,509958,23442089.50000000,36953081.62380000,0
2024-10-01,1.523,1.684,1.412,1.486,111782428.6,2024-10-01 23:59:59.999,172710534.81200000,1049474,53810045.60000000,83316506.03700000,0
2024-10-02,1.486,1.548,1.389,1.421,65294843.7,2024-10-02 23:59:59.999,95769014.26030000,679299,31254678.20000000,45879270.45710000,0
2024-10-03,1.42,1.463,1.329,1.37,52179034.8,2024-10-03 23:59:59.999,72179490.49120000,521894,25505251.70000000,35303107.22570000,0
2024-10-04,1.37,1.47,1.353,1.466,54568111.6,2024-10-04 23:59:59.999,76916880.44710000,421513,29559782.90000000,41691392.30280000,0
2024-10-05,1.467,1.484,1.36,1.406,33846105.7,2024-10-05 23:59:59.999,48479045.71890000,270710,14746360.00000000,21143442.00970000,0
2024-10-06,1.406,1.475,1.376,1.474,34618222.7,2024-10-06 23:59:59.999,49560333.32190000,283457,18469019.50000000,26463858.84960000,0
2024-10-07,1.473,1.56,1.458,1.47,64774130.4,2024-10-07 23:59:59.999,97998274.27930000,563914,32739425.10000000,49568869.29950000,0
2024-10-08,1.47,1.51,1.406,1.423,45154560.7,2024-10-08 23:59:59.999,65146445.48330000,401996,21261209.40000000,30684780.61030000,0
2024-10-09,1.423,1.452,1.316,1.343,45950689.7,2024-10-09 23:59:59.999,63511607.95920000,315345,19731979.80000000,27301496.88740000,0
2024-10-10,1.342,1.369,1.265,1.32,43299205.2,2024-10-10 23:59:59.999,57025494.41980000,279494,21036030.30000000,27725978.45750000,0
2024-10-11,1.32,1.429,1.308,1.411,40573914.0,2024-10-11 23:59:59.999,56033751.83230000,246931,21051462.50000000,29077878.61180000,0
2024-10-12,1.412,1.503,1.397,1.477,37442628.0,2024-10-12 23:59:59.999,54336465.63430000,236036,19505678.60000000,28323553.00620000,0
2024-10-13,1.477,1.491,1.382,1.419,31739585.8,2024-10-13 23:59:59.999,45215362.38080000,242103,14619421.40000000,20837976.22590000,0
2024-10-14,1.419,1.531,1.4,1.518,57964015.8,2024-10-14 23:59:59.999,86534029.40830000,378994,28801604.70000000,42991618.35820000,0
