Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.2324,0.441,0.2324,0.3449,300913059.8,2024-09-19 23:59:59.999,110641454.40018000,632250,153812391.50000000,56435818.34253000,0
2024-09-20,0.3452,0.396,0.3183,0.337,174121117.7,2024-09-20 23:59:59.999,62952094.76220000,400885,86509213.70000000,31337752.50237000,0
2024-09-21,0.337,0.337,0.3036,0.3266,67202890.1,2024-09-21 23:59:59.999,21420119.42989000,143415,32519411.00000000,10367970.84233000,0
2024-09-22,0.3265,0.327,0.2795,0.2864,43004847.7,2024-09-22 23:59:59.999,12915031.50808000,90242,20442868.50000000,6149048.28147000,0
2024-09-23,0.2865,0.3012,0.2777,0.2935,35290418.4,2024-09-23 23:59:59.999,10332585.59743000,71607,17129092.40000000,5018141.01528000,0
2024-09-24,0.2936,0.4045,0.2867,0.3735,241491740.6,2024-09-24 23:59:59.999,89089794.45672000,531116,124924784.20000000,46087442.25977000,0
2024-09-25,0.3735,0.3737,0.3333,0.3364,50599541.6,2024-09-25 23:59:59.999,17956089.80463000,123717,24004422.80000000,8518574.44322000,0
2024-09-26,0.3364,0.3512,0.33,0.3398,37773041.1,2024-09-26 23:59:59.999,12808853.09718000,97172,19050613.70000000,6464011.56311000,0
2024-09-27,0.3398,0.353,0.3332,0.3408,31999138.9,2024-09-27 23:59:59.999,10964890.54095000,84382,15563287.80000000,5336167.61230000,0
2024-09-28,0.3411,0.3663,0.3405,0.3459,46397582.4,2024-09-28 23:59:59.999,16271304.07723000,109941,23531654.20000000,8261735.44579000,0
2024-09-29,0.346,0.3523,0.3323,0.3395,27273555.7,2024-09-29 23:59:59.999,9330163.52595000,74373,13489383.60000000,4618249.63272000,0
2024-09-30,0.3395,0.341,0.3064,0.3093,21196401.4,2024-09-30 23:59:59.999,6895577.90727000,60208,10740913.90000000,3496616.22619000,0
2024-10-01,0.3093,0.3219,0.2658,0.2764,35656380.7,2024-10-01 23:59:59.999,10406310.12388000,96519,17673143.40000000,5175437.58909000,0
2024-10-02,0.2763,0.2849,0.2584,0.2673,20795248.7,2024-10-02 23:59:59.999,5701271.47151000,54194,9792540.30000000,2685865.93428000,0
2024-10-03,0.2673,0.2759,0.252,0.2568,24917703.0,2024-10-03 23:59:59.999,6568319.56657000,68646,13308196.00000000,3506645.69602000,0
2024-10-04,0.2568,0.285,0.2527,0.2737,24221432.3,2024-10-04 23:59:59.999,6444781.46453000,61506,13479581.00000000,3585518.40553000,0
2024-10-05,0.2734,0.278,0.2521,0.2577,18691442.0,2024-10-05 23:59:59.999,4946922.80704000,35008,8803205.50000000,2332731.09073000,0
2024-10-06,0.2577,0.2629,0.2541,0.2623,17063729.3,2024-10-06 23:59:59.999,4411127.62020000,32646,8190273.60000000,2118957.24279000,0
2024-10-07,0.2624,0.2745,0.2564,0.2602,35387450.3,2024-10-07 23:59:59.999,9374630.92664000,64841,17732735.10000000,4698851.93643000,0
2024-10-08,0.2602,0.2678,0.2407,0.2471,29768166.8,2024-10-08 23:59:59.999,7523328.08706000,53657,14812394.90000000,3739969.48748000,0
2024-10-09,0.2471,0.2518,0.2319,0.2341,26347581.9,2024-10-09 23:59:59.999,6313238.29586000,44874,13068539.80000000,3132619.98963000,0
