Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,3.615,3.756,3.615,3.685,5471090.64,2024-09-19 23:59:59.999,20168149.87678000,54027,2503009.83000000,9227635.29934000,0
2024-09-20,3.686,3.84,3.653,3.778,4843947.27,2024-09-20 23:59:59.999,18217413.91888000,49594,2349534.79000000,8842323.39275000,0
2024-09-21,3.778,3.884,3.696,3.865,2417197.94,2024-09-21 23:59:59.999,9169749.28671000,34473,1189134.86000000,4514714.02771000,0
2024-09-22,3.865,3.875,3.606,3.722,3781725.13,2024-09-22 23:59:59.999,14076654.83816000,46719,1815176.35000000,6756331.94317000,0
2024-09-23,3.723,3.811,3.657,3.76,4572929.31,2024-09-23 23:59:59.999,17153003.14741000,41553,2195026.70000000,8234792.44305000,0
2024-09-24,3.759,3.882,3.696,3.856,5163781.82,2024-09-24 23:59:59.999,19500970.78806000,40921,2425517.38000000,9165980.86638000,0
2024-09-25,3.857,4.047,3.853,3.942,6827073.09,2024-09-25 23:59:59.999,26900278.10368000,63996,3192280.88000000,12584385.89342000,0
2024-09-26,3.942,4.147,3.881,4.103,6786950.97,2024-09-26 23:59:59.999,27625164.81475000,69853,3357431.24000000,13668042.96044000,0
2024-09-27,4.103,4.292,4.095,4.196,5519025.15,2024-09-27 23:59:59.999,23089119.64553000,57811,2642184.87000000,11055289.63084000,0
2024-09-28,4.196,4.223,4.018,4.126,4401168.94,2024-09-28 23:59:59.999,18129354.10272000,49501,2186414.39000000,8998581.87666000,0
2024-09-29,4.126,4.157,4.013,4.083,3311346.36,2024-09-29 23:59:59.999,13520524.61323000,48654,1615535.17000000,6596957.92701000,0
2024-09-30,4.084,4.099,3.779,3.811,6234497.98,2024-09-30 23:59:59.999,24542003.01584000,66212,2970210.27000000,11683113.65922000,0
2024-10-01,3.811,3.942,3.441,3.556,9283653.63,2024-10-01 23:59:59.999,34292366.26544000,85347,4603326.96000000,16996157.65880000,0
2024-10-02,3.556,3.686,3.445,3.538,6266656.46,2024-10-02 23:59:59.999,22469598.32256000,69290,2819720.15000000,10117377.58771000,0
2024-10-03,3.537,3.656,3.423,3.573,6242994.99,2024-10-03 23:59:59.999,22076152.80326000,57327,3116035.28000000,11025236.91664000,0
2024-10-04,3.572,3.656,3.547,3.647,3179078.38,2024-10-04 23:59:59.999,11481612.15758000,30810,1655890.06000000,5981693.17655000,0
2024-10-05,3.647,3.679,3.555,3.615,3359382.59,2024-10-05 23:59:59.999,12208337.71716000,30547,1797372.27000000,6532684.47122000,0
2024-10-06,3.615,3.713,3.605,3.699,3184633.52,2024-10-06 23:59:59.999,11668403.36281000,30690,1856120.40000000,6801581.61978000,0
2024-10-07,3.698,3.813,3.682,3.71,6237038.84,2024-10-07 23:59:59.999,23468898.90545000,48975,3219269.62000000,12112026.27975000,0
2024-10-08,3.711,3.777,3.392,3.629,5070462.79,2024-10-08 23:59:59.999,18638591.10209000,39022,2271143.02000000,8365489.06875000,0
2024-10-09,3.629,3.677,3.455,3.5,3265763.78,2024-10-09 23:59:59.999,11700112.76754000,29797,1583804.92000000,5674236.85869000,0
2024-10-10,3.5,3.541,3.434,3.539,3389386.63,2024-10-10 23:59:59.999,11858244.75844000,29134,1680390.04000000,5881328.90688000,0
2024-10-11,3.538,3.617,3.504,3.586,3864400.4,2024-10-11 23:59:59.999,13742713.64544000,30438,1833265.04000000,6523039.01742000,0
2024-10-12,3.587,3.657,3.574,3.612,3965780.77,2024-10-12 23:59:59.999,14347253.41405000,28666,2036310.10000000,7369196.30082000,0
2024-10-13,3.612,3.627,3.477,3.568,3581376.61,2024-10-13 23:59:59.999,12719575.22574000,30489,1655636.37000000,5884020.46743000,0
2024-10-14,3.569,3.9,3.531,3.857,7267230.5,2024-10-14 23:59:59.999,27089765.37653000,55537,3887742.59000000,14485962.41687000,0
2024-10-15,3.857,3.936,3.688,3.805,8975547.78,2024-10-15 23:59:59.999,34207600.52148000,69973,4628611.12000000,17662671.96182000,0
